区名,100m2未満(千m2),200m2未満(千m2),300m2未満(千m2),500m2未満(千m2),1000m2未満(千m2),2000m2未満(千m2),5000m2未満(千m2),10000m2未満(千m2),10000m2以上(千m2),計(千m2),増減率(%)
千代田区,-125,-126,-86,-115,-147,-115,-56,-23,0,-795,-59.2
中央区,-181,-139,-86,-108,-120,-80,-52,-16,21,-760,-53.3
港区,-123,-246,-210,-376,-513,-380,-268,-86,-42,-2243,-55.2
新宿区,142,-165,-219,-423,-640,-445,-392,-156,-189,-2486,-35
文京区,196,-4,-140,-282,-392,-305,-138,-81,-20,-1167,-26.6
台東区,93,-66,-119,-189,-231,-164,-140,-67,-26,-910,-28.3
墨田区,386,97,-50,-163,-321,-330,-447,-296,-165,-1289,-25.5
江東区,444,131,-7,-99,-261,-350,-559,-320,-558,-1579,-29.5
品川区,598,119,-64,-300,-437,-493,-617,-304,-336,-1835,-24.6
目黒区,585,549,38,-313,-445,-342,-601,-350,-540,-1419,-19.1
大田区,1779,1251,244,-263,-818,-816,-1447,-1462,-1890,-3422,-18.1
世田谷区,2070,2944,388,-617,-1199,-922,-1620,-1773,-1831,-2559,-9.2
渋谷区,142,-52,-151,-360,-577,-414,-360,-298,-180,-2249,-37.6
中野区,671,447,-22,-200,-311,-290,-342,-635,-591,-1273,-14.7
杉並区,1387,2070,232,-561,-748,-495,-881,-947,-1762,-1704,-9
豊島区,463,172,-55,-238,-332,-397,-528,-452,-260,-1629,-24.2
北区,621,299,13,-121,-215,-268,-590,-538,-476,-1276,-17.9
荒川区,445,150,3,-73,-223,-207,-443,-257,-371,-977,-22.5
板橋区,985,638,67,-50,-274,-249,-932,-1119,-1274,-2208,-16.3
練馬区,1143,2909,20,-289,-243,-288,-752,-965,-1240,294,1.3
足立区,1944,1652,309,256,144,-278,-779,-1463,-1609,177,0.9
葛飾区,1505,739,147,27,-164,-276,-891,-1209,-1322,-1444,-10.4
江戸川区,1882,975,217,89,-174,-458,-1206,-991,-1350,-1016,-5.7
区部計,17051,14344,468,-4770,-8639,-8363,-14042,-13808,-16012,-33772,-14.5
