順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,倶知安－５－１,北海道　　,南１条西１丁目４０番１外　　　　　　　　　　　　　　　　　　,40000,63500,58.8
2,大阪中央－５－２４,大阪府　　,日本橋１丁目１６番４外　　　　　　　　　　　　　　　　　　　,831000,1200000,44.4
3,大阪北－５－１６,大阪府　　,茶屋町２０番１７　　　　　　　　　　　　　　　　　　　　　　,4030000,5810000,44.2
4,東山－５－７,京都府　　,四条通大和大路東入祇園町北側２７７番　　　　　　　　　　　　,1950000,2800000,43.6
5,大阪北－５－１３,大阪府　　,芝田１丁目４７番１外　　　　　　　　　　　　　　　　　　　　,3150000,4500000,42.9
6,那覇－５－１５,沖縄県　　,前島３丁目１番８外　　　　　　　　　　　　　　　　　　　　　,323000,460000,42.4
6,下京－５－１７,京都府　　,七条通間之町東入材木町４８１番　　　　　　　　　　　　　　　,590000,823000,39.5
6,東山－５－９,京都府　　,三条通大橋東入三町目３５番７外　　　　　　　　　　　　　　　,690000,959000,39
9,那覇－５－１４,沖縄県　　,久茂地３丁目１番１　　　　　　　　　　　　　　　　　　　　　,1010000,1400000,38.6
10,淀川－５－８,大阪府　　,宮原３丁目５番７外　　　　　　　　　　　　　　　　　　　　　,1230000,1700000,38.2
