区分,個人／所有者数(人),個人／構成比(%),個人／面積(千m2),個人／構成比(%),法人／所有者数(人),法人／構成比(%),法人／面積(千m2),法人／構成比(%),合計／所有者数(人),合計／構成比(%),合計／面積(千m2),合計／構成比(%)
八王子市／100m2未満,12042,10,829,1,514,12,21,0,12556,10,850,1
八王子市／200m2未満,66259,54,9810,16,619,15,94,0,66878,53,9904,11
八王子市／300m2未満,23090,19,5379,9,422,10,103,0,23512,19,5481,6
八王子市／500m2未満,8591,7,3229,5,616,15,240,1,9207,7,3469,4
八王子市／1000m2未満,5352,4,3698,6,696,17,503,2,6048,5,4201,5
八王子市／2000m2未満,2851,2,3901,6,458,11,645,2,3309,3,4545,5
八王子市／5000m2未満,2201,2,6875,11,371,9,1174,4,2572,2,8049,9
八王子市／10000m2未満,867,1,6028,10,175,4,1262,5,1042,1,7290,8
八王子市／10000m2以上,832,1,23305,37,279,7,23515,85,1111,1,46821,52
八王子市／計,122085,100,63053,100,4150,100,27556,100,126235,100,90610,100
立川市／100m2未満,6650,22,485,5,205,16,10,0,6855,21,494,4
立川市／200m2未満,17483,57,2275,22,310,23,45,1,17793,55,2320,17
立川市／300m2未満,2756,9,663,6,170,13,42,1,2926,9,705,5
立川市／500m2未満,1768,6,659,6,187,14,73,2,1955,6,732,5
立川市／1000m2未満,969,3,679,7,201,15,144,4,1170,4,823,6
立川市／2000m2未満,563,2,794,8,114,9,159,5,677,2,953,7
立川市／5000m2未満,399,1,1231,12,83,6,237,7,482,1,1468,11
立川市／10000m2未満,188,1,1361,13,21,2,150,4,209,1,1511,11
立川市／10000m2以上,144,0,2271,22,31,2,2625,75,175,1,4896,35
立川市／計,30920,100,10417,100,1322,100,3483,100,32242,100,13900,100
武蔵野市／100m2未満,5169,23,352,7,155,15,10,1,5324,23,362,5
武蔵野市／200m2未満,10395,47,1453,27,267,25,39,3,10662,46,1492,22
武蔵野市／300m2未満,3133,14,757,14,161,15,39,3,3294,14,796,12
武蔵野市／500m2未満,1963,9,736,14,192,18,74,5,2155,9,810,12
