区分,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年
50m2未満／件数（件）,"23,487","22,872","24,277","23,495","38,451","43,375","40,188","42,194","40,728","42,542"
50m2未満／面積（m2）,"466,804","429,821","452,548","437,264","578,674","737,632","685,788","721,565","715,745","742,717"
50m2以上100m2未満／件数（件）,"19,457","19,570","20,929","20,620","18,678","21,133","20,251","21,162","20,712","21,414"
50m2以上100m2未満／面積（m2）,"1,419,949","1,430,393","1,540,773","1,518,284","1,346,989","1,507,841","1,450,529","1,516,037","1,488,529","1,539,127"
100m2以上150m2未満／件数（件）,"8,804","9,181","9,464","9,272","7,184","8,658","8,608","9,428","9,431","9,660"
100m2以上150m2未満／面積（m2）,"1,052,084","1,086,721","1,126,212","1,103,522","859,320","1,026,157","1,024,336","1,121,149","1,126,002","1,154,433"
150m2以上200m2未満／件数（件）,"3,625","3,359","3,731","3,708","3,132","3,593","3,579","3,952","4,179","4,255"
150m2以上200m2未満／面積（m2）,"623,813","577,477","639,928","638,139","542,362","620,079","615,635","679,882","719,034","733,190"
200m2以上300m2未満／件数（件）,"3,007","2,533","3,214","3,339","2,581","3,056","3,016","3,259","3,404","3,481"
200m2以上300m2未満／面積（m2）,"730,094","612,702","776,382","806,345","627,551","735,791","728,472","788,098","818,572","836,706"
300m2以上500m2未満／件数（件）,"2,234","1,849","2,217","2,161","1,860","2,085","2,083","2,286","2,149","2,300"
300m2以上500m2未満／面積（m2）,"850,424","694,353","839,885","817,647","704,280","787,097","790,512","860,246","808,369","860,646"
500m2以上1000m2未満／件数（件）,"1,154","1,119","1,236","1,157",945,"1,070","1,136","1,010","1,111","1,060"
500m2以上1000m2未満／面積（m2）,"797,023","805,823","839,742","789,864","640,922","728,808","770,371","688,868","758,449","715,784"
1000m2以上2000m2未満／件数（件）,387,295,377,351,339,340,280,282,284,231
1000m2以上2000m2未満／面積（m2）,"533,600","403,749","507,905","465,315","453,369","454,324","372,112","376,674","380,933","307,510"
2000m2以上5000m2未満／件数（件）,257,163,172,183,100,111,111,101,87,75
2000m2以上5000m2未満／面積（m2）,"890,354","473,361","500,217","606,643","286,818","320,813","329,631","299,358","253,653","207,352"
5000m2以上10000m2未満／件数（件）,67,139,43,44,20,30,25,22,17,14
5000m2以上10000m2未満／面積（m2）,"442,068","930,044","306,326","304,913","138,437","209,160","175,562","159,236","123,256","91,595"
10000m2以上／件数（件）,38,54,88,26,11,14,12,12,9,5
10000m2以上／面積（m2）,"933,442","1,006,220","1,573,007","662,152","174,884","202,890","197,820","211,468","184,600","67,899"
合計／件数（件）,"62,517","61,134","65,748","64,356","73,301","83,465","79,289","83,708","82,111","85,037"
合計／面積（m2）,"8,739,657","8,450,663","9,102,926","8,150,089","6,353,605","7,330,592","7,140,768","7,422,581","7,377,142","7,256,959"
,,,,,,,,,,
,,,,,,,,,,
