区分,区部（m2）,市部（m2）,計（m2）,,,,,,
昭和49年,308 ,－,－,,,,,,
昭和53年,284 ,349 ,305 ,,,,,,
昭和54年,278 ,328 ,295 ,,,,,,
昭和55年,273 ,325 ,291 ,,,,,,
昭和56年,270 ,318 ,286 ,,,,,,
昭和57年,267 ,327 ,287 ,,,,,,
昭和58年,264 ,323 ,284 ,,,,,,
昭和59年,262 ,321 ,281 ,,,,,,
昭和60年,261 ,319 ,280 ,,,,,,
昭和61年,259 ,316 ,279 ,,,,,,
昭和62年,249 ,313 ,271 ,,,,,,
昭和63年,248 ,311 ,270 ,,,,,,
昭和64年,244 ,311 ,268 ,,,,,,
平成2年,242 ,309 ,266 ,,,,,,
平成3年,239 ,308 ,264 ,,,,,,
平成4年,235 ,309 ,262 ,,,,,,
平成5年,234 ,307 ,261 ,,,,,,
平成6年,234 ,308 ,261 ,,,,,,
平成7年,231 ,304 ,258 ,,,,,,
平成8年,231 ,301 ,258 ,,,,,,
平成9年,227 ,293 ,252 ,,,,,,
平成10年,224 ,286 ,248 ,,,,,,
平成11年,221 ,282 ,245 ,,,,,,
平成12年,217 ,282 ,242 ,,,,,,
平成13年,214 ,278 ,239 ,,,,,,
平成14年,211 ,275 ,236 ,,,,,,
平成15年,208 ,273 ,234 ,,,,,,
平成16年,205 ,270 ,231 ,,,,,,
平成17年,202 ,267 ,228 ,,,,,,
平成18年,198 ,263 ,224 ,,,,,,
平成19年,196 ,260 ,222 ,,,,,,
平成20年,193 ,258 ,220 ,,,,,,
平成21年,192 ,255 ,218 ,,,,,,
平成22年,190 ,254 ,216 ,,,,,,
平成23年,184 ,241 ,210 ,,,,,,
平成24年,182 ,247 ,208 ,,,,,,
平成25年,180 ,243 ,206 ,,,,,,
平成26年,178 ,241 ,204 ,,,,,,
平成27年,176 ,240 ,202 ,,,,,,
平成28年,174 ,238 ,201 ,,,,,,
平成29年,173 ,235 ,199 ,,,,,,
