区市町村名,合計／令和4年(千m2),合計／令和3年(千m2),合計／増減(千m2),宅地／令和4年(千m2),宅地／令和3年(千m2),宅地／増減(千m2),農地／令和4年(千m2),農地／令和3年(千m2),農地／増減(千m2),山林／令和4年(千m2),山林／令和3年(千m2),山林／増減(千m2),その他／令和4年(千m2),その他／令和3年(千m2),その他／増減(千m2)
区部／千代田区,4060,4060,0,3652,3652,0,0,0,0,0,0,0,408,408,0
区部／中央区,3950,3945,5,3942,3938,5,0,0,0,0,0,0,7,7,0
区部／港区,9987,10017,-31,9343,9309,34,0,0,0,0,0,0,644,708,-64
区部／新宿区,10165,10173,-8,9862,9870,-8,0,0,0,0,0,0,303,303,0
区部／文京区,5950,5944,6,5879,5873,6,0,0,0,0,0,0,71,71,0
区部／台東区,4803,4802,0,4534,4534,0,0,0,0,0,0,0,268,268,0
区部／墨田区,7088,7091,-3,6840,6845,-5,0,0,0,0,0,0,248,246,2
区部／江東区,15612,15606,5,14946,14941,5,0,0,0,0,0,0,665,665,1
区部／品川区,13608,13625,-17,11502,11520,-17,0,0,0,0,0,0,2106,2106,0
区部／目黒区,9276,9278,-2,9113,9114,-1,22,25,-3,5,5,0,135,134,1
区部／大田区,25782,25780,2,25015,25018,-3,26,28,-1,11,11,0,730,724,6
区部／世田谷区,36753,36745,8,35086,35066,20,909,919,-10,50,50,0,709,711,-2
区部／渋谷区,8480,8483,-3,8122,8124,-2,0,0,0,0,0,0,358,359,-1
区部／中野区,10351,10357,-6,10068,10072,-4,21,22,-1,1,1,0,262,262,0
区部／杉並区,22376,22378,-2,21647,21648,-1,342,349,-7,11,12,0,376,369,7
区部／豊島区,8162,8170,-7,7787,7794,-7,0,0,0,0,0,0,376,376,0
区部／北区,10449,10452,-3,9545,9549,-3,3,3,0,7,7,0,894,894,0
区部／荒川区,5858,5867,-9,5367,5374,-7,0,0,0,0,0,0,491,493,-2
区部／板橋区,18495,18484,11,18087,18071,15,126,138,-12,20,21,-1,262,254,8
区部／練馬区,30955,31018,-63,28660,28528,132,1841,1899,-58,27,30,-3,427,561,-134
区部／足立区,28491,28486,4,27352,27343,9,433,457,-24,0,0,0,705,686,19
区部／葛飾区,17400,17394,6,16584,16573,11,299,313,-14,0,0,0,517,508,9
区部／江戸川区,24024,24034,-9,23302,23325,-23,420,433,-13,0,0,0,302,276,26
区部／区部計,332075,332192,-117,316236,316080,156,4442,4585,-143,133,137,-4,11264,11389,-126
市部／八王子市,90388,90465,-77,38691,38635,56,7751,7814,-63,31700,31849,-149,12246,12167,79
市部／立川市,13906,13906,0,10905,10893,12,2432,2461,-29,25,26,-2,546,526,19
市部／武蔵野市,6783,6781,2,6333,6330,2,260,261,0,0,0,0,190,190,0
市部／三鷹市,10186,10302,-116,8627,8702,-75,1406,1415,-8,12,78,-66,140,106,34
市部／青梅市,60361,60375,-14,12748,12699,49,4388,4435,-47,34223,34226,-3,9003,9016,-13
市部／府中市,15143,15142,1,13061,13036,25,1145,1171,-26,0,0,0,937,934,2
市部／昭島市,9197,9167,30,7688,7689,-1,583,593,-10,159,202,-43,767,683,84
市部／調布市,11954,11957,-2,10324,10303,20,1173,1191,-18,22,22,0,435,440,-5
市部／町田市,41728,41792,-65,28629,28540,89,4896,5009,-114,5442,5470,-27,2761,2773,-12
市部／小金井市,6662,6657,5,5801,5778,23,609,626,-17,55,56,-1,197,197,0
市部／小平市,13128,13067,61,10414,10323,91,1681,1713,-32,14,13,0,1020,1018,2
市部／日野市,14401,14394,7,11399,11370,29,1328,1355,-27,536,538,-3,1138,1130,8
市部／東村山市,9905,9906,-2,7817,7796,21,1385,1408,-24,102,102,0,601,600,1
