年(昭和・平成・令和),区部(m2),区部／指数,市部(m2),市部／指数,計(m2),計／指数
50,433,100,1229,100,680,100
55,378,87,902,73,561,82
60,352,81,863,70,526,77
2,338,78,786,64,496,73
7,320,74,712,58,464,68
8,320,74,732,60,474,70
9,314,73,696,57,461,68
10,310,71,673,55,450,66
11,305,70,662,54,443,65
12,300,69,650,53,436,64
13,295,68,638,52,429,63
14,290,67,624,51,421,62
15,285,66,613,50,414,61
16,281,65,601,49,407,60
17,276,64,588,48,400,59
18,271,62,573,47,391,57
19,267,62,562,46,385,57
20,264,61,550,45,379,56
21,261,60,540,44,374,55
22,257,59,532,43,369,54
23,250,58,514,42,358,53
24,247,57,510,41,354,52
25,245,56,500,41,349,51
26,242,56,485,39,343,50
27,239,55,478,39,339,50
28,237,55,472,38,335,49
29,235,54,465,38,331,49
30,233,54,459,37,328,48
31,231,53,455,37,325,48
2,229,53,450,37,322,47
