区市町村名,全建物(%),住宅・アパート(%),事務所・店舗等(%),工場・倉庫(%),その他(%)
区部／千代田区,99.5,98,99.8,97.6,99.7
区部／中央区,98.7,96.6,99.8,98.9,98.8
区部／港区,97.9,95.1,99.8,99.2,99.5
区部／新宿区,89.9,82.9,99.6,97.1,98.7
区部／文京区,84.3,79.5,99.4,95.8,96.7
区部／台東区,89.8,85.8,98.9,91,96.5
区部／墨田区,84.1,80.3,98.8,91.5,93.8
区部／江東区,92.7,88,99.3,99.4,98.3
区部／品川区,83.9,75.3,99.4,98.5,98.1
区部／目黒区,71.6,67.1,97.9,92.1,97
区部／大田区,73.8,64,98.4,98.4,97.8
区部／世田谷区,62.8,59.5,96.8,94.8,91.9
区部／渋谷区,91,84.9,99.6,97.3,99.1
区部／中野区,66.5,62.5,97.6,90,94
区部／杉並区,55.8,52.1,95.3,94.9,91.7
区部／豊島区,80.4,72.7,99.4,91.8,98.1
区部／北区,71.5,66.5,97.7,96.1,95.4
区部／荒川区,73.6,70,96.2,89.8,90.9
区部／板橋区,73,68.5,97.1,96.4,94.6
区部／練馬区,55.7,52.1,95.5,91.4,86.4
区部／足立区,63.6,56.9,95.3,93.5,92
区部／葛飾区,59.1,54.2,94.5,89.7,87.6
区部／江戸川区,64.9,59.5,96.2,96.4,91.1
区部／区部,77.8,68.7,99.1,96.7,96.8
市部／八王子市,56.8,45.3,96.3,95.6,80.2
市部／立川市,66.6,51.9,97.9,96.5,91.6
市部／武蔵野市,67.7,58.6,98.8,97.2,91.4
市部／三鷹市,54.8,47.2,96.6,94.1,90.4
市部／青梅市,45.2,29.6,95,96.1,54.4
市部／府中市,64.6,52.3,98.2,98.7,91.8
市部／昭島市,61.9,46.2,96.7,98.8,87.4
市部／調布市,61.1,54.1,96.7,96.4,90.6
市部／町田市,47.8,38.2,95.3,97.3,75.6
市部／小金井市,48.8,43.2,95.9,87.2,89
市部／小平市,48.1,40.4,94.3,95.9,65
市部／日野市,55.1,44.1,97,98.7,82.3
市部／東村山市,46.8,39.1,93.7,95.5,75.2
市部／国分寺市,50.9,43.2,97.4,94.7,85
市部／国立市,60.8,52.5,96.7,96.9,93.6
市部／福生市,52.8,44.5,93.1,90.3,75.4
市部／狛江市,49,45,94.8,89.3,53.1
市部／東大和市,48.8,39.7,94.2,97.5,63.1
市部／清瀬市,44.5,38.5,95.3,81.5,83.3
市部／東久留米市,47.3,36.9,68.8,91.7,86.9
市部／武蔵村山市,43.3,21.9,74.5,98.1,58.9
市部／多摩市,77.5,68.4,42.9,99,96.7
市部／稲城市,62.4,55.9,95.2,95.6,69.7
市部／羽村市,60.4,38.6,44.1,99.5,56.3
市部／あきる野市,27,15.8,89.2,86,44.3
市部／西東京市,52.8,46.4,96.9,92.3,91.1
市部／市部,53.8,43.5,88.3,94.7,78.8
西多摩郡／瑞穂町,57.6,16.6,96,98.9,71.4
西多摩郡／日の出町,44,20.9,96.2,91.2,57.4
西多摩郡／檜原村,9.3,2.5,25.3,66.5,11.3
西多摩郡／奥多摩町,18.1,7.4,63.8,78.6,35.1
西多摩郡／西多摩郡,48,15.9,94,96.9,54.8
多摩地域,55.2,44.5,96.5,96.5,78.9
区部・多摩計,71.5,61.5,98.7,96.5,91.6
島しょ／大島町,24.5,14.4,72,62,39.6
島しょ／利島村,41.4,27.8,61.8,79.9,22.2
島しょ／新島村,55.1,46.5,82.2,84.3,68.1
島しょ／神津島村,29.9,14,46.2,58.3,73.4
島しょ／三宅村,17.6,6.4,74.1,47.8,17.6
島しょ／御蔵島村,15,4.2,69.3,60.1,0
島しょ／八丈町,38.8,23.7,79.2,69.7,71.2
島しょ／青ヶ島村,59.5,34.7,96.6,96.4,42.3
島しょ／小笠原村,74.3,70,82.6,96.8,64.2
島しょ／島しょ計,35.2,22.9,76.1,67.9,53.5
合計,71.4,61.4,98.7,96.4,91.2
