年(平成・令和),住宅等(件),商業施設(件),工場倉庫(件),娯楽施設(件),農林水産(件),他の目的(件),資産保有(件),その他(件),合計(件)
11,295,300,10,1,0,38,128,12,784
12,389,97,5,5,4,16,104,22,642
13,390,89,5,0,0,42,93,7,626
14,334,84,8,0,1,48,121,2,598
15,366,116,12,4,2,33,46,4,583
16,389,132,11,4,8,26,34,20,624
17,350,143,10,6,1,20,33,2,565
18,370,119,42,4,3,36,54,5,633
19,285,186,36,23,4,23,65,1,623
20,293,119,20,5,1,33,38,14,523
21,193,61,12,3,1,20,17,3,310
22,269,72,15,10,1,43,13,1,424
23,314,76,19,15,2,39,21,2,488
24,318,104,20,3,2,34,29,0,510
25,311,136,18,10,3,71,6,0,555
26,227,140,19,6,2,47,63,8,512
27,273,128,29,2,2,34,12,0,480
28,258,113,58,4,0,29,18,2,482
29,304,147,22,2,2,40,36,1,554
30,280,186,39,2,7,31,28,0,573
31,272,129,36,2,0,42,14,17,512
2,262,186,50,0,2,38,16,22,576
3,238,105,45,5,4,45,66,1,509
