区市町村名,合計／令和2年(千m2),合計／平成31年(千m2),合計／増減(千m2),宅地／令和2年(千m2),宅地／平成31年(千m2),宅地／増減(千m2),農地／令和2年(千m2),農地／平成31年(千m2),農地／増減(千m2),山林／令和2年(千m2),山林／平成31年(千m2),山林／増減(千m2),その他／令和2年(千m2),その他／平成31年(千m2),その他／増減(千m2)
区部／千代田区,4063,4061,3,3655,3652,4,0,0,0,0,0,0,408,409,-1
区部／中央区,3941,3943,-1,3934,3935,-1,0,0,0,0,0,0,7,7,0
区部／港区,10025,10030,-6,9315,9323,-7,0,0,0,0,0,0,709,708,2
区部／新宿区,10180,10189,-9,9879,9888,-9,0,0,0,0,0,0,302,302,0
区部／文京区,5947,5950,-4,5876,5880,-4,0,0,0,0,0,0,71,71,0
区部／台東区,4802,4804,-1,4535,4536,-1,0,0,0,0,0,0,268,268,0
区部／墨田区,7095,7094,1,6849,6849,1,0,0,0,0,0,0,246,246,0
区部／江東区,15277,15616,-338,14612,14952,-340,0,0,0,0,0,0,665,664,1
区部／品川区,12767,13646,-879,10643,11519,-876,0,0,0,0,0,0,2124,2127,-3
区部／目黒区,9285,9293,-7,9121,9128,-7,25,25,0,5,5,0,134,134,0
区部／大田区,25526,25791,-265,24764,25029,-266,28,28,0,10,10,0,724,723,0
区部／世田谷区,36788,36813,-25,34841,34836,6,945,966,-22,52,54,-2,949,957,-7
区部／渋谷区,8481,8480,0,8122,8118,4,0,0,0,0,0,0,358,362,-4
区部／中野区,10363,10366,-3,10079,10076,2,22,27,-5,1,1,0,261,261,0
区部／杉並区,22401,22394,7,21644,21626,18,355,363,-8,12,14,-3,390,390,0
区部／豊島区,8177,8171,5,7801,7796,5,0,0,0,0,0,0,376,376,0
区部／北区,10464,10467,-3,9559,9562,-3,3,3,0,7,7,0,895,895,0
区部／荒川区,5876,5884,-9,5382,5391,-9,0,0,0,0,0,0,493,493,0
区部／板橋区,18486,18489,-3,18068,18065,3,144,150,-6,22,24,-2,253,250,2
区部／練馬区,31052,31070,-17,28502,28470,31,1943,2005,-62,31,32,-1,577,563,14
区部／足立区,28502,28508,-6,27346,27335,10,467,486,-19,0,0,0,688,686,2
区部／葛飾区,17410,17421,-11,16589,16588,2,319,327,-8,0,0,0,502,506,-4
区部／江戸川区,23826,24055,-228,23117,23334,-217,443,453,-10,0,0,0,266,267,-1
区部／区部計,330735,332534,-1800,314232,315885,-1653,4694,4834,-140,141,148,-7,11668,11667,1
市部／八王子市,90508,90610,-102,38568,38413,155,7921,8033,-111,31560,31619,-59,12459,12545,-86
市部／立川市,13906,13900,6,10868,10833,35,2488,2523,-34,26,26,0,524,518,6
市部／武蔵野市,6780,6779,1,6325,6318,7,274,279,-6,0,0,0,181,181,0
市部／三鷹市,10312,10308,4,8705,8672,32,1417,1448,-31,78,78,0,112,109,3
市部／青梅市,60362,60361,2,12670,12629,41,4433,4462,-30,34221,34215,7,9038,9054,-16
市部／府中市,15133,15127,6,13007,12972,35,1189,1218,-29,0,0,0,936,937,-1
市部／昭島市,9098,9160,-62,7581,7629,-48,597,611,-14,203,185,18,717,736,-19
市部／調布市,11963,11985,-22,10260,10225,35,1232,1338,-105,23,24,-1,447,398,49
市部／町田市,41865,41905,-40,28475,28365,110,5090,5166,-76,5522,5579,-57,2779,2795,-16
市部／小金井市,6657,6669,-12,5778,5753,25,626,657,-31,38,39,-1,215,220,-5
市部／小平市,13119,13128,-9,10323,10302,21,1747,1783,-35,13,15,-1,1035,1028,7
市部／日野市,14409,14412,-3,11336,11290,46,1387,1435,-49,543,544,-1,1144,1144,0
市部／東村山市,9917,9932,-15,7778,7747,31,1437,1473,-36,106,111,-5,596,601,-5
市部／国分寺市,8053,8061,-8,6424,6411,13,1348,1366,-18,36,38,-2,245,247,-2
市部／国立市,4773,4778,-5,4138,4136,2,519,525,-6,12,12,0,104,105,-1
市部／福生市,3899,3898,2,3625,3622,3,117,119,-2,14,14,0,142,142,0
市部／狛江市,3985,3987,-2,3450,3438,13,368,379,-11,8,7,0,159,163,-4
市部／東大和市,6051,6051,0,5195,5182,14,567,589,-22,187,188,-1,101,92,9
市部／清瀬市,5900,5895,5,3678,3635,43,1815,1864,-49,74,79,-5,333,317,16
市部／東久留米市,8447,8452,-5,6744,6730,13,1478,1506,-28,49,45,4,177,170,7
市部／武蔵村山市,8854,8885,-30,5456,5450,6,1765,1802,-37,443,463,-20,1190,1170,20
市部／多摩市,10168,10108,60,8168,8132,35,391,391,0,323,301,22,1287,1284,2
市部／稲城市,9369,9392,-23,4958,4910,49,1283,1325,-43,1123,1146,-23,2005,2011,-6
市部／羽村市,6081,6076,5,5461,5444,17,376,383,-8,94,94,0,150,155,-5
市部／あきる野市,37760,37753,7,8372,8343,29,5299,5318,-19,18463,18462,1,5627,5630,-4
市部／西東京市,10429,10432,-4,8901,8878,23,1244,1273,-29,6,7,0,278,275,3
市部／市部計,427798,428043,-245,246243,245459,784,46407,47266,-859,93166,93290,-124,41982,42028,-46
西多摩郡／瑞穂町,9334,9347,-13,5012,4980,32,2863,2884,-20,644,657,-13,815,826,-11
西多摩郡／日の出町,16301,16305,-4,2482,2478,5,1608,1616,-8,9581,9579,2,2629,2632,-3
西多摩郡／檜原村,45787,45855,-68,442,443,0,1982,1988,-6,39902,39962,-60,3461,3462,-1
西多摩郡／奥多摩町,58350,59408,-1059,903,907,-4,1459,1467,-8,55464,56500,-1037,525,534,-10
西多摩郡計,129772,130915,-1144,8839,8808,32,7912,7955,-43,105591,106698,-1108,7430,7455,-25
多摩地域計,557570,558958,-1389,255082,254267,816,54319,55221,-902,198756,199988,-1232,49412,49483,-71
区部・多摩計,888305,891493,-3188,569314,570152,-838,59013,60055,-1041,198897,200136,-1239,61080,61150,-70
