区分,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
千代田区／件数(件),165,169,230,164,122,235,147,155,145,149,157,150,1988
千代田区／面積(千m2),4,5,9,7,4,4,3,3,4,7,4,6,60
中央区／件数(件),327,340,553,380,366,280,348,324,377,421,363,741,4820
中央区／面積(千m2),8,7,14,11,7,13,6,4,9,7,11,17,114
港区／件数(件),452,590,845,497,287,472,513,404,475,452,413,538,5938
港区／面積(千m2),18,24,40,22,9,15,10,12,15,14,20,27,226
新宿区／件数(件),504,567,924,557,365,555,656,521,569,556,597,765,7136
新宿区／面積(千m2),18,23,38,22,12,21,18,18,23,19,20,33,265
文京区／件数(件),295,332,504,369,249,318,328,279,378,324,341,368,4085
文京区／面積(千m2),11,11,22,11,9,13,10,11,17,12,11,14,152
台東区／件数(件),371,415,717,335,308,474,409,378,407,476,515,459,5264
台東区／面積(千m2),14,11,25,12,11,13,10,13,14,12,13,16,164
墨田区／件数(件),396,437,597,372,389,473,464,478,532,527,435,589,5689
墨田区／面積(千m2),11,25,24,22,17,17,19,12,22,21,17,25,232
江東区／件数(件),545,766,1494,1234,926,833,846,661,755,824,647,902,10433
江東区／面積(千m2),16,34,80,37,27,29,20,17,31,28,19,52,390
品川区／件数(件),721,813,1094,869,757,724,686,571,528,516,490,733,8502
品川区／面積(千m2),23,29,61,25,22,24,31,19,25,20,21,28,328
目黒区／件数(件),293,357,490,330,211,252,286,274,298,242,304,490,3827
目黒区／面積(千m2),13,18,36,18,13,12,16,21,19,13,21,34,234
大田区／件数(件),776,840,1426,752,628,792,885,853,889,917,826,1060,10644
大田区／面積(千m2),41,57,70,42,36,43,50,51,54,48,42,77,611
世田谷区／件数(件),747,935,1363,934,613,742,867,814,981,949,920,1209,11074
世田谷区／面積(千m2),57,69,123,81,47,57,85,59,83,93,72,99,925
渋谷区／件数(件),407,405,701,469,367,397,356,280,436,383,374,523,5098
渋谷区／面積(千m2),21,16,34,20,14,17,16,12,19,15,20,33,237
中野区／件数(件),388,364,561,392,290,440,384,382,414,397,455,628,5095
中野区／面積(千m2),20,25,32,21,19,25,20,20,27,20,25,31,285
杉並区／件数(件),516,595,940,605,496,640,646,587,722,653,595,721,7716
杉並区／面積(千m2),41,44,78,43,36,44,42,40,47,45,44,58,562
豊島区／件数(件),367,378,565,352,265,322,356,422,384,409,392,472,4684
豊島区／面積(千m2),15,14,27,17,10,15,18,18,27,15,16,24,216
北区／件数(件),315,338,601,486,347,407,417,381,397,465,429,507,5090
北区／面積(千m2),19,17,38,21,14,18,17,15,18,17,21,28,243
荒川区／件数(件),273,234,346,244,195,245,284,224,235,276,251,354,3161
荒川区／面積(千m2),9,10,20,12,11,13,16,8,10,14,9,20,152
板橋区／件数(件),519,603,911,526,429,607,674,603,677,844,655,756,7804
板橋区／面積(千m2),30,33,55,28,29,33,36,28,39,34,32,48,425
練馬区／件数(件),603,733,1272,766,616,850,821,669,745,819,717,933,9544
練馬区／面積(千m2),57,69,98,57,42,51,63,60,60,67,59,73,756
足立区／件数(件),550,665,988,748,545,652,724,721,747,774,801,976,8891
足立区／面積(千m2),44,52,78,58,37,53,54,43,52,52,48,77,648
葛飾区／件数(件),347,432,680,500,334,389,467,480,484,444,482,530,5569
葛飾区／面積(千m2),31,33,48,39,27,27,28,28,36,27,34,53,411
江戸川区／件数(件),389,508,744,370,323,445,470,458,464,568,506,602,5847
江戸川区／面積(千m2),32,34,53,45,24,46,37,35,37,47,43,50,483
