区分,一戸建／空き家数(戸数),一戸建／戸建住宅総数(戸数),一戸建／空き家率(%),長屋建／空き家数(戸数),長屋建／長屋建住宅総数(戸数),長屋建／空き家率(%),共同住宅／空き家数(戸数),共同住宅／共同住宅住宅総数(戸数),共同住宅／空き家率(%)
東京都全体,94800,1820900,5.2,12300,118700,10.4,700100,4839900,14.5
区部,55300,1057900,5.2,7100,75000,9.5,508200,3746200,13.6
多摩部・島しょ部,39500,763000,5.2,5200,43700,11.9,191900,1093700,17.5
