区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),232,183,75,48,25,20,9,5,2,0,0,599
千代田区／面積(m2),6555,13011,9042,8221,5968,7782,6661,6835,4081,0,0,68156
中央区／件数(件),376,300,106,51,44,14,9,2,2,0,0,904
中央区／面積(m2),9588,20983,12619,8834,10340,5265,6220,2725,8474,0,0,85048
港区／件数(件),457,280,147,90,92,47,27,6,1,0,1,1148
港区／面積(m2),9581,20042,17684,15553,22562,17230,18831,8529,2243,0,14988,147243
新宿区／件数(件),669,419,259,151,95,60,27,7,0,1,0,1688
新宿区／面積(m2),11947,30373,31518,26069,22805,22180,16929,9144,0,5288,0,176253
文京区／件数(件),367,227,121,64,47,31,7,0,1,0,0,865
文京区／面積(m2),8170,16471,14703,11197,11479,11176,4986,0,2141,0,0,80323
台東区／件数(件),538,472,195,84,68,27,5,1,0,0,0,1390
台東区／面積(m2),13814,33353,23709,14428,16636,9990,3306,1000,0,0,0,116236
墨田区／件数(件),557,422,192,90,57,56,15,1,0,0,0,1390
墨田区／面積(m2),12399,30160,23468,15156,13882,20340,9893,1240,0,0,0,126538
江東区／件数(件),618,379,167,84,65,47,26,10,10,2,3,1411
江東区／面積(m2),13178,27271,19949,14477,16357,17485,18472,14242,28901,12498,61929,244759
品川区／件数(件),530,344,170,105,111,71,30,12,2,0,0,1375
品川区／面積(m2),10234,24261,20863,18255,26574,26005,19759,17186,5098,0,0,168235
目黒区／件数(件),331,246,156,103,113,79,17,6,3,1,0,1055
目黒区／面積(m2),5886,17620,19110,17675,27488,29431,11391,7843,7814,7106,0,151364
大田区／件数(件),1002,698,384,213,198,118,83,19,6,1,1,2723
大田区／面積(m2),18059,51252,46812,36828,48855,44743,53716,25147,15412,5129,11232,357185
世田谷区／件数(件),1291,687,470,325,342,221,71,22,10,0,0,3439
世田谷区／面積(m2),20662,50590,57105,56648,81731,83185,50754,31440,30836,0,0,462951
渋谷区／件数(件),590,321,168,118,95,75,23,10,2,0,0,1402
渋谷区／面積(m2),10050,23157,20448,20305,22914,28186,16033,13017,5209,0,0,159319
中野区／件数(件),536,346,256,131,106,70,19,5,1,0,0,1470
中野区／面積(m2),9309,25363,30877,22268,24894,25679,12521,6057,2849,0,0,159817
杉並区／件数(件),865,504,372,218,219,165,57,18,4,0,0,2422
杉並区／面積(m2),13642,37523,45090,37715,52963,61161,39900,24967,12455,0,0,325416
豊島区／件数(件),491,381,180,98,74,52,18,0,0,0,0,1294
豊島区／面積(m2),9140,27284,22151,17162,17775,18278,11721,0,0,0,0,123511
北区／件数(件),623,415,187,92,77,41,27,6,9,0,0,1477
北区／面積(m2),12507,29370,22585,15765,18663,16017,17946,7596,27163,0,0,167612
荒川区／件数(件),428,214,115,69,52,27,11,4,0,0,0,920
荒川区／面積(m2),8407,15012,13623,11755,12193,9952,6331,5145,0,0,0,82418
板橋区／件数(件),693,541,308,155,128,95,47,14,1,0,0,1982
板橋区／面積(m2),12818,39232,36989,26667,31133,36282,31220,16626,2772,0,0,233739
練馬区／件数(件),1120,682,452,235,231,122,70,22,10,0,0,2944
練馬区／面積(m2),16330,51603,53639,40722,55621,47419,50588,27667,22623,0,0,366212
足立区／件数(件),1605,820,399,230,211,175,97,17,4,0,0,3558
足立区／面積(m2),21922,59360,48437,39713,50735,66223,64607,22686,11654,0,0,385337
葛飾区／件数(件),1238,607,276,148,108,100,61,7,0,0,0,2545
葛飾区／面積(m2),19306,43958,32708,25492,26397,38406,43080,7876,0,0,0,237223
江戸川区／件数(件),1241,628,252,134,141,128,87,16,1,0,0,2628
江戸川区／面積(m2),21000,44189,30606,23000,34864,49695,57589,21094,2667,0,0,284704
合計／件数(件),16398,10116,5407,3036,2699,1841,843,210,69,5,5,40629
合計／面積(m2),294504,731438,653735,523905,652829,692110,572454,278062,192392,30021,88149,4709599
