区市町村名,行政面積／平成31年／(A)(km2),行政面積／平成30年／(C)(km2),民有地面積／平成31年／(B)(km2),有地面積／平成31年／(B/A)(km2),民有地面積／平成30年／(D)(km2),民有地面積／平成30年／(C/D)(km2),民有地増減(B-D)(%)
区部／千代田区,11.66,11.66,4.06,34.83,4.07,34.91,-0.01
区部／中央区,10.21,10.21,3.94,38.62,3.94,38.55,0.01
区部／港区,20.37,20.37,10.03,49.24,10.01,49.13,0.02
区部／新宿区,18.22,18.22,10.19,55.92,10.19,55.91,0
区部／文京区,11.29,11.29,5.95,52.7,5.95,52.72,0
区部／台東区,10.11,10.11,4.8,47.51,4.8,47.51,0
区部／墨田区,13.77,13.77,7.09,51.52,7.1,51.53,0
区部／江東区,40.16,40.16,15.62,38.88,15.61,38.87,0
区部／品川区,22.84,22.84,13.65,59.75,13.66,59.79,-0.01
区部／目黒区,14.67,14.67,9.29,63.34,9.27,63.21,0.02
区部／大田区,60.83,60.83,25.79,42.4,25.8,42.41,0
区部／世田谷区,58.05,58.05,36.81,63.42,36.84,63.46,-0.02
区部／渋谷区,15.11,15.11,8.48,56.12,8.48,56.11,0
区部／中野区,15.59,15.59,10.37,66.49,10.37,66.49,0
区部／杉並区,34.06,34.06,22.39,65.75,22.4,65.76,0
区部／豊島区,13.01,13.01,8.17,62.81,8.18,62.9,-0.01
区部／北区,20.61,20.61,10.47,50.79,10.48,50.83,-0.01
区部／荒川区,10.16,10.16,5.88,57.92,5.89,57.99,-0.01
区部／板橋区,32.22,32.22,18.49,57.38,18.51,57.44,-0.02
区部／練馬区,48.08,48.08,31.07,64.62,31.1,64.68,-0.03
区部／足立区,53.25,53.25,28.51,53.54,28.51,53.54,0
区部／葛飾区,34.8,34.8,17.42,50.06,17.42,50.07,0
区部／江戸川区,49.9,49.9,24.05,48.21,24.07,48.23,-0.01
区部／荒川河口部,1.12,1.12,-,-,-,-,-
区部／中央防波堤埋立地,7.48,7.48,-,-,-,-,-
区部／区部計,627.57,627.57,332.53,52.99,332.63,53,-0.09
市部／八王子市,186.38,186.38,90.61,48.62,90.44,48.52,0.17
市部／立川市,24.36,24.36,13.9,57.06,13.9,57.05,0
市部／武蔵野市,10.98,10.98,6.78,61.74,6.78,61.74,0
市部／三鷹市,16.42,16.42,10.31,62.77,10.31,62.78,0
市部／青梅市,103.31,103.31,60.36,58.43,60.36,58.43,0
市部／府中市,29.43,29.43,15.13,51.4,15.13,51.41,0
市部／昭島市,17.34,17.34,9.16,52.82,9.11,52.52,0.05
市部／調布市,21.58,21.58,11.99,55.54,12.01,55.66,-0.03
市部／町田市,71.55,71.55,41.91,58.57,41.93,58.61,-0.03
市部／小金井市,11.3,11.3,6.67,59.02,6.67,59.05,0
市部／小平市,20.51,20.51,13.13,64.01,13.14,64.07,-0.01
市部／日野市,27.55,27.55,14.41,52.31,14.44,52.43,-0.03
市部／東村山市,17.14,17.14,9.93,57.95,9.94,57.97,0
市部／国分寺市,11.46,11.46,8.06,70.34,8.07,70.45,-0.01
市部／国立市,8.15,8.15,4.78,58.63,4.78,58.68,0
市部／福生市,10.16,10.16,3.9,38.36,3.9,38.35,0
市部／狛江市,6.39,6.39,3.99,62.39,3.98,62.22,0.01
市部／東大和市,13.42,13.42,6.05,45.09,6.05,45.09,0
市部／清瀬市,10.23,10.23,5.89,57.62,5.9,57.66,0
市部／東久留米市,12.88,12.88,8.45,65.62,8.46,65.7,-0.01
市部／武蔵村山市,15.32,15.32,8.88,57.99,8.89,58.05,-0.01
市部／多摩市,21.01,21.01,10.11,48.11,10.13,48.2,-0.02
市部／稲城市,17.97,17.97,9.39,52.27,9.37,52.16,0.02
市部／羽村市,9.9,9.9,6.08,61.37,6.08,61.39,0
市部／あきる野市,73.47,73.47,37.75,51.39,37.79,51.43,-0.03
市部／西東京市,15.75,15.75,10.43,66.24,10.43,66.25,0
市部／市部計,783.96,783.96,428.04,54.6,428,54.59,0.05
区部･市部計,1411.53,1411.53,760.58,53.88,760.62,53.89,-0.04
西多摩郡,375.86,375.86,130.92,34.83,132.52,35.26,-1.61
島しょ,406.69,406.58,136,33.44,136.19,33.5,-0.18
東京都総計,2194.08,2193.97,1027.5,46.83,1029.33,46.92,-1.84
