区分,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年
50m2未満／件数（件）,"2,867","2,456","2,808","2,429","3,740","4,433","4,311","4,079","4,205","4,303"
50m2未満／面積（m2）,"64,997","54,111","58,602","53,163","61,558","78,344","78,265","74,113","78,330","82,373"
50m2以上100m2未満／件数（件）,"2,243","1,661","1,946","1,779","1,841","2,066","2,159","2,143","2,182","2,183"
50m2以上100m2未満／面積（m2）,"163,216","119,308","139,236","127,105","130,998","145,687","153,498","151,729","156,404","155,681"
100m2以上150m2未満／件数（件）,998,834,941,788,781,852,"1,006","1,031",979,"1,015"
100m2以上150m2未満／面積（m2）,"121,156","102,409","115,101","96,097","95,443","103,660","121,338","124,394","118,246","123,955"
150m2以上200m2未満／件数（件）,446,431,444,468,365,504,508,543,577,597
150m2以上200m2未満／面積（m2）,"77,496","73,678","76,494","80,940","63,523","86,967","87,281","93,558","99,049","103,026"
200m2以上300m2未満／件数（件）,467,360,422,440,357,456,421,443,469,513
200m2以上300m2未満／面積（m2）,"113,351","87,711","102,396","107,448","86,887","109,710","101,929","107,209","113,650","122,745"
300m2以上500m2未満／件数（件）,357,309,343,343,269,287,251,314,311,317
300m2以上500m2未満／面積（m2）,"134,442","114,069","129,411","131,742","101,502","107,273","95,460","119,154","116,494","118,674"
500m2以上1000m2未満／件数（件）,181,141,158,150,110,136,140,120,122,121
500m2以上1000m2未満／面積（m2）,"122,610","100,381","109,050","105,056","74,830","91,404","96,952","83,245","84,612","82,467"
1000m2以上2000m2未満／件数（件）,67,60,75,56,53,50,37,41,38,40
1000m2以上2000m2未満／面積（m2）,"94,485","82,383","104,942","72,939","70,222","68,769","51,077","55,596","55,215","52,592"
2000m2以上5000m2未満／件数（件）,40,20,29,33,9,18,16,17,16,14
2000m2以上5000m2未満／面積（m2）,"123,671","58,214","87,038","110,043","24,451","51,154","40,421","53,881","43,509","37,060"
5000m2以上10000m2未満／件数（件）,25,34,14,15,2,5,3,3,5,1
5000m2以上10000m2未満／面積（m2）,"168,209","239,558","97,322","101,604","14,500","34,538","20,855","20,048","38,239","5,713"
10000m2以上／件数（件）,11,7,40,13,1,4,3,2,2,1
10000m2以上／面積（m2）,"254,474","190,030","544,436","257,378","14,987","52,387","42,366","30,210","33,691","14,988"
合計／件数（件）,"7,702","6,313","7,220","6,514","7,528","8,811","8,855","8,736","8,906","9,105"
合計／面積（m2）,"1,438,102","1,221,853","1,564,030","1,243,514","738,903","929,893","889,442","913,137","937,439","899,274"
