区分,平成30年／民有地面積A(千m2),平成30年／区分所有土地B(千m2),平成30年／非区分所有土地C(千m2),平成30年／B/A(%),平成29年／民有地面積D(千m2),平成29年／区分所有土地E(千m2),平成29年／非区分所有土地Ｆ(千m2),平成29年／E/D(%),平成30年－平成29年／民有地面積A－D(千m2),平成30年－平成29年／区分所有土地B－E(千m2),平成30年－平成29年／非区分所有土地C－F(千m2),平成30年－平成29年／B/A-E/D(%)
千代田区,4070,494,3576,12.1,4012,489,3523,12.2,58,5,53,-0.1
中央区,3936,811,3125,20.6,3970,786,3184,19.8,-34,25,-59,0.8
港区,10008,1995,8013,19.9,9970,1949,8020,19.6,38,45,-7,0.4
新宿区,10187,1627,8560,16.0,10046,1597,8449,15.9,141,30,112,0.1
文京区,5953,905,5048,15.2,5954,897,5057,15.1,-1,8,-9,0.1
台東区,4803,484,4320,10.1,4804,472,4333,9.8,-1,12,-13,0.2
墨田区,7096,874,6222,12.3,7096,851,6245,12.0,0,23,-23,0.3
江東区,15611,2485,13126,15.9,15970,2450,13519,15.3,-358,34,-393,0.6
品川区,13657,1693,11964,12.4,13238,1654,11584,12.5,419,39,380,-0.1
目黒区,9273,1042,8231,11.2,9276,1027,8249,11.1,-3,16,-18,0.2
大田区,25796,2478,23318,9.6,25785,2418,23367,9.4,11,60,-49,0.2
世田谷区,36837,3773,33064,10.2,36873,3739,33134,10.1,-35,35,-70,0.1
渋谷区,8478,1385,7093,16.3,8470,1369,7101,16.2,8,16,-8,0.2
中野区,10366,939,9428,9.1,10367,929,9438,9.0,-1,10,-11,0.1
杉並区,22398,1637,20761,7.3,22401,1596,20804,7.1,-2,41,-43,0.2
豊島区,8183,808,7376,9.9,8200,799,7401,9.7,-17,8,-25,0.1
北区,10476,847,9629,8.1,10480,830,9650,7.9,-5,17,-22,0.2
荒川区,5892,651,5241,11.0,5896,642,5254,10.9,-5,8,-13,0.1
板橋区,18509,2233,16276,12.1,18507,2198,16309,11.9,2,35,-33,0.2
練馬区,31097,2006,29091,6.4,31126,1977,29149,6.4,-29,29,-58,0.1
足立区,28508,1742,26766,6.1,28715,1703,27012,5.9,-207,39,-246,0.2
葛飾区,17424,1171,16253,6.7,17416,1153,16263,6.6,8,18,-10,0.1
江戸川区,24069,1627,22442,6.8,24127,1602,22525,6.6,-59,25,-84,0.1
区部計,332627,33706,298921,10.1,332698,33128,299570,10.0,-71,578,-649,0.2
