区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件）,2,0,1,0,0,1,1,0,0,0,0,5
千代田区／面積（m2）,55,0,139,0,0,392,799,0,0,0,0,1385
中央区／件数(件）,0,1,0,0,0,1,0,1,0,0,0,3
中央区／面積（m2）,0,53,0,0,0,324,0,1348,0,0,0,1725
港区／件数(件）,172,6,1,1,2,0,3,0,0,0,1,186
港区／面積（m2）,4995,371,146,150,490,0,1714,0,0,0,21092,28958
新宿区／件数(件）,18,10,4,2,3,1,0,0,0,0,0,38
新宿区／面積（m2）,355,667,462,338,709,486,0,0,0,0,0,3017
文京区／件数(件）,10,4,2,0,1,0,0,0,0,0,0,17
文京区／面積（m2）,190,347,258,0,235,0,0,0,0,0,0,1030
台東区／件数(件）,7,3,0,1,0,0,1,0,0,0,0,12
台東区／面積（m2）,133,243,0,185,0,0,552,0,0,0,0,1113
墨田区／件数(件）,71,16,8,1,1,0,0,0,0,0,0,97
墨田区／面積（m2）,1227,1085,1038,199,207,0,0,0,0,0,0,3756
江東区／件数(件）,0,1,1,0,0,0,2,1,0,0,0,5
江東区／面積（m2）,0,51,100,0,0,0,1704,1895,0,0,0,3750
品川区／件数(件）,65,26,12,6,2,2,2,0,0,0,0,115
品川区／面積（m2）,999,1846,1497,1045,467,697,1233,0,0,0,0,7784
目黒区／件数(件）,27,8,5,2,0,3,1,0,0,0,0,46
目黒区／面積（m2）,649,533,586,366,0,1286,964,0,0,0,0,4384
大田区／件数(件）,21,14,6,1,3,4,1,3,0,0,0,53
大田区／面積（m2）,353,993,711,166,732,1391,959,4203,0,0,0,9508
世田谷区／件数(件）,203,71,28,10,10,9,4,0,0,2,0,337
世田谷区／面積（m2）,3140,4878,3377,1707,2394,3115,2688,0,0,18767,0,40066
渋谷区／件数(件）,22,8,1,0,0,1,0,0,1,0,0,33
渋谷区／面積（m2）,283,573,132,0,0,442,0,0,4182,0,0,5612
中野区／件数(件）,57,13,5,2,1,0,0,0,1,0,0,79
中野区／面積（m2）,835,979,635,374,237,0,0,0,2702,0,0,5762
杉並区／件数(件）,36,14,14,9,7,1,3,2,0,0,0,86
杉並区／面積（m2）,671,1017,1646,1465,1709,391,2114,2827,0,0,0,11840
豊島区／件数(件）,84,45,17,3,4,1,0,0,0,0,0,154
豊島区／面積（m2）,1751,3168,1931,513,931,389,0,0,0,0,0,8683
北区／件数(件）,101,31,16,4,0,3,0,0,1,0,0,156
北区／面積（m2）,1545,2101,1917,713,0,980,0,0,2742,0,0,9998
荒川区／件数(件）,83,14,9,3,5,3,4,0,0,0,0,121
荒川区／面積（m2）,896,1025,1056,529,1153,1022,3277,0,0,0,0,8958
板橋区／件数(件）,29,8,10,3,0,0,5,5,1,0,0,61
板橋区／面積（m2）,571,655,1113,499,0,0,3597,7257,3887,0,0,17579
練馬区／件数(件）,141,41,21,9,1,6,9,4,1,2,0,235
練馬区／面積（m2）,2007,3071,2480,1568,260,2501,6398,5986,2237,16302,0,42810
足立区／件数(件）,106,16,12,4,10,4,4,0,0,0,2,158
足立区／面積（m2）,1738,1024,1439,721,2334,1503,2566,0,0,0,40150,51475
葛飾区／件数(件）,197,27,9,2,1,4,1,0,0,0,0,241
葛飾区／面積（m2）,2960,1871,1124,387,254,1638,959,0,0,0,0,9193
江戸川区／件数(件）,167,37,20,5,3,5,9,2,0,0,0,248
江戸川区／面積（m2）,2459,2610,2426,846,793,1868,6379,2529,0,0,0,19910
合計／件数(件）,1619,414,202,68,54,49,50,18,5,4,3,2486
合計／面積（m2）,27812,29161,24213,11771,12905,18425,35903,26045,15750,35069,61242,298296
