区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),5,1,2,0,0,1,0,0,0,0,0,9
千代田区／面積(m2),152,54,248,0,0,467,0,0,0,0,0,921
中央区／件数(件),52,3,1,1,0,1,0,0,0,0,0,58
中央区／面積(m2),750,191,106,158,0,317,0,0,0,0,0,1522
港区／件数(件),32,9,0,0,0,0,0,0,0,0,0,41
港区／面積(m2),927,580,0,0,0,0,0,0,0,0,0,1507
新宿区／件数(件),38,16,3,2,0,0,1,0,0,0,0,60
新宿区／面積(m2),571,1123,323,334,0,0,587,0,0,0,0,2938
文京区／件数(件),12,3,0,0,0,1,0,1,0,0,0,17
文京区／面積(m2),268,195,0,0,0,386,0,1209,0,0,0,2058
台東区／件数(件),4,2,3,0,1,0,0,0,0,0,0,10
台東区／面積(m2),109,154,410,0,252,0,0,0,0,0,0,925
墨田区／件数(件),58,9,4,1,0,1,1,0,1,0,0,75
墨田区／面積(m2),1116,658,510,169,0,403,607,0,3521,0,0,6984
江東区／件数(件),7,0,0,0,0,2,0,0,0,0,0,9
江東区／面積(m2),113,0,0,0,0,663,0,0,0,0,0,776
品川区／件数(件),77,52,8,4,5,1,1,0,0,0,0,148
品川区／面積(m2),1129,3527,974,675,1076,348,583,0,0,0,0,8312
目黒区／件数(件),26,8,2,0,2,0,0,0,0,0,0,38
目黒区／面積(m2),588,575,222,0,543,0,0,0,0,0,0,1928
大田区／件数(件),13,2,1,0,1,1,2,0,0,0,0,20
大田区／面積(m2),298,140,128,0,240,473,1151,0,0,0,0,2430
世田谷区／件数(件),206,60,25,15,17,6,5,1,4,3,0,342
世田谷区／面積(m2),3258,4317,3045,2549,4381,2310,3253,1251,8884,27485,0,60733
渋谷区／件数(件),6,1,1,2,0,0,1,0,2,1,0,14
渋谷区／面積(m2),67,92,136,344,0,0,775,0,6382,6940,0,14736
中野区／件数(件),80,11,3,4,2,0,1,0,0,0,0,101
中野区／面積(m2),1501,750,379,702,468,0,874,0,0,0,0,4674
杉並区／件数(件),9,11,6,5,7,5,3,5,0,2,0,53
杉並区／面積(m2),133,825,677,841,1676,1988,2155,7953,0,12876,0,29124
豊島区／件数(件),74,43,17,4,2,0,1,0,0,0,0,141
豊島区／面積(m2),1745,3157,1929,649,553,0,655,0,0,0,0,8688
北区／件数(件),64,25,4,2,7,5,7,2,0,0,0,116
北区／面積(m2),1066,1711,471,373,1587,2126,5003,2206,0,0,0,14543
荒川区／件数(件),111,27,13,4,2,2,3,0,0,0,0,162
荒川区／面積(m2),1321,1824,1503,705,451,865,2408,0,0,0,0,9077
板橋区／件数(件),34,15,8,3,2,0,0,0,0,0,0,62
板橋区／面積(m2),395,1030,958,495,500,0,0,0,0,0,0,3378
練馬区／件数(件),129,41,17,11,9,4,13,4,0,1,0,229
練馬区／面積(m2),2177,2925,2033,1879,2332,1595,10036,5264,0,6303,0,34544
足立区／件数(件),95,23,6,5,1,0,0,0,0,0,0,130
足立区／面積(m2),1515,1618,761,902,275,0,0,0,0,0,0,5071
葛飾区／件数(件),142,26,7,3,4,1,3,0,0,0,0,186
葛飾区／面積(m2),2056,1922,797,483,893,378,1969,0,0,0,0,8498
江戸川区／件数(件),131,26,10,5,2,2,5,1,0,0,0,182
江戸川区／面積(m2),2231,1772,1239,823,499,971,3052,1937,0,0,0,12524
合計／件数(件),1405,414,141,71,64,33,47,14,7,7,0,2203
合計／面積(m2),23486,29140,16849,12081,15726,13290,33108,19820,18787,53604,0,235891
