区分,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年
50m2未満／件数（件）,"1,031","1,154",838,901,"1,184","1,117","1,063","1,386","1,453","1,518"
50m2未満／面積（m2）,"19,029","19,440","14,343","15,014","18,129","17,987","17,433","23,212","25,129","26,642"
50m2以上100m2未満／件数（件）,365,348,229,273,321,301,319,383,504,468
50m2以上100m2未満／面積（m2）,"25,771","24,394","16,101","19,887","23,147","21,503","22,490","27,115","36,388","33,776"
100m2以上150m2未満／件数（件）,153,139,98,120,156,171,177,161,197,205
100m2以上150m2未満／面積（m2）,"18,366","16,667","11,749","14,348","19,143","20,730","21,147","19,217","23,502","24,669"
150m2以上200m2未満／件数（件）,79,69,54,52,75,71,76,90,85,88
150m2以上200m2未満／面積（m2）,"13,826","11,728","9,547","9,033","13,205","12,283","13,304","15,572","14,444","15,283"
200m2以上300m2未満／件数（件）,76,91,54,46,78,70,71,69,76,117
200m2以上300m2未満／面積（m2）,"18,280","22,196","13,175","11,278","18,929","16,551","17,268","16,663","18,247","28,105"
300m2以上500m2未満／件数（件）,63,54,38,39,84,44,65,95,53,54
300m2以上500m2未満／面積（m2）,"24,591","20,990","14,239","14,750","32,448","16,118","24,760","36,410","20,185","19,949"
500m2以上1000m2未満／件数（件）,61,48,27,21,62,40,64,61,69,35
500m2以上1000m2未満／面積（m2）,"43,050","35,763","19,558","15,282","44,519","28,580","44,445","44,129","50,480","25,441"
1000m2以上2000m2未満／件数（件）,22,27,16,16,34,22,29,36,32,17
1000m2以上2000m2未満／面積（m2）,"29,858","35,865","22,807","20,975","46,749","29,429","36,597","48,991","44,325","22,992"
2000m2以上5000m2未満／件数（件）,15,12,6,10,12,12,10,24,11,12
2000m2以上5000m2未満／面積（m2）,"46,752","36,327","21,272","31,494","34,323","37,350","30,398","70,118","34,072","36,093"
5000m2以上10000m2未満／件数（件）,11,4,3,8,6,5,6,7,2,2
5000m2以上10000m2未満／面積（m2）,"68,955","24,795","22,047","55,036","41,597","32,050","44,632","50,584","11,084","17,071"
10000m2以上／件数（件）,4,7,3,3,5,3,1,2,1,1
10000m2以上／面積（m2）,"74,917","119,989","73,455","133,978","81,625","52,765","11,910","34,685","11,910","12,499"
合計／件数（件）,"1,880","1,953","1,366","1,489","2,017","1,856","1,881","2,314","2,483","2,517"
合計／面積（m2）,"383,395","368,154","238,293","341,074","373,814","285,346","284,384","386,696","289,766","262,520"
