区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),93,28,3,2,2,0,1,0,0,0,0,129
千代田区／面積(m2),2177,2020,361,334,442,0,580,0,0,0,0,5914
中央区／件数(件),112,23,12,6,1,1,0,0,0,0,0,155
中央区／面積(m2),2329,1475,1324,1013,274,383,0,0,0,0,0,6798
港区／件数(件),280,80,27,13,9,4,3,0,0,0,0,416
港区／面積(m2),3913,5692,3278,2217,2274,1635,1531,0,0,0,0,20540
新宿区／件数(件),753,234,69,22,19,2,2,0,0,0,0,1101
新宿区／面積(m2),12575,16297,8209,3572,4550,788,1095,0,0,0,0,47086
文京区／件数(件),578,180,47,17,9,5,1,0,0,0,0,837
文京区／面積(m2),9568,12057,5695,2931,2190,1970,628,0,0,0,0,35039
台東区／件数(件),333,132,36,12,0,1,0,0,0,0,0,514
台東区／面積(m2),7803,8954,4377,1998,0,304,0,0,0,0,0,23436
墨田区／件数(件),630,279,30,11,7,1,0,0,0,0,0,958
墨田区／面積(m2),12409,18521,3579,1884,1658,440,0,0,0,0,0,38491
江東区／件数(件),784,270,58,12,10,3,1,1,0,0,0,1139
江東区／面積(m2),14982,17871,6860,2046,2445,1160,528,1037,0,0,0,46929
品川区／件数(件),1187,289,60,37,20,5,3,0,0,0,0,1601
品川区／面積(m2),18257,19484,7179,6315,4514,1829,1742,0,0,0,0,59320
目黒区／件数(件),794,356,121,48,20,13,2,0,0,0,0,1354
目黒区／面積(m2),12698,25279,14370,8257,4634,4534,1188,0,0,0,0,70960
大田区／件数(件),2355,924,189,85,55,29,3,0,0,0,0,3640
大田区／面積(m2),43560,63427,22673,14635,13085,10556,1850,0,0,0,0,169786
世田谷区／件数(件),2634,1394,622,159,107,46,6,2,0,0,0,4970
世田谷区／面積(m2),45389,100406,72472,27030,25492,17374,3391,2284,0,0,0,293838
渋谷区／件数(件),569,165,60,18,12,8,3,0,0,0,0,835
渋谷区／面積(m2),8310,11287,7390,3146,2950,2809,1852,0,0,0,0,37744
中野区／件数(件),1060,454,107,50,20,16,2,0,0,0,0,1709
中野区／面積(m2),17710,31729,12579,8595,4875,5874,1372,0,0,0,0,82734
杉並区／件数(件),2137,946,409,77,49,20,1,0,0,0,0,3639
杉並区／面積(m2),36747,67862,47432,13184,12079,7084,559,0,0,0,0,184947
豊島区／件数(件),968,318,58,23,8,3,0,0,0,0,0,1378
豊島区／面積(m2),15938,22018,6882,4013,1954,1005,0,0,0,0,0,51810
北区／件数(件),991,343,65,24,7,5,0,0,0,0,0,1435
北区／面積(m2),18125,23646,7780,4163,1477,1676,0,0,0,0,0,56867
荒川区／件数(件),732,255,51,11,5,2,0,0,0,0,0,1056
荒川区／面積(m2),12878,17069,6028,1914,1106,873,0,0,0,0,0,39868
板橋区／件数(件),1463,589,208,36,21,13,5,0,0,0,0,2335
板橋区／面積(m2),24814,42276,24214,6226,5033,4782,2652,0,0,0,0,109997
練馬区／件数(件),2354,1166,760,77,33,15,2,1,0,0,0,4408
練馬区／面積(m2),37611,83170,86405,13013,7640,5603,1564,1000,0,0,0,236006
足立区／件数(件),2228,1261,340,73,48,19,6,0,0,0,0,3975
足立区／面積(m2),35454,93644,39216,12223,11425,6939,4436,0,0,0,0,203337
葛飾区／件数(件),1494,853,171,49,22,14,1,1,0,0,0,2605
葛飾区／面積(m2),26346,59938,19809,8246,5308,5278,544,1054,0,0,0,126523
江戸川区／件数(件),1764,899,192,50,26,19,3,0,0,0,0,2953
江戸川区／面積(m2),32062,65458,21837,8533,6397,7047,1973,0,0,0,0,143307
合計／件数(件),26293,11438,3695,912,510,244,45,5,0,0,0,43142
合計／面積(m2),451655,809580,429949,155488,121802,89943,27485,5375,0,0,0,2091277
