区名,100m2未満（千m2),200m2未満（千m2),300m2未満（千m2),500m2未満（千m2),1000m2未満（千m2),2000m2未満（千m2),5000m2未満（千m2),10000m2未満（千m2),10000m2以上（千m2),計（千m2),増減率(%）
千代田区,7,27,27,53,84,50,82,17,110,456,21.7
中央区,-1,13,7,30,60,105,24,37,-448,-173,-6.6
港区,12,43,35,66,81,94,272,246,-12,837,18.3
新宿区,25,63,60,111,94,136,83,8,-155,425,14.9
文京区,6,24,14,29,41,39,11,-62,56,159,10.4
台東区,15,60,47,50,100,44,-39,-17,-39,222,16.0
墨田区,12,43,25,44,54,-9,80,-6,-140,104,5.3
江東区,16,40,31,18,40,48,-33,187,"-1,172",-826,-8.8
品川区,15,26,25,43,56,29,-109,-50,-883,-847,-17.4
目黒区,12,45,44,58,65,34,-2,-7,-178,71,3.8
大田区,21,55,61,117,215,170,212,89,-931,11,0.2
世田谷区,21,103,91,160,150,236,212,-57,"-1,017",-102,-1.8
渋谷区,26,69,62,90,142,151,174,84,-148,651,29.9
中野区,20,55,40,50,33,54,25,-57,-94,127,8.8
杉並区,16,45,36,77,90,103,52,-168,-535,-285,-9.6
豊島区,23,54,41,47,82,38,-16,56,-117,208,13.8
北区,16,35,20,37,59,35,-10,180,-469,-98,-3.5
荒川区,14,23,22,24,34,23,-5,-23,-127,-16,-1.2
板橋区,22,43,40,48,106,106,122,52,-683,-144,-3.3
練馬区,9,21,27,53,145,132,151,-37,-680,-179,-5.7
足立区,16,61,44,96,183,233,243,74,-760,190,3.7
葛飾区,18,39,21,31,54,23,107,4,-503,-206,-7.1
江戸川区,19,42,56,85,183,156,121,-9,389,"1,042",29.1
区部計,360,"1,032",877,"1,418","2,149","2,029","1,757",540,"-8,534","1,628",2.1
,,,,,,,,,,,
