区分,所有者数／平成29年（人）,所有者数／平成28年（人）,所有者数／平成29年－平成28年（人）,面積／平成29年（千m2）,面積／平成28年（千m2）,"面積／平成29年
－平成28年（千m2）"
区部／千代田区,3193,3288,-95,187,192,-5
区部／中央区,6235,6403,-168,324,333,-9
区部／港区,6728,6829,-101,415,421,-6
区部／新宿区,16641,16589,52,1038,1033,4
区部／文京区,14453,14406,47,882,879,3
区部／台東区,15034,15094,-60,868,871,-2
区部／墨田区,18369,18313,56,1103,1099,4
区部／江東区,19925,19795,130,1187,1180,8
区部／品川区,24384,24364,20,1481,1481,1
区部／目黒区,16187,16034,153,1070,1057,13
区部／大田区,44987,44323,664,2868,2824,45
区部／世田谷区,48427,47840,587,3341,3294,46
区部／渋谷区,11312,11301,11,703,703,0
区部／中野区,23371,23203,168,1517,1502,15
区部／杉並区,35005,34484,521,2423,2379,45
区部／豊島区,19151,19022,129,1185,1177,9
区部／北区,23905,23605,300,1468,1450,19
区部／荒川区,15478,15269,209,894,882,12
区部／板橋区,34712,34464,248,2268,2250,18
区部／練馬区,45411,45080,331,3254,3225,29
区部／足立区,53264,52591,673,3590,3538,53
区部／葛飾区,42231,41735,496,2750,2713,37
区部／江戸川区,59420,58887,533,3772,3731,41
区部／区部計,597823,592919,4904,38589,38210,379
市部／八王子市,10854,10882,-28,774,774,0
市部／立川市,6494,6436,58,478,474,5
市部／武蔵野市,5047,5057,-10,350,350,0
市部／三鷹市,7807,7801,6,564,564,0
市部／青梅市,3687,3704,-17,263,264,-1
市部／府中市,10900,10755,145,796,782,13
市部／昭島市,3748,3761,-13,270,270,0
市部／調布市,9476,9388,88,691,683,8
市部／町田市,7098,7098,0,505,504,0
市部／小金井市,4860,4746,114,354,344,10
市部／小平市,14506,14455,51,1098,1095,3
市部／日野市,6984,6863,121,606,594,12
市部／東村山市,7433,7469,-36,551,553,-2
市部／国分寺市,5928,5820,108,433,426,7
市部／国立市,2685,2653,32,193,190,3
市部／福生市,2035,2034,1,150,150,0
市部／狛江市,6393,4033,2360,460,285,175
市部／東大和市,3301,3319,-18,246,247,-1
市部／清瀬市,2421,2425,-4,176,176,0
市部／東久留米市,12287,12175,112,734,729,4
市部／武蔵村山市,2688,2704,-16,207,208,-1
市部／多摩市,16328,16060,268,772,765,7
市部／稲城市,2274,2268,6,166,166,0
市部／羽村市,2081,2062,19,157,157,0
市部／あきる野市,2104,2003,101,142,137,5
市部／西東京市,23865,23703,162,1292,1282,10
市部／市部計,183284,179674,3610,12427,12168,258
区部・市部計,781107,772593,8514,51016,50379,637
