区名,100m2未満（千m2）,200m2未満（千m2）,300m2未満（千m2）,500m2未満（千m2）,1000m2未満（千m2）,2000m2未満（千m2）,5000m2未満（千m2）,10000m2未満（千m2）,10000m2以上（千m2）,計（千m2）,増減率（%）
千代田区,9,28,25,38,42,13,0,3,314,470,22.4
中央区,3,18,7,10,-6,0,-90,21,-179,-217,-8.2
港区,16,51,44,52,17,-16,7,41,625,836,18.3
新宿区,28,67,60,86,32,40,-22,-42,340,589,20.6
文京区,6,27,18,23,4,-3,-27,-41,159,165,10.8
台東区,20,58,42,36,63,32,-35,-27,46,236,17.0
墨田区,14,40,25,31,37,-33,14,9,-29,107,5.5
江東区,17,47,29,21,-5,2,-112,-24,-739,-764,-8.2
品川区,15,34,25,35,22,-33,-232,-109,-589,-834,-17.1
目黒区,15,49,44,44,38,-8,-53,-37,-13,79,4.3
大田区,23,60,59,107,139,74,53,-10,-477,29,0.4
世田谷区,24,110,84,139,101,19,-17,-101,-438,-77,-1.3
渋谷区,30,73,65,81,88,72,21,16,230,677,31.1
中野区,22,55,41,42,16,52,-53,-53,26,146,10.1
杉並区,15,47,33,54,50,20,-39,-193,-268,-280,-9.5
豊島区,22,54,47,46,54,9,-59,-15,66,224,14.9
北区,19,38,24,23,13,9,-35,50,-241,-100,-3.5
荒川区,16,28,18,22,32,3,-16,-4,-101,0,0.0
板橋区,24,47,43,48,44,61,53,-74,-355,-109,-2.5
練馬区,9,29,24,38,81,50,77,16,-452,-128,-4.1
足立区,17,66,38,73,157,147,181,-24,-625,29,0.6
葛飾区,20,50,25,20,25,-26,78,-17,-362,-187,-6.4
江戸川区,17,53,60,65,123,99,77,47,527,1068,29.9
区部計,400,1131,882,1134,1164,584,-230,-569,-2535,1961,2.6
