摘要,全地目／所有者数(人),全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数(人),宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,1287613,98.9,202906,68.2,1284843,99,201227,71.6
区部／2000m2以上,14209,1.1,94706,31.8,13306,1,79882,28.4
区部／計,1301822,100,297612,100,1298149,100,281109,100
市部／2000m2未満,926663,97.6,194421,45.5,887381,98.8,176631,71.7
市部／2000m2以上,22468,2.4,232705,54.5,11046,1.2,69612,28.3
市部／計,949131,100,427127,100,898427,100,246243,100
区市計／2000m2未満,2214276,98.4,397328,54.8,2172224,98.9,377858,71.7
区市計／2000m2以上,36677,1.6,327411,45.2,24352,1.1,149495,28.3
区市計／計,2250953,100,724739,100,2196576,100,527353,100
