区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),2,3,4,0,1,1,1,0,0,0,0,12
千代田区／面積(m2),56,218,495,0,205,397,831,0,0,0,0,2202
中央区／件数(件),7,1,0,0,0,0,1,0,0,0,2,11
中央区／面積(m2),177,88,0,0,0,0,523,0,0,0,30864,31652
港区／件数(件),28,5,3,2,1,1,0,0,0,0,0,40
港区／面積(m2),646,408,355,354,217,363,0,0,0,0,0,2343
新宿区／件数(件),32,7,0,1,0,1,1,0,0,0,0,42
新宿区／面積(m2),428,535,0,187,0,326,548,0,0,0,0,2024
文京区／件数(件),7,7,1,0,0,0,0,0,0,0,0,15
文京区／面積(m2),111,489,121,0,0,0,0,0,0,0,0,721
台東区／件数(件),4,0,1,1,1,0,0,0,0,0,0,7
台東区／面積(m2),150,0,138,185,289,0,0,0,0,0,0,762
墨田区／件数(件),36,5,1,0,0,0,0,0,0,0,0,42
墨田区／面積(m2),871,415,120,0,0,0,0,0,0,0,0,1406
江東区／件数(件),2,1,1,0,0,0,0,0,0,0,0,4
江東区／面積(m2),58,63,142,0,0,0,0,0,0,0,0,263
品川区／件数(件),54,15,4,4,0,1,1,1,0,0,0,80
品川区／面積(m2),888,1072,460,639,0,410,516,1193,0,0,0,5178
目黒区／件数(件),10,13,1,0,0,0,0,0,0,0,0,24
目黒区／面積(m2),159,854,149,0,0,0,0,0,0,0,0,1162
大田区／件数(件),13,10,1,1,2,0,0,0,0,0,0,27
大田区／面積(m2),173,782,123,194,413,0,0,0,0,0,0,1685
世田谷区／件数(件),125,37,20,14,12,3,6,3,3,0,1,224
世田谷区／面積(m2),2023,2725,2490,2378,3039,1134,5213,4146,7913,0,11893,42954
渋谷区／件数(件),14,2,3,0,2,1,0,0,0,0,0,22
渋谷区／面積(m2),253,160,371,0,507,337,0,0,0,0,0,1628
中野区／件数(件),60,6,3,2,0,1,0,0,0,0,0,72
中野区／面積(m2),1193,402,379,347,0,334,0,0,0,0,0,2655
杉並区／件数(件),6,5,3,1,0,1,0,0,0,0,0,16
杉並区／面積(m2),135,325,352,186,0,311,0,0,0,0,0,1309
豊島区／件数(件),43,18,4,2,3,0,0,1,0,0,0,71
豊島区／面積(m2),681,1248,541,333,837,0,0,1161,0,0,0,4801
北区／件数(件),46,3,6,1,2,0,0,0,0,0,0,58
北区／面積(m2),639,235,759,153,436,0,0,0,0,0,0,2222
荒川区／件数(件),81,13,7,4,0,4,4,1,0,0,0,114
荒川区／面積(m2),1318,979,848,651,0,1540,3338,1065,0,0,0,9739
板橋区／件数(件),9,5,0,3,1,3,0,0,0,0,0,21
板橋区／面積(m2),164,350,0,499,201,1073,0,0,0,0,0,2287
練馬区／件数(件),92,40,24,16,16,25,8,7,3,0,1,232
練馬区／面積(m2),1693,2708,2912,2849,4099,9423,5289,9358,11629,0,11496,61456
足立区／件数(件),65,26,11,0,3,2,6,2,0,0,0,115
足立区／面積(m2),918,1728,1331,0,704,807,4221,2461,0,0,0,12170
葛飾区／件数(件),103,27,5,2,8,2,4,1,0,0,0,152
葛飾区／面積(m2),1764,1901,645,364,2047,713,2558,1412,0,0,0,11404
江戸川区／件数(件),111,41,12,3,9,2,1,1,0,1,0,181
江戸川区／面積(m2),1885,2927,1353,471,2089,825,762,1100,0,5286,0,16698
合計／件数(件),950,290,115,57,61,48,33,17,6,1,4,1582
合計／面積(m2),16383,20612,14084,9790,15083,17993,23799,21896,19542,5286,54253,218721
