区分,合計(戸数),一戸建／総数(戸数),一戸建／木造(防火木造除く)(戸数),一戸建／防火木造(戸数),一戸建／鉄筋鉄骨コンクリート造(戸数),一戸建／鉄骨造(戸数),一戸建／その他(戸数),長屋建／総数(戸数),長屋建／木造(防火木造除く)(戸数),長屋建／防火木造(戸数),長屋建／鉄筋鉄骨コンクリート造(戸数),長屋建／鉄骨造(戸数),長屋建／その他(戸数),共同住宅／総数(戸数),共同住宅／木造(防火木造除く)(戸数),共同住宅／防火木造(戸数),共同住宅／鉄筋鉄骨コンクリート造(戸数),共同住宅／鉄骨造(戸数),共同住宅／その他(戸数),その他(戸数)
東京都／空き家総数,809900,94800,34600,53200,3500,3400,100,12300,3400,6900,1000,1000,0,700100,34600,96800,475900,92100,700,2700
東京都／空き家総数／二次的住宅,9300,2900,1000,1300,300,200,-,300,100,200,-,0,-,5800,100,1000,4100,500,-,300
東京都／空き家総数／賃貸用の住宅,579000,8400,3000,4500,400,500,0,7400,1700,4200,700,800,0,562700,29800,84600,369700,78000,600,500
東京都／空き家総数／売却用の住宅,41500,17600,5200,11400,600,400,-,600,300,300,-,-,-,23200,400,600,20900,1300,-,100
東京都／空き家総数／その他の住宅,180000,65900,25400,36000,2100,2300,100,4100,1400,2200,300,100,0,108300,4300,10600,81200,12200,100,1700
東京都／腐朽・破損あり,118700,29100,17600,10300,400,800,-,3900,2000,1400,300,100,0,85100,18000,21400,34200,11300,200,600
東京都／腐朽・破損あり／二次的住宅,1300,400,400,100,-,0,-,100,-,100,-,-,-,800,100,200,300,200,-,100
東京都／腐朽・破損あり／賃貸用の住宅,73600,2600,1700,700,100,100,-,2100,1000,800,100,100,-,68800,15400,18400,25200,9600,200,100
東京都／腐朽・破損あり／売却用の住宅,4700,3800,2100,1600,100,0,-,200,100,100,-,-,-,600,-,100,500,0,-,0
東京都／腐朽・破損あり／その他の住宅,39200,22200,13400,7900,300,600,-,1600,900,400,200,0,0,15000,2500,2700,8200,1500,-,400
東京都／腐朽・破損なし,691200,65700,17000,43000,3000,2600,100,8500,1400,5500,700,900,0,615000,16600,75400,441700,80700,500,2100
東京都／腐朽・破損なし／二次的住宅,7900,2400,700,1300,300,200,-,300,100,200,-,0,-,5000,100,800,3800,300,-,200
東京都／腐朽・破損なし／賃貸用の住宅,505500,5800,1300,3800,300,300,0,5300,700,3300,600,700,0,494000,14400,66300,344500,68400,500,400
東京都／腐朽・破損なし／売却用の住宅,36900,13800,3100,9800,600,300,-,400,200,200,-,-,-,22600,400,500,20400,1300,-,100
東京都／腐朽・破損なし／その他の住宅,140900,43700,12000,28100,1800,1700,100,2500,500,1800,100,100,-,93300,1800,7800,73000,10700,100,1400
特別区部／空き家総数,572900,55300,19700,30400,2400,2900,0,7100,2200,3900,600,400,0,508200,26400,61200,357700,62500,400,2300
特別区部／空き家総数／二次的住宅,6300,1000,200,600,100,100,-,300,100,200,-,-,-,4700,100,700,3500,400,-,300
特別区部／空き家総数／賃貸用の住宅,407200,5200,1500,2900,300,500,-,3700,1100,2100,300,300,-,398000,22600,51900,271900,51200,400,300
特別区部／空き家総数／売却用の住宅,31100,12300,4200,7200,500,300,-,400,200,200,-,-,-,18200,300,400,16300,1200,-,100
特別区部／空き家総数／その他の住宅,128400,36800,13700,19700,1500,1900,0,2700,900,1400,200,100,0,87300,3400,8200,66100,9700,0,1500
特別区部／腐朽・破損あり,79500,17900,10500,6500,200,700,-,2500,1200,1000,200,-,0,58600,13700,14000,23700,7000,100,500
特別区部／腐朽・破損あり／二次的住宅,800,200,100,0,-,-,-,100,-,100,-,-,-,600,100,100,200,100,-,0
特別区部／腐朽・破損あり／賃貸用の住宅,48500,1500,800,500,0,100,-,1300,700,600,0,-,-,45600,11600,11800,16500,5700,100,100
特別区部／腐朽・破損あり／売却用の住宅,3700,3100,1800,1200,0,0,-,200,100,100,-,-,-,500,-,100,400,0,-,0
特別区部／腐朽・破損あり／その他の住宅,26500,13200,7800,4800,100,500,-,1000,500,300,200,-,0,11900,2100,2100,6700,1100,-,300
特別区部／腐朽・破損なし,493400,37400,9100,23900,2200,2200,0,4600,1000,2900,300,400,-,449700,12700,47200,334000,55500,300,1800
特別区部／腐朽・破損なし／二次的住宅,5500,900,100,500,100,100,-,200,100,200,-,-,-,4100,0,600,3300,300,-,200
