区市町村名,令和3年-令和2年計／床面積(千m2),令和3年-令和2年計／増減率(%),令和3年-令和2年住宅・アパート／床面積(千m2),令和3年-令和2年住宅・アパート／増減率(%),令和3年-令和2年事務所・店舗等／床面積(千m2),令和3年-令和2年事務所・店舗等／増減率(%),令和3年-令和2年工場・倉庫／床面積(千m2),令和3年-令和2年工場・倉庫／増減率(%),令和3年-令和2年その他／床面積(千m2),令和3年-令和2年その他／増減率(%)
区部／千代田区,275,1.1,2,0,245,1.3,0,0.2,27,1.8
区部／中央区,221,1,207,2.7,-23,-0.2,-20,-4.5,58,5.8
区部／港区,33,0.1,57,0.4,-83,-0.4,-4,-0.5,63,3.2
区部／新宿区,172,0.7,108,0.7,44,0.5,-1,-0.2,21,1.7
区部／文京区,35,0.3,45,0.5,-12,-0.5,0,0,2,0.7
区部／台東区,152,1.1,100,1.1,-18,-0.6,-9,-2.4,80,9
区部／墨田区,130,0.9,126,1.2,-1,-0.1,-9,-1,15,5
区部／江東区,481,1.6,223,1.2,-27,-0.4,226,4,59,7.7
区部／品川区,292,1.2,270,1.8,4,0.1,7,0.4,12,1.9
区部／目黒区,110,0.8,111,1,-2,-0.1,0,-0.1,1,0.7
区部／大田区,320,0.9,187,0.7,76,1.8,23,0.5,33,2.5
区部／世田谷区,289,0.8,275,0.8,10,0.4,-6,-1.3,11,2.7
区部／渋谷区,265,1.3,132,1.1,138,1.8,-3,-1.7,-2,-0.3
区部／中野区,128,0.9,129,1.1,-3,-0.2,0,-0.2,2,1.3
区部／杉並区,143,0.6,136,0.6,-1,-0.1,3,1.1,5,1.9
区部／豊島区,-6,0,-18,-0.2,0,0,-8,-3.9,20,3.3
区部／北区,77,0.5,107,0.9,-39,-3,2,0.3,6,2.1
区部／荒川区,53,0.6,32,0.4,-1,-0.2,-7,-1.4,29,12
区部／板橋区,125,0.5,167,0.9,-31,-1.9,-24,-1.4,14,3.3
区部／練馬区,170,0.6,164,0.6,-6,-0.4,3,0.5,9,2.4
区部／足立区,198,0.7,188,0.8,10,0.5,-13,-0.6,13,1.8
区部／葛飾区,126,0.7,116,0.7,1,0.1,0,0,9,3.1
区部／江戸川区,192,0.7,168,0.7,-2,-0.1,7,0.4,19,4.6
区部／区部計,3981,0.8,3031,0.8,279,0.2,166,0.7,505,3.4
市部／八王子市,113,0.4,111,0.5,-6,-0.2,10,0.4,-2,-0.3
市部／立川市,122,1.3,66,1.1,8,0.4,39,5.2,8,2.4
市部／武蔵野市,57,0.8,37,0.7,18,1.3,0,-0.3,2,1.9
市部／三鷹市,54,0.7,77,1.2,-13,-1.8,-9,-2.5,-1,-0.5
市部／青梅市,125,1.8,36,0.7,-2,-0.4,93,11,-1,-0.4
市部／府中市,36,0.3,42,0.5,-2,-0.1,-3,-0.2,-2,-0.3
市部／昭島市,32,0.6,34,0.9,-1,-0.2,-1,-0.1,0,-0.1
市部／調布市,72,0.8,69,0.9,-3,-0.3,0,0,6,3.8
市部／町田市,140,0.7,130,0.8,18,0.9,-7,-0.9,-1,-0.1
市部／小金井市,130,2.7,108,2.5,21,6.1,0,1.7,0,0.1
市部／小平市,68,0.9,52,0.8,14,2.1,2,0.5,0,-0.2
市部／日野市,8,0.1,56,0.8,-14,-1.9,-33,-3.6,-1,-0.5
市部／東村山市,44,0.7,51,1,-2,-0.6,-2,-0.6,-2,-1.5
市部／国分寺市,28,0.5,34,0.7,-2,-0.4,-3,-1.8,0,-0.5
市部／国立市,9,0.3,13,0.5,0,0,-3,-1.9,0,0
市部／福生市,14,0.6,12,0.6,0,0.1,3,1.8,0,-0.7
市部／狛江市,25,0.8,25,0.9,1,0.6,0,-0.9,0,-0.6
市部／東大和市,18,0.5,19,0.7,-1,-0.4,0,0.1,-1,-0.9
市部／清瀬市,44,1.6,45,1.9,-1,-0.5,0,0.2,-1,-0.5
市部／東久留米市,46,1,44,1.2,4,0.8,0,-0.1,-2,-0.8
市部／武蔵村山市,17,0.5,20,0.8,-2,-0.4,-1,-0.1,0,-0.1
市部／多摩市,101,1.4,12,0.2,18,1.2,65,26.4,5,1.3
市部／稲城市,50,1.3,47,1.5,1,0.3,3,1.3,-1,-1.6
市部／羽村市,43,1.3,12,0.6,-1,-0.2,33,4.1,-1,-2.3
市部／あきる野市,27,0.7,21,0.7,7,2.8,0,0.1,-1,-0.4
市部／西東京市,66,0.8,59,0.9,4,0.6,1,0.3,2,1.2
市部／市部計,1489,0.8,1232,0.8,66,0.3,187,1.5,4,0.1
西多摩郡／瑞穂町,14,0.6,11,1,-2,-0.7,5,0.6,0,-0.1
西多摩郡／日の出町,70,6.9,71,11.2,0,0.2,0,0,-1,-1
西多摩郡／檜原村,-1,-0.5,-1,-0.5,0,-0.5,0,0.1,0,-0.9
西多摩郡／奥多摩町,-5,-1.2,-3,-0.9,-1,-3.5,-1,-2.2,-1,-2.2
西多摩郡／西多摩郡計,79,2,79,3.5,-3,-0.5,4,0.4,-2,-0.8
多摩地域計,1568,0.8,1312,0.9,63,0.3,192,1.4,2,0
区部・多摩計,5549,0.8,4342,0.9,342,0.2,358,0.9,507,2.4
