区市名,平成30年／個人（千m2）,平成30年／法人（千m2）,平成30年／計（千m2）,平成29年／個人（千m2）,平成29年／法人（千m2）,平成29年／計（千m2）,平成30年-平成29年／個人（千m2）,平成30年-平成29年／法人（千m2）,平成30年-平成29年／計（千m2）
区部／千代田区,599,2567,3167,606,2553,3159,-6,14,8
区部／中央区,713,2404,3118,728,2448,3176,-15,-44,-59
区部／港区,1915,5391,7307,1923,5392,7314,-7,0,-8
区部／新宿区,4818,3441,8259,4867,3277,8144,-49,163,114
区部／文京区,3292,1685,4977,3307,1679,4986,-16,6,-9
区部／台東区,2431,1621,4052,2457,1607,4065,-27,14,-13
区部／墨田区,3919,2057,5977,3950,2054,6004,-31,4,-27
区部／江東区,3908,8563,12471,3924,8501,12426,-17,62,45
区部／品川区,5811,4032,9844,5856,4019,9875,-44,13,-31
区部／目黒区,6141,1925,8066,6167,1917,8084,-26,8,-18
区部／大田区,15756,6802,22558,15825,6784,22609,-69,18,-51
区部／世田谷区,25383,5663,31046,25446,5638,31085,-63,24,-38
区部／渋谷区,3888,2846,6733,3918,2820,6738,-30,26,-4
区部／中野区,7545,1590,9135,7566,1571,9137,-22,19,-2
区部／杉並区,17314,2668,19981,17348,2663,20012,-35,4,-31
区部／豊島区,5270,1730,7000,5310,1714,7024,-40,16,-24
区部／北区,5994,2729,8723,6013,2731,8744,-19,-2,-21
区部／荒川区,3480,1268,4748,3508,1252,4761,-28,15,-13
区部／板橋区,11585,4261,15846,11622,4226,15848,-38,35,-3
区部／練馬区,23455,2983,26438,23509,2932,26441,-54,51,-3
区部／足立区,20380,5191,25571,20432,5352,25784,-53,-161,-213
区部／葛飾区,12678,2735,15413,12711,2716,15426,-33,20,-14
区部／江戸川区,17066,4643,21709,17119,4617,21736,-53,26,-27
区部／区部計,203341,78797,282138,204114,78464,282579,-773,332,-440
市部／八王子市,30778,7336,38114,30733,7190,37923,45,146,191
市部／立川市,7829,2973,10802,7813,2980,10793,16,-7,9
市部／武蔵野市,5120,1193,6313,5119,1182,6301,1,10,12
市部／三鷹市,7257,1388,8645,7238,1376,8614,20,12,31
市部／青梅市,10451,2145,12597,10420,2135,12555,32,11,42
市部／府中市,9824,3128,12951,9822,3105,12927,2,23,24
市部／昭島市,5198,2379,7577,5178,2395,7573,20,-16,4
市部／調布市,8399,1819,10218,8371,1811,10182,28,7,35
市部／町田市,24012,4259,28272,23967,4156,28124,45,103,148
市部／小金井市,5093,638,5731,5087,624,5711,6,14,20
市部／小平市,8516,1740,10257,8479,1758,10237,37,-18,20
市部／日野市,8767,2473,11241,8735,2432,11167,33,41,74
市部／東村山市,6780,909,7689,6757,909,7666,23,0,24
市部／国分寺市,5267,1114,6381,6790,1290,8080,-1523,-176,-1699
市部／国立市,3385,751,4136,3382,743,4125,3,8,11
市部／福生市,3117,503,3619,3120,495,3614,-3,8,5
市部／狛江市,3075,344,3419,3064,346,3410,12,-2,9
市部／東大和市,4454,708,5162,4457,688,5145,-3,20,17
市部／清瀬市,3033,584,3618,3008,569,3576,26,15,41
市部／東久留米市,5548,1139,6687,5524,1129,6653,24,10,33
市部／武蔵村山市,4547,872,5418,4508,907,5416,38,-36,3
市部／多摩市,5963,2154,8117,5944,2162,8106,20,-8,11
市部／稲城市,3875,1005,4880,3863,951,4814,11,54,66
市部／羽村市,3614,1826,5440,4177,1903,6080,-563,-77,-640
市部／あきる野市,7431,878,8309,7413,854,8267,18,24,42
市部／西東京市,7694,1144,8838,7644,1160,8804,50,-16,34
市部／市部計,199031,45399,244430,200613,45250,245863,-1582,149,-1433
区部・市部計,402372,124196,526568,404727,123714,528441,-2355,482,-1873
