区市町村名,合計／令和3年(千m2),合計／令和2年(千m2),合計／令和3年-令和2年(千m2),住宅地区／令和3年(千m2),住宅地区／令和2年(千m2),住宅地区／令和3年-令和2年(千m2),商業地区／令和3年(千m2),商業地区／令和2年(千m2),商業地区／令和3年-令和2年(千m2),工業地区／令和3年(千m2),工業地区／令和2年(千m2),工業地区／令和3年-令和2年(千m2),その他／令和3年(千m2),その他／令和2年(千m2),その他／令和3年-令和2年(千m2)
区部／千代田区,3652,3655,-3,482,495,-13,3171,3161,10,0,0,0,0,0,0
区部／中央区,3938,3934,4,1360,1340,21,2476,2479,-3,101,115,-14,0,0,0
区部／港区,9309,9315,-6,6084,6084,-1,3017,3019,-2,209,213,-3,0,0,0
区部／新宿区,9870,9879,-9,8667,8590,77,1196,1197,-1,7,91,-84,0,0,0
区部／文京区,5873,5876,-3,5112,5092,20,714,734,-20,46,50,-3,0,0,0
区部／台東区,4534,4535,-1,2034,2035,-1,2500,2499,0,0,0,0,0,0,0
区部／墨田区,6845,6849,-4,5614,5211,403,474,461,13,758,1178,-420,0,0,0
区部／江東区,14941,14612,329,10415,10042,373,784,711,73,3743,3859,-117,0,0,0
区部／品川区,11520,10643,877,9360,9369,-9,795,799,-4,1365,475,890,0,0,0
区部／目黒区,9114,9121,-7,8797,8790,7,317,331,-14,0,0,0,0,0,0
区部／大田区,25018,24764,254,22416,22406,10,315,315,1,2286,2043,244,0,0,0
区部／世田谷区,35066,34841,224,34836,34622,214,230,219,11,0,0,0,0,0,0
区部／渋谷区,8124,8122,1,6856,6855,1,1267,1267,0,0,0,0,0,0,0
区部／中野区,10072,10079,-7,9896,9903,-6,176,176,0,0,0,0,0,0,0
区部／杉並区,21648,21644,4,21473,21461,12,175,183,-8,0,0,0,0,0,0
区部／豊島区,7794,7801,-7,6877,6855,22,917,946,-29,0,0,0,0,0,0
区部／北区,9549,9559,-10,8821,8741,81,203,204,-1,525,615,-90,0,0,0
区部／荒川区,5374,5382,-9,4502,4505,-3,161,160,0,711,717,-6,0,0,0
