区分,東京都／件数(件),東京都／指数,東京都／全国比(%),東京圏／件数(千件),東京圏／指数,東京圏／全国比(%),全国／件数(千件),全国／指数
昭和55年,137572,100,5.3,517,100,19.9,2598,100
昭和56年,133282,97,5.3,489,95,19.5,2509,97
昭和57年,135168,98,5.6,473,91,19.6,2414,93
昭和58年,136831,99,6.1,451,87,19.9,2261,87
昭和59年,141593,103,6.4,453,88,20.4,2224,86
昭和60年,141205,103,6.6,441,85,20.7,2132,82
昭和61年,153183,111,7.1,484,94,22.5,2151,83
昭和62年,140120,102,6.2,519,100,22.8,2272,87
昭和63年,92592,67,4.3,398,77,18.7,2132,82
平成元年,101296,74,4.5,418,81,18.5,2258,87
平成2年,97870,71,4.4,409,79,18.6,2205,85
平成3年,79792,58,4,333,64,16.6,2004,77
平成4年,72381,53,4,311,60,17.1,1818,70
平成5年,78254,57,4.4,316,61,17.8,1773,68
平成6年,88711,64,4.8,347,67,18.9,1837,71
平成7年,109377,80,5.9,376,73,20.4,1847,71
平成8年,124769,91,6.4,418,81,21.3,1957,75
平成9年,126760,92,6.9,406,79,22,1847,71
平成10年,130549,95,7.7,381,74,22.3,1705,66
平成11年,141773,103,8.3,412,80,24,1718,66
平成12年,159499,116,9.4,436,84,25.6,1700,65
平成13年,154635,112,9.4,434,84,26.4,1644,63
平成14年,156256,114,9.8,433,84,27,1600,62
平成15年,170568,124,10.6,455,88,28.3,1608,62
平成16年,175258,127,10.9,465,90,29,1601,62
平成17年,173073,126,11,469,91,29.7,1580,61
平成18年,164755,120,10.7,466,90,30.1,1547,60
平成19年,149171,108,10.4,430,83,29.8,1440,55
平成20年,121103,88,9.4,362,70,28,1294,50
平成21年,120069,87,10.2,343,66,29.1,1179,45
平成22年,114780,83,9.9,330,64,28.6,1154,44
平成23年,114983,84,10.1,326,63,28.7,1136,44
平成24年,127978,93,10.6,356,69,29.6,1204,46
平成25年,136259,99,10.6,371,72,29,1281,49
平成26年,132300,96,10.5,359,69,28.5,1257,48
平成27年,139867,102,10.9,378,73,29.4,1287,50
平成28年,136993,100,10.6,371,72,28.7,1291,50
平成29年,140156,102,10.6,381,73,28.9,1317,51
