区分,供給戸数／区部（戸）,供給戸数／多摩（戸）,供給戸数／都（戸）,１戸当たり平均住戸専有面積／区部（m2）,１戸当たり平均住戸専有面積／多摩（m2）,１戸当たり平均住戸専有面積／都（m2）,１戸当たり平均住戸価格／区部（万円）,１戸当たり平均住戸価格／多摩（万円）,１戸当たり平均住戸価格／都（万円）
昭和58年,22505,4307,26812,49.79,59.33,51.32,2647,2585,2637
昭和59年,18314,3413,21727,53.96,61.68,55.17,2744,2518,2709
昭和60年,13743,3317,17060,56.24,61.51,57.27,3016,2545,2924
昭和61年,10021,2285,12306,59.31,63.96,60.18,3313,2713,3201
昭和62年,9277,2769,12046,54.41,63.42,56.48,4791,3378,4466
昭和63年,5824,2377,8201,57.19,77.5,63.07,7183,5219,6613
平成元年,6794,2426,9220,56.5,59.74,57.35,8125,5140,7340
平成2年,7225,3154,10379,55.53,59.15,56.63,8481,6150,7773
平成3年,4748,2183,6931,55.8,62.37,57.87,8667,6088,7855
平成4年,5657,1982,7639,55.88,59.6,56.85,6941,4852,6399
平成5年,8204,3201,11405,56.57,61.43,57.94,5344,4721,5169
平成6年,20304,7234,27538,60.58,63.32,61.3,5200,4629,5050
平成7年,23466,10032,33498,62.93,66.84,64.1,4665,4389,4583
平成8年,25902,8803,34705,65.58,70.9,66.93,4888,4384,4760
平成9年,22877,7862,30739,66.16,71.04,67.41,5133,4288,4917
平成10年,22035,6968,29003,66.55,72.48,67.97,4815,4180,4662
平成11年,31321,9034,40355,67.62,72.99,68.82,4723,4125,4589
平成12年,35318,10274,45592,70.15,77.67,71.84,4632,3966,4482
平成13年,31843,9638,41481,72.25,79.77,74,4723,3835,4517
平成14年,31574,10913,42487,73.12,82.45,75.52,4666,3878,4464
平成15年,36340,10548,46888,68.1,80.43,70.87,4599,3786,4416
平成16年,39147,8321,47468,69.59,78.41,71.14,4663,3820,4515
平成17年,31025,8962,39987,71.85,77.49,73.11,4920,3834,4677
平成18年,23650,7004,30654,72.05,76.53,73.08,5149,3932,4871
平成19年,16563,7728,24291,71.45,76.11,72.93,6120,4263,5529
平成20年,15602,4355,19957,69.54,75.44,70.83,5932,4668,5656
平成21年,16387,3310,19697,65.04,74.19,66.58,5190,4335,5047
平成22年,20393,3447,23840,66.28,74.91,67.53,5497,4474,5349
平成23年,19410,4262,23672,65.84,74.98,67.49,5339,4152,5125
平成24年,19398,4863,24261,65.97,74.38,67.65,5283,4318,5090
平成25年,28340,4436,32776,67.64,73.07,68.37,5853,4238,5634
平成26年,20774,4425,25199,68.63,72.97,69.39,5994,4726,5772
平成27年,18472,5427,23899,68.18,73.48,69.38,6732,4564,6240
平成28年,14764,4069,18833,65.97,71.96,67.26,6629,4985,6274
平成29年,16017,4016,20033,65.46,70.97,66.56,7089,5054,6681
