順位,標準地番号,都道府県,標準地の所在地,令和２年,令和３年,変動率
1,倶知安－3,北海道,字山田８３番２９,"108,000","135,000",25.0
2,北広島－1,北海道,共栄町１丁目１０番３,"31,000","36,500",17.7
3,北広島－6,北海道,東共栄２丁目２０番５,"21,200","24,500",15.6
4,北広島－4,北海道,美沢３丁目４番８,"33,000","38,000",15.2
5,倶知安－2,北海道,南３条東１丁目１６番９外,"47,000","53,500",13.8
6,北広島－14,北海道,北進町３丁目３番４,"40,000","45,000",12.5
7,白馬－1,長野県,大字北城字堰別レ８２７番３６,"8,980","10,100",12.5
8,福岡博多－16,福岡県,博多駅南５丁目５２番２,"248,000","277,000",11.7
9,福岡中央－21,福岡県,港２丁目１０番８,"338,000","376,000",11.2
10,倶知安－1,北海道,北７条西２丁目２番２８,"26,000","28,800",10.8
