区名,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),327,157,75,35,21,12,13,1,0,0,0,641
千代田区／面積(m2),8186,11113,9109,5967,5113,4778,9069,1013,0,0,0,54348
中央区／件数(件),689,272,81,52,24,18,3,1,1,0,0,1141
中央区／面積(m2),14992,19340,9671,8790,5700,6532,2032,1580,4211,0,0,72848
港区／件数(件),742,316,146,89,98,56,26,9,2,1,1,1486
港区／面積(m2),14863,21984,17674,15416,23361,20844,18414,13483,4498,7246,14988,172771
新宿区／件数(件),1237,561,244,133,102,64,30,3,1,0,1,2376
新宿区／面積(m2),20620,40173,29822,22960,24860,23619,20518,4856,2014,0,14449,203891
文京区／件数(件),947,409,154,66,49,37,9,1,0,0,0,1672
文京区／面積(m2),17623,28704,18879,11273,11931,13738,5780,1484,0,0,0,109412
台東区／件数(件),787,496,217,85,52,25,7,2,0,0,0,1671
台東区／面積(m2),19392,34664,25904,14779,12473,8979,4297,2455,0,0,0,122943
墨田区／件数(件),1182,622,241,112,84,44,18,5,3,1,0,2312
墨田区／面積(m2),23334,43105,28933,18969,20443,16606,11928,6625,8615,6465,0,185023
江東区／件数(件),1196,528,169,96,77,66,19,13,9,1,2,2176
江東区／面積(m2),24475,36947,20420,16255,18654,24732,13548,18888,28806,8098,38018,248841
品川区／件数(件),1778,719,232,119,110,58,26,7,3,0,1,3053
品川区／面積(m2),31223,48570,27927,20537,26177,21647,18439,9858,8955,0,11089,224422
目黒区／件数(件),1099,499,275,121,120,83,13,1,1,0,0,2212
目黒区／面積(m2),17080,35695,33446,21104,28583,30803,8443,1084,2966,0,0,179204
大田区／件数(件),3018,1430,540,243,243,148,83,11,2,1,1,5720
大田区／面積(m2),57586,99495,65135,41296,58045,56379,56951,14965,4917,8483,10151,473403
世田谷区／件数(件),3777,1950,969,432,446,230,96,32,6,2,0,7940
世田谷区／面積(m2),65344,142908,114770,74866,107896,86809,65731,40604,14894,15091,0,728913
渋谷区／件数(件),863,342,220,130,78,61,26,6,0,0,0,1726
渋谷区／面積(m2),14682,24761,26856,22076,18728,21988,18128,8460,0,0,0,155679
中野区／件数(件),1703,794,328,138,110,56,22,6,1,0,0,3158
中野区／面積(m2),28133,56820,39629,23890,26620,20466,14637,8618,2204,0,0,221017
杉並区／件数(件),2964,1397,685,294,246,133,55,8,2,0,0,5784
杉並区／面積(m2),51334,101615,81198,50678,59088,50304,36353,10488,4893,0,0,445951
豊島区／件数(件),1302,574,228,104,100,46,8,3,0,0,1,2366
豊島区／面積(m2),22298,40688,27727,17937,24207,17131,5514,4068,0,0,10000,169570
北区／件数(件),1572,680,244,104,70,51,15,8,2,0,0,2746
北区／面積(m2),28861,47301,29259,17667,16707,18305,9198,10488,4433,0,0,182219
荒川区／件数(件),1234,476,173,64,62,34,14,3,0,0,0,2060
荒川区／面積(m2),22580,32679,20423,11142,14837,12812,9638,3844,0,0,0,127955
板橋区／件数(件),1979,1103,413,159,152,109,54,11,1,0,0,3981
板橋区／面積(m2),34958,79708,49232,27314,36669,41145,34944,13298,4629,0,0,321897
練馬区／件数(件),3487,1913,1071,290,214,132,118,29,14,0,0,7268
練馬区／面積(m2),55795,137965,123512,49356,50851,49682,80731,40371,38805,0,0,627068
足立区／件数(件),3860,2117,741,275,189,154,86,20,3,0,0,7445
足立区／面積(m2),58758,154507,87110,47360,46118,59107,60615,27708,12059,0,0,553342
葛飾区／件数(件),2510,1363,364,160,122,109,63,12,0,0,0,4703
葛飾区／面積(m2),45072,96967,43124,27739,29728,41428,42899,16295,0,0,0,343252
江戸川区／件数(件),3131,1521,422,195,140,128,81,12,3,1,0,5634
江戸川区／面積(m2),53871,109498,50110,33313,34389,48138,55070,14518,8210,5687,0,412804
合計／件数(件),41384,20239,8232,3496,2909,1854,885,204,54,7,7,79271
合計／面積(m2),731060,1445207,979870,600684,701178,695972,602877,275051,155109,51070,98695,6336773
