区市名,合計／個人（千m2）,合計／法人（千m2）,合計／合計（千m2）,宅地／個人（千m2）,宅地／法人（千m2）,宅地／合計（千m2）,農地／個人（千m2）,農地／法人（千m2）,農地／合計（千m2）,山林／個人（千m2）,山林／法人（千m2）,山林／合計（千m2）,その他／個人（千m2）,その他／法人（千m2）,その他／合計（千m2）
千代田区,1095,2917,4012,1095,2553,3648,0,0,0,0,0,0,0,364,364
中央区,1515,2454,3970,1515,2447,3963,0,0,0,0,0,0,0,7,7
港区,3874,6096,9970,3874,5389,9264,0,0,0,0,0,0,0,706,706
新宿区,6468,3579,10046,6467,3275,9742,0,0,0,0,0,0,1,304,304
文京区,4207,1746,5954,4207,1676,5883,0,0,0,0,0,0,0,70,70
台東区,2931,1873,4804,2931,1606,4537,0,0,0,0,0,0,0,268,268
墨田区,4802,2294,7096,4802,2052,6855,0,0,0,0,0,0,0,241,241
江東区,6377,9593,15970,6375,8501,14876,0,0,0,0,0,0,2,1091,1094
品川区,7510,5727,13238,7510,4018,11528,0,0,0,0,0,0,0,1709,1709
目黒区,7228,2048,9276,7195,1915,9111,26,0,26,5,0,5,2,132,134
大田区,18284,7501,25785,18244,6782,25027,33,2,34,5,6,10,2,712,714
世田谷区,30283,6589,36873,29185,5638,34823,1033,0,1033,37,20,57,29,931,960
渋谷区,5289,3181,8470,5289,2818,8107,0,0,0,0,0,0,0,364,364
中野区,8533,1833,10367,8494,1571,10065,40,1,40,0,1,1,0,260,260
杉並区,19348,3052,22401,18945,2663,21608,379,4,383,13,3,16,11,382,393
豊島区,6110,2090,8200,6109,1714,7824,0,0,0,0,0,0,0,376,376
北区,6852,3629,10480,6844,2730,9574,3,0,3,5,2,7,0,896,896
荒川区,4151,1745,5896,4151,1252,5403,0,0,0,0,0,0,0,494,494
板橋区,14024,4483,18507,13821,4226,18047,170,0,171,21,4,25,11,253,264
練馬区,27662,3464,31126,25485,2932,28417,2104,1,2105,32,3,35,41,528,569
足立区,22689,6027,28715,22137,5351,27487,535,1,535,0,0,0,17,675,692
葛飾区,14214,3202,17416,13864,2716,16580,342,1,343,0,0,0,8,485,493
江戸川区,19221,4906,24127,18722,4616,23339,472,0,472,0,0,0,27,289,316
区部計,242668,90030,332698,237262,78442,315705,5136,9,5146,119,39,158,151,11539,11690
八王子市,63368,27038,90405,30733,7190,37923,8159,82,8241,18956,12726,31683,5519,7039,12559
立川市,10460,3451,13912,7813,2980,10793,2588,5,2593,26,0,26,33,467,500
武蔵野市,5443,1333,6776,5119,1182,6301,296,0,296,0,0,0,28,151,178
三鷹市,8771,1535,10306,7238,1376,8614,1488,2,1490,14,65,79,31,92,123
青梅市,41525,18825,60350,10420,2135,12555,4572,49,4621,24027,10223,34250,2506,6419,8925
府中市,11161,3975,15136,9822,3105,12927,1275,3,1278,0,0,0,64,867,931
昭島市,5863,3245,9108,5178,2395,7573,630,2,632,40,145,185,14,703,718
調布市,9912,2117,12029,8371,1811,10182,1411,4,1415,23,4,27,107,298,405
町田市,34533,7397,41930,23967,4156,28124,5293,50,5343,4358,1275,5633,915,1915,2830
小金井市,5797,866,6663,5087,624,5711,683,4,688,16,23,40,11,215,225
小平市,10480,2674,13155,8479,1758,10237,1851,7,1858,15,2,16,135,908,1043
日野市,11221,3239,14460,8735,2432,11167,1529,9,1538,451,114,565,506,685,1191
東村山市,8614,1327,9941,6757,909,7666,1544,5,1549,96,18,114,217,395,612
国分寺市,6790,1290,8080,5272,1076,6348,1436,2,1438,41,0,41,40,213,253
国立市,3955,832,4787,3382,743,4125,543,2,544,12,0,12,18,87,106
福生市,3271,624,3895,3120,495,3614,120,1,121,14,0,14,17,128,146
狛江市,3570,406,3975,3064,346,3410,382,2,384,7,3,10,117,55,171
東大和市,5273,785,6057,4457,688,5145,623,0,623,169,21,189,24,77,100
清瀬市,5147,759,5907,3008,569,3576,1927,1,1928,63,19,82,150,171,321
東久留米市,7221,1255,8476,5524,1129,6653,1587,1,1588,42,11,52,68,114,182
武蔵村山市,7258,1676,8934,4508,907,5416,1854,1,1856,392,79,471,504,688,1192
多摩市,6707,3421,10128,5944,2162,8106,407,4,411,92,215,307,264,1039,1303
稲城市,5986,3410,9396,3863,951,4814,1354,3,1358,584,575,1159,184,1881,2065
羽村市,4177,1903,6080,3618,1815,5432,403,1,404,79,16,95,77,71,148
あきる野市,31323,6570,37893,7413,854,8267,5355,55,5410,15548,3034,18582,3007,2627,5634
西東京市,9083,1364,10447,7644,1160,8804,1349,1,1350,6,1,7,83,202,285
市部計,326908,101318,428226,198536,44947,243484,48661,296,48957,65072,28569,93641,14639,27505,42145
合計,569577,191347,760924,435799,123390,559188,53797,306,54103,65190,28608,93799,14790,39044,53834
