区分,個人／所有者数（人）,個人／構成比（％）,個人／面積（千m2）,個人／構成比（％）,法人／所有者数（人）,法人／構成比（％）,法人／面積（千m2）,法人／構成比（％）,合計／所有者数（人）,合計／構成比（％）,合計／面積（千m2）,合計／構成比（％）
府中市／100m2未満,12436 ,28 ,826 ,7 ,300 ,22 ,13 ,0 ,12736 ,28 ,839 ,6 
府中市／200m2未満,21640 ,49 ,2843 ,25 ,264 ,19 ,38 ,1 ,21904 ,48 ,2881 ,19 
府中市／300m2未満,4527 ,10 ,1074 ,10 ,129 ,9 ,32 ,1 ,4656 ,10 ,1106 ,7 
府中市／500m2未満,2315 ,5 ,872 ,8 ,193 ,14 ,75 ,2 ,2508 ,6 ,947 ,6 
府中市／1000m2未満,1575 ,4 ,1113 ,10 ,196 ,14 ,139 ,3 ,1771 ,4 ,1252 ,8 
府中市／2000m2未満,856 ,2 ,1198 ,11 ,115 ,8 ,162 ,4 ,971 ,2 ,1360 ,9 
府中市／5000m2未満,666 ,2 ,2047 ,18 ,90 ,7 ,263 ,7 ,756 ,2 ,2310 ,15 
府中市／10000m2未満,113 ,0 ,755 ,7 ,36 ,3 ,254 ,6 ,149 ,0 ,1009 ,7 
府中市／10000m2以上,22 ,0 ,432 ,4 ,46 ,3 ,3000 ,75 ,68 ,0 ,3431 ,23 
府中市／計,44150 ,100 ,11161 ,100 ,1369 ,100 ,3975 ,100 ,45519 ,100 ,15136 ,100 
昭島市／100m2未満,3835 ,19 ,272 ,5 ,139 ,17 ,6 ,0 ,3974 ,18 ,278 ,3 
昭島市／200m2未満,11382 ,55 ,1502 ,26 ,126 ,15 ,18 ,1 ,11508 ,54 ,1520 ,17 
昭島市／300m2未満,2220 ,11 ,536 ,9 ,81 ,10 ,20 ,1 ,2301 ,11 ,556 ,6 
昭島市／500m2未満,1478 ,7 ,556 ,9 ,116 ,14 ,45 ,1 ,1594 ,7 ,602 ,7 
昭島市／1000m2未満,895 ,4 ,622 ,11 ,133 ,16 ,95 ,3 ,1028 ,5 ,717 ,8 
昭島市／2000m2未満,472 ,2 ,661 ,11 ,90 ,11 ,129 ,4 ,562 ,3 ,790 ,9 
昭島市／5000m2未満,279 ,1 ,848 ,14 ,61 ,7 ,187 ,6 ,340 ,2 ,1035 ,11 
昭島市／10000m2未満,79 ,0 ,509 ,9 ,26 ,3 ,183 ,6 ,105 ,0 ,692 ,8 
昭島市／10000m2以上,17 ,0 ,356 ,6 ,53 ,6 ,2561 ,79 ,70 ,0 ,2917 ,32 
昭島市／計,20657 ,100 ,5863 ,100 ,825 ,100 ,3245 ,100 ,21482 ,100 ,9108 ,100 
調布市／100m2未満,9649 ,26 ,697 ,7 ,213 ,17 ,13 ,1 ,9862 ,26 ,710 ,6 
調布市／200m2未満,18704 ,51 ,2442 ,25 ,283 ,22 ,42 ,2 ,18987 ,50 ,2484 ,21 
調布市／300m2未満,3743 ,10 ,896 ,9 ,153 ,12 ,37 ,2 ,3896 ,10 ,933 ,8 
調布市／500m2未満,1942 ,5 ,728 ,7 ,185 ,14 ,71 ,3 ,2127 ,6 ,800 ,7 
調布市／1000m2未満,1301 ,4 ,905 ,9 ,172 ,13 ,123 ,6 ,1473 ,4 ,1028 ,9 
調布市／2000m2未満,805 ,2 ,1124 ,11 ,132 ,10 ,183 ,9 ,937 ,2 ,1307 ,11 
調布市／5000m2未満,552 ,1 ,1647 ,17 ,91 ,7 ,281 ,13 ,643 ,2 ,1928 ,16 
調布市／10000m2未満,138 ,0 ,915 ,9 ,19 ,1 ,133 ,6 ,157 ,0 ,1048 ,9 
調布市／10000m2以上,30 ,0 ,557 ,6 ,32 ,3 ,1235 ,58 ,62 ,0 ,1793 ,15 
調布市／計,36864 ,100 ,9912 ,100 ,1280 ,100 ,2117 ,100 ,38144 ,100 ,12029 ,100 
町田市／100m2未満,8696 ,9 ,568 ,2 ,514 ,18 ,18 ,0 ,9210 ,9 ,586 ,1 
町田市／200m2未満,59100 ,59 ,8657 ,25 ,501 ,18 ,76 ,1 ,59601 ,58 ,8732 ,21 
町田市／300m2未満,15768 ,16 ,3697 ,11 ,321 ,11 ,78 ,1 ,16089 ,16 ,3775 ,9 
町田市／500m2未満,6786 ,7 ,2535 ,7 ,346 ,12 ,135 ,2 ,7132 ,7 ,2670 ,6 
町田市／1000m2未満,4184 ,4 ,2928 ,8 ,411 ,15 ,298 ,4 ,4595 ,4 ,3226 ,8 
町田市／2000m2未満,2513 ,3 ,3527 ,10 ,300 ,11 ,426 ,6 ,2813 ,3 ,3953 ,9 
町田市／5000m2未満,1769 ,2 ,5438 ,16 ,234 ,8 ,732 ,10 ,2003 ,2 ,6170 ,15 
町田市／10000m2未満,519 ,1 ,3497 ,10 ,90 ,3 ,641 ,9 ,609 ,1 ,4138 ,10 
町田市／10000m2以上,196 ,0 ,3686 ,11 ,86 ,3 ,4994 ,68 ,282 ,0 ,8680 ,21 
町田市／計,99531 ,100 ,34533 ,100 ,2803 ,100 ,7397 ,100 ,102334 ,100 ,41930 ,100 
小金井市／100m2未満,4951 ,21 ,356 ,6 ,116 ,17 ,6 ,1 ,5067 ,21 ,362 ,5 
小金井市／200m2未満,12361 ,53 ,1626 ,28 ,149 ,21 ,22 ,3 ,12510 ,52 ,1648 ,25 
小金井市／300m2未満,2844 ,12 ,687 ,12 ,91 ,13 ,22 ,3 ,2935 ,12 ,709 ,11 
小金井市／500m2未満,1576 ,7 ,589 ,10 ,105 ,15 ,41 ,5 ,1681 ,7 ,630 ,9 
小金井市／1000m2未満,766 ,3 ,524 ,9 ,128 ,18 ,90 ,10 ,894 ,4 ,613 ,9 
小金井市／2000m2未満,364 ,2 ,503 ,9 ,50 ,7 ,71 ,8 ,414 ,2 ,574 ,9 
小金井市／5000m2未満,292 ,1 ,891 ,15 ,35 ,5 ,101 ,12 ,327 ,1 ,992 ,15 
小金井市／10000m2未満,66 ,0 ,430 ,7 ,17 ,2 ,120 ,14 ,83 ,0 ,550 ,8 
小金井市／10000m2以上,13 ,0 ,190 ,3 ,12 ,2 ,392 ,45 ,25 ,0 ,582 ,9 
小金井市／計,23233 ,100 ,5796 ,100 ,703 ,100 ,866 ,100 ,23936 ,100 ,6662 ,100 
小平市／100m2未満,14895 ,31 ,1116 ,11 ,433 ,27 ,57 ,2 ,15328 ,31 ,1173 ,9 
小平市／200m2未満,24076 ,51 ,3346 ,32 ,412 ,26 ,192 ,7 ,24488 ,50 ,3537 ,27 
小平市／300m2未満,3910 ,8 ,1086 ,10 ,204 ,13 ,115 ,4 ,4114 ,8 ,1202 ,9 
小平市／500m2未満,2243 ,5 ,1137 ,11 ,222 ,14 ,198 ,7 ,2465 ,5 ,1335 ,10 
小平市／1000m2未満,1394 ,3 ,1476 ,14 ,140 ,9 ,439 ,16 ,1534 ,3 ,1915 ,15 
小平市／2000m2未満,681 ,1 ,1274 ,12 ,80 ,5 ,489 ,18 ,761 ,2 ,1763 ,13 
小平市／5000m2未満,202 ,0 ,750 ,7 ,54 ,3 ,442 ,17 ,256 ,1 ,1192 ,9 
小平市／10000m2未満,17 ,0 ,130 ,1 ,24 ,2 ,250 ,9 ,41 ,0 ,380 ,3 
小平市／10000m2以上,10 ,0 ,165 ,2 ,16 ,1 ,493 ,18 ,26 ,0 ,658 ,5 
小平市／計,47428 ,100 ,10480 ,100 ,1585 ,100 ,2674 ,100 ,49013 ,100 ,13155 ,100 
日野市／100m2未満,12281 ,26 ,937 ,8 ,433 ,28 ,62 ,2 ,12714 ,26 ,999 ,7 
日野市／200m2未満,23194 ,50 ,3556 ,32 ,378 ,24 ,152 ,5 ,23572 ,49 ,3708 ,26 
日野市／300m2未満,6601 ,14 ,1838 ,16 ,222 ,14 ,112 ,3 ,6823 ,14 ,1950 ,13 
日野市／500m2未満,2765 ,6 ,1501 ,13 ,198 ,13 ,173 ,5 ,2963 ,6 ,1674 ,12 
日野市／1000m2未満,1340 ,3 ,1626 ,14 ,177 ,11 ,332 ,10 ,1517 ,3 ,1959 ,14 
日野市／2000m2未満,476 ,1 ,871 ,8 ,80 ,5 ,336 ,10 ,556 ,1 ,1207 ,8 
日野市／5000m2未満,123 ,0 ,387 ,3 ,51 ,3 ,474 ,15 ,174 ,0 ,861 ,6 
日野市／10000m2未満,25 ,0 ,193 ,2 ,21 ,1 ,352 ,11 ,46 ,0 ,545 ,4 
日野市／10000m2以上,17 ,0 ,313 ,3 ,12 ,1 ,1245 ,38 ,29 ,0 ,1558 ,11 
日野市／計,46822 ,100 ,11221 ,100 ,1572 ,100 ,3239 ,100 ,48394 ,100 ,14460 ,100 
東村山市／100m2未満,7578 ,23 ,556 ,6 ,159 ,20 ,9 ,1 ,7737 ,23 ,565 ,6 
東村山市／200m2未満,17908 ,55 ,2316 ,27 ,175 ,22 ,25 ,2 ,18083 ,54 ,2340 ,24 
東村山市／300m2未満,3242 ,10 ,766 ,9 ,86 ,11 ,22 ,2 ,3328 ,10 ,788 ,8 
東村山市／500m2未満,1479 ,5 ,558 ,6 ,102 ,13 ,40 ,3 ,1581 ,5 ,598 ,6 
東村山市／1000m2未満,937 ,3 ,660 ,8 ,112 ,14 ,80 ,6 ,1049 ,3 ,740 ,7 
東村山市／2000m2未満,624 ,2 ,872 ,10 ,73 ,9 ,99 ,7 ,697 ,2 ,971 ,10 
東村山市／5000m2未満,495 ,2 ,1522 ,18 ,56 ,7 ,175 ,13 ,551 ,2 ,1696 ,17 
東村山市／10000m2未満,127 ,0 ,865 ,10 ,15 ,2 ,96 ,7 ,142 ,0 ,960 ,10 
東村山市／10000m2以上,35 ,0 ,500 ,6 ,19 ,2 ,783 ,59 ,54 ,0 ,1283 ,13 
東村山市／計,32425 ,100 ,8614 ,100 ,797 ,100 ,1327 ,100 ,33222 ,100 ,9941 ,100 
国分寺市／100m2未満,5928 ,22 ,433 ,6 ,123 ,14 ,7 ,1 ,6051 ,22 ,440 ,5 
国分寺市／200m2未満,14990 ,57 ,2001 ,29 ,193 ,22 ,28 ,2 ,15183 ,55 ,2029 ,25 
国分寺市／300m2未満,2722 ,10 ,657 ,10 ,105 ,12 ,26 ,2 ,2827 ,10 ,682 ,8 
国分寺市／500m2未満,1404 ,5 ,525 ,8 ,137 ,15 ,54 ,4 ,1541 ,6 ,579 ,7 
国分寺市／1000m2未満,640 ,2 ,438 ,6 ,143 ,16 ,100 ,8 ,783 ,3 ,538 ,7 
国分寺市／2000m2未満,351 ,1 ,494 ,7 ,102 ,11 ,139 ,11 ,453 ,2 ,633 ,8 
国分寺市／5000m2未満,313 ,1 ,986 ,15 ,52 ,6 ,155 ,12 ,365 ,1 ,1141 ,14 
国分寺市／10000m2未満,99 ,0 ,679 ,10 ,16 ,2 ,110 ,9 ,115 ,0 ,790 ,10 
国分寺市／10000m2以上,41 ,0 ,577 ,9 ,20 ,2 ,670 ,52 ,61 ,0 ,1248 ,15 
国分寺市／計,26488 ,100 ,6790 ,100 ,891 ,100 ,1290 ,100 ,27379 ,100 ,8080 ,100 
国立市／100m2未満,2704 ,21 ,193 ,5 ,94 ,16 ,5 ,1 ,2798 ,20 ,198 ,4 
国立市／200m2未満,6461 ,49 ,864 ,22 ,114 ,19 ,17 ,2 ,6575 ,48 ,881 ,18 
国立市／300m2未満,1586 ,12 ,382 ,10 ,64 ,11 ,16 ,2 ,1650 ,12 ,398 ,8 
国立市／500m2未満,1230 ,9 ,463 ,12 ,99 ,17 ,39 ,5 ,1329 ,10 ,502 ,10 
国立市／1000m2未満,647 ,5 ,449 ,11 ,103 ,18 ,75 ,9 ,750 ,5 ,524 ,11 
国立市／2000m2未満,247 ,2 ,342 ,9 ,68 ,12 ,97 ,12 ,315 ,2 ,440 ,9 
国立市／5000m2未満,164 ,1 ,511 ,13 ,25 ,4 ,73 ,9 ,189 ,1 ,584 ,12 
国立市／10000m2未満,65 ,0 ,470 ,12 ,10 ,2 ,72 ,9 ,75 ,1 ,542 ,11 
国立市／10000m2以上,20 ,0 ,281 ,7 ,9 ,2 ,438 ,53 ,29 ,0 ,719 ,15 
国立市／計,13124 ,100 ,3955 ,100 ,586 ,100 ,832 ,100 ,13710 ,100 ,4787 ,100 
福生市／100m2未満,2074 ,20 ,152 ,5 ,47 ,12 ,2 ,0 ,2121 ,19 ,154 ,4 
福生市／200m2未満,5393 ,51 ,720 ,22 ,69 ,18 ,10 ,2 ,5462 ,50 ,730 ,19 
福生市／300m2未満,1244 ,12 ,299 ,9 ,38 ,10 ,9 ,1 ,1282 ,12 ,308 ,8 
福生市／500m2未満,872 ,8 ,329 ,10 ,75 ,20 ,29 ,5 ,947 ,9 ,358 ,9 
福生市／1000m2未満,559 ,5 ,388 ,12 ,57 ,15 ,40 ,6 ,616 ,6 ,428 ,11 
福生市／2000m2未満,284 ,3 ,395 ,12 ,53 ,14 ,73 ,12 ,337 ,3 ,468 ,12 
福生市／5000m2未満,158 ,1 ,479 ,15 ,27 ,7 ,75 ,12 ,185 ,2 ,555 ,14 
福生市／10000m2未満,30 ,0 ,186 ,6 ,7 ,2 ,45 ,7 ,37 ,0 ,232 ,6 
福生市／10000m2以上,12 ,0 ,322 ,10 ,8 ,2 ,340 ,54 ,20 ,0 ,662 ,17 
福生市／計,10626 ,100 ,3271 ,100 ,381 ,100 ,624 ,100 ,11007 ,100 ,3895 ,100 
狛江市／100m2未満,6511 ,37 ,486 ,14 ,202 ,33 ,19 ,5 ,6713 ,37 ,504 ,13 
狛江市／200m2未満,8041 ,45 ,1184 ,33 ,184 ,30 ,45 ,11 ,8225 ,45 ,1229 ,31 
狛江市／300m2未満,1783 ,10 ,494 ,14 ,72 ,12 ,21 ,5 ,1855 ,10 ,515 ,13 
狛江市／500m2未満,777 ,4 ,445 ,12 ,71 ,12 ,42 ,10 ,848 ,5 ,487 ,12 
狛江市／1000m2未満,388 ,2 ,433 ,12 ,42 ,7 ,53 ,13 ,430 ,2 ,486 ,12 
