区名,平成9年中（千m2）,平成10年中（千m2）,平成11年中（千m2）,平成12年中（千m2）,平成13年中（千m2）,平成14年中（千m2）,平成15年中（千m2）,平成16年中（千m2）,平成17年中（千m2）,平成18年中（千m2）,平成19年中（千m2）,平成20年中（千m2）,平成21年中（千m2）,平成22年中（千m2）,平成23年中（千m2）,平成24年中（千m2）,平成25年中（千m2）,平成26年中（千m2）,平成27年中（千m2）,平成28年中（千m2）,昭60.1.1～平29.1.1（千m2）
千代田区,-8,0,27,-2,-12,-1,18,-10,23,-1,22,-25,-6,-2,-3,3,-2,-27,-5,-1,-85
中央区,4,0,4,-1,-4,-10,2,5,57,-8,2,50,2,-1,0,67,19,-82,-3,5,933
港区,14,37,81,-59,39,-128,-105,12,50,14,53,-31,-7,16,-34,-17,-13,-11,21,3,628
新宿区,-13,-21,-57,-9,-15,11,-1,8,-4,27,23,-32,-12,-6,196,1,1,-191,15,-10,998
文京区,-9,-10,295,-4,-10,69,2,13,49,-29,-5,-14,-12,-17,142,2,-1,-12,-5,-3,394
台東区,-5,0,-3,5,1,65,-12,0,53,1,-2,-3,-1,0,-1,0,0,0,-2,-1,1302
墨田区,-2,-4,15,-3,-4,20,-1,8,6,6,-7,7,-5,-6,91,32,0,-30,0,-1,2460
江東区,3,8,539,6,11,547,8,214,327,-31,41,30,13,-8,14,-5,-8,65,54,2,4187
品川区,-10,-5,-24,-4,-7,18,-7,-13,21,18,-29,11,-8,-5,252,-12,-13,-15,-9,-12,2314
目黒区,-27,-2,-8,-7,-16,-8,24,22,-12,-12,0,-16,-1,19,21,10,14,14,12,1,242
大田区,-43,-36,-96,-24,2,-2,-4,-6,128,-31,-53,93,5,-15,164,-21,-8,3,19,-4,2611
世田谷区,-30,72,-18,24,111,33,153,52,75,118,17,-14,44,2,42,22,34,13,34,29,2552
渋谷区,-14,-4,17,6,18,-43,21,-8,-104,16,-8,-51,-3,15,-3,-2,0,-9,-2,14,-248
中野区,-13,-6,462,-302,15,17,18,12,25,-7,24,39,-5,12,8,-1,5,-12,7,-2,843
杉並区,-23,-5,156,-6,-30,24,29,26,83,17,-14,3,-9,-2,65,11,3,7,27,-12,986
豊島区,-18,-13,21,-19,-13,-14,14,-4,22,-6,-14,-15,-6,-6,-43,-2,-9,-2,-6,-14,339
北区,-22,-9,-86,-13,-14,-32,39,29,71,27,8,1,-12,16,34,-8,4,49,4,-4,1163
荒川区,-19,-16,3,-10,6,168,-11,-12,-13,-9,21,47,3,-5,86,1,-3,-6,-3,-15,1893
板橋区,16,32,-32,26,-6,14,31,31,65,14,6,-1,19,17,-16,6,22,101,10,16,2501
練馬区,100,90,630,66,102,82,121,80,101,63,59,-15,22,37,22,51,36,26,29,24,3352
足立区,79,13,-442,183,212,345,56,68,258,-6,44,71,5,66,38,-6,31,272,-23,-47,2225
葛飾区,102,16,-2,1,-74,96,9,-7,828,-18,-27,71,5,-11,176,8,3,-12,10,19,960
江戸川区,-9,-35,-5,101,217,38,33,10,84,5,-11,38,22,4,144,-11,-14,70,2,10,2190
区部計,54,96,1478,-44,531,"1,311",437,530,2193,167,151,248,54,121,1397,130,100,213,186,-3,34743
