年(昭和・平成・令和),供給戸数／区部(戸),供給戸数／多摩(戸),供給戸数／都(戸),1戸当たり平均住戸専有面積／区部(m2),1戸当たり平均住戸専有面積／多摩(m2),1戸当たり平均住戸専有面積／都(m2),1戸当たり平均住戸価格／区部(万円),1戸当たり平均住戸価格／多摩(万円),1戸当たり平均住戸価格／都(万円),平均住戸価格の対前年上昇率／区部(％),平均住戸価格の対前年上昇率／多摩(％),平均住戸価格の対前年上昇率／都(％),1m2当たり平均単価／区部(m2),1m2当たり平均単価／多摩(m2),1m2当たり平均単価／都(m2),平均単価の対前年上昇率／区部(％),平均単価の対前年上昇率／多摩(％),平均単価の対前年上昇率／都(％)
58,22505,4307,26812,49.79,59.33,51.32,2647,2585,2637,-3.3,2.1,-3,53.2,43.6,51.4,0.6,0.5,-1
59,18314,3413,21727,53.96,61.68,55.17,2744,2518,2709,3.7,-2.6,2.7,50.9,40.8,49.1,-4.3,-6.4,-4.5
60,13743,3317,17060,56.24,61.51,57.27,3016,2545,2924,9.9,1.1,7.9,53.6,41.4,51.1,5.3,1.5,4.1
61,10021,2285,12306,59.31,63.96,60.18,3313,2713,3201,9.8,6.6,9.5,55.8,42.4,53.2,4.1,2.4,4.1
62,9277,2769,12046,54.41,63.42,56.48,4791,3378,4466,44.6,24.5,39.5,88.1,53.3,79.1,57.9,25.7,48.7
63,5824,2377,8201,57.19,77.5,63.07,7183,5219,6613,49.9,54.5,48.1,125.6,67.3,104.9,42.6,26.3,32.6
元,6794,2426,9220,56.5,59.74,57.35,8125,5140,7340,13.1,-1.5,11,143.8,86,128,14.5,27.8,22
2,7225,3154,10379,55.53,59.15,56.63,8481,6150,7773,4.4,19.6,5.9,152.7,104,137.3,6.2,20.9,7.3
3,4748,2183,6931,55.8,62.37,57.87,8667,6088,7855,2.2,-1,1.1,155.3,97.6,135.7,1.7,-6.2,-1.2
4,5657,1982,7639,55.88,59.6,56.85,6941,4852,6399,-19.9,-20.3,-18.5,124.2,81.4,112.6,-20,-16.6,-17
5,8204,3201,11405,56.57,61.43,57.94,5344,4721,5169,-23,-2.7,-19.2,94.5,76.9,89.2,-23.9,-5.5,-20.8
6,20304,7234,27538,60.58,63.32,61.3,5200,4629,5050,-2.7,-1.9,-2.3,85.8,73.1,82.4,-9.2,-4.9,-7.6
7,23466,10032,33498,62.93,66.84,64.1,4665,4389,4583,-10.3,-5.2,-9.2,74.1,65.7,71.5,-13.6,-10.1,-13.2
8,25902,8803,34705,65.58,70.9,66.93,4888,4384,4760,4.8,-0.1,3.9,74.5,61.8,71.1,0.5,-5.9,-0.6
9,22877,7862,30739,66.16,71.04,67.41,5133,4288,4917,5.1,-2.2,3.3,77.6,60.4,72.9,4.2,-2.3,2.5
10,22035,6968,29003,66.55,72.48,67.97,4815,4180,4662,-6.2,-2.5,-5.2,72.3,57.7,68.6,-6.8,-4.5,-5.9
11,31321,9034,40355,67.62,72.99,68.82,4723,4125,4589,-1.9,-1.3,-1.6,69.8,56.5,66.7,-3.5,-2.1,-2.8
12,35318,10274,45592,70.15,77.67,71.84,4632,3966,4482,-1.9,-3.9,-2.3,66,51.1,62.4,-5.4,-9.6,-6.4
13,31843,9638,41481,72.25,79.77,74,4723,3835,4517,2,-3.3,0.8,65.4,48.1,61,-0.9,-5.9,-2.2
14,31574,10913,42487,73.12,82.45,75.52,4666,3878,4464,-1.2,1.1,-1.2,63.8,47,59.1,-2.4,-2.3,-3.1
15,36340,10548,46888,68.1,80.43,70.87,4599,3786,4416,-1.4,-2.4,-1.1,67.5,47.1,62.3,5.8,0.2,5.4
16,39147,8321,47468,69.59,78.41,71.14,4663,3820,4515,1.4,0.9,2.2,67,48.7,63.5,-0.7,3.4,1.9
17,31025,8962,39987,71.85,77.49,73.11,4920,3834,4677,5.5,0.4,3.6,68.5,49.5,64,2.2,1.6,0.8
18,23650,7004,30654,72.05,76.53,73.08,5149,3932,4871,4.7,2.6,4.1,71.5,51.4,66.7,4.4,3.8,4.2
19,16563,7728,24291,71.45,76.11,72.93,6120,4263,5529,18.9,8.4,13.5,85.6,56,75.8,19.7,8.9,13.6
20,15602,4355,19957,69.54,75.44,70.83,5932,4668,5656,-3.1,9.5,2.3,85.3,61.9,79.9,-0.4,10.5,5.4
21,16387,3310,19697,65.04,74.19,66.58,5190,4335,5047,-12.5,-7.1,-10.8,79.8,58.4,75.8,-6.4,-5.7,-5.1
22,20393,3447,23840,66.28,74.91,67.53,5497,4474,5349,5.9,3.2,6,82.9,59.7,79.2,3.9,2.2,4.5
23,19410,4262,23672,65.84,74.98,67.49,5339,4152,5125,-2.9,-7.2,-4.2,81.1,55.4,75.9,-2.2,-7.2,-4.2
24,19398,4863,24261,65.97,74.38,67.65,5283,4318,5090,-1,4,-0.7,80.1,58,75.2,-1.2,4.7,-0.9
25,28340,4436,32776,67.64,73.07,68.37,5853,4238,5634,10.8,-1.9,10.7,86.5,58,82.4,8,0,9.6
26,20774,4425,25199,68.63,72.97,69.39,5994,4726,5772,2.4,11.5,2.4,87.3,64.8,83.2,0.9,11.7,1
27,18472,5427,23899,68.18,73.48,69.38,6732,4564,6240,12.3,-3.4,8.1,98.7,62.1,89.9,13.1,-4.2,8.1
28,14764,4069,18833,65.97,71.96,67.26,6629,4985,6274,-1.5,9.2,0.5,100.5,69.3,93.3,1.8,11.6,3.8
29,16017,4016,20033,65.46,70.97,66.56,7089,5054,6681,6.9,1.4,6.5,108.3,71.2,100.4,7.8,2.7,7.6
30,15957,3666,19623,62.78,70.28,64.18,7142,5235,6785,0.7,3.6,1.6,113.7,74.5,105.7,5,4.6,5.3
31,13737,2537,16274,64.89,69.21,65.56,7286,5487,7006,2,4.8,3.3,112.3,79.3,106.8,-1.2,6.4,1
2,10911,3242,14153,61.65,67.79,63.05,7712,5460,7196,5.8,-0.5,2.7,125.1,80.5,114.1,11.4,1.5,6.8
3,13290,2921,16211,64.7,68.3,65.35,8293,5061,7711,7.5,-7.3,7.2,128.2,74.1,118,2.5,-8,3.4
