区市名,宅地所有者(人),宅地面積(千m2),一人当たり面積(m2)
区部／千代田区,4625,543,117
区部／中央区,7290,663,91
区部／港区,12517,1814,145
区部／新宿区,32467,4611,142
区部／文京区,25870,3214,124
区部／台東区,21865,2301,105
区部／墨田区,29539,3758,127
区部／江東区,30224,3771,125
区部／品川区,41848,5619,134
区部／目黒区,36916,5989,162
区部／大田区,92711,15452,167
区部／世田谷区,134708,25108,186
区部／渋谷区,23668,3725,157
区部／中野区,48170,7373,153
区部／杉並区,96595,17132,177
区部／豊島区,35336,5097,144
区部／北区,40783,5836,143
区部／荒川区,24889,3367,135
区部／板橋区,65062,11332,174
区部／練馬区,124664,23307,187
区部／足立区,105422,20028,190
区部／葛飾区,74400,12493,168
区部／江戸川区,98122,16827,171
区部／区部計,1207691,199357,165
市部／八王子市,116992,31107,266
市部／立川市,32330,7888,244
市部／武蔵野市,22210,5115,230
市部／三鷹市,33239,7360,221
市部／青梅市,34304,10519,307
市部／府中市,43824,9889,226
市部／昭島市,21228,5228,246
市部／調布市,38187,8529,223
市部／町田市,95771,24394,255
市部／小金井市,24321,5134,211
市部／小平市,48075,8627,179
市部／日野市,39853,8913,224
市部／東村山市,33264,6872,207
市部／国分寺市,27469,5351,195
市部／国立市,13573,3387,250
市部／福生市,10742,3101,289
市部／狛江市,17912,3108,174
市部／東大和市,18051,4484,248
市部／清瀬市,14667,3132,214
市部／東久留米市,36775,5654,154
市部／武蔵村山市,19193,4607,240
市部／多摩市,40215,6018,150
市部／稲城市,13752,4044,294
市部／羽村市,12881,3611,280
市部／あきる野市,25586,7529,294
市部／西東京市,55468,7828,141
市部／市部計,889882,201428,226
区部・市部計,2097573,400785,191
