区市町村名,最大値,令和4年,上昇率,下落率(%)
千代田区,420.5,101.7,320.5,-75.8
中央区,431.5,110.2,331.5,-74.5
港区,394.7,103.7,294.7,-73.7
新宿区,419.0,116.3,319.0,-72.2
文京区,379.4,110.7,279.4,-70.8
台東区,311.7,84.9,211.7,-72.8
墨田区,391.7,116.2,291.7,-70.3
江東区,365.0,110.2,265.0,-69.8
品川区,343.0,120.8,243.0,-64.8
目黒区,398.7,118.8,298.7,-70.2
大田区,328.4,110.6,228.4,-66.3
世田谷区,343.1,124.7,243.1,-63.7
渋谷区,393.7,148.2,293.7,-62.3
中野区,306.7,112.9,206.7,-63.2
杉並区,288.8,92.5,188.8,-68.0
豊島区,393.7,101.8,293.7,-74.1
北区,277.2,101.5,177.2,-63.4
荒川区,292.3,118.1,192.3,-59.6
板橋区,308.1,107.5,208.1,-65.1
練馬区,394.0,145.5,294.0,-63.1
足立区,313.1,128.6,213.1,-58.9
葛飾区,292.9,90.2,192.9,-69.2
江戸川区,400.0,99.1,300.0,-75.2
区部,346.1,109.5,246.1,-68.4
八王子市,407.8,76.5,307.8,-81.2
立川市,323.6,99.8,223.6,-69.2
武蔵野市,399.9,169.8,299.9,-57.5
三鷹市,448.4,181.4,348.4,-59.5
青梅市,284.6,57.1,184.6,-79.9
府中市,366.7,137.5,266.7,-62.5
昭島市,184.3,52.6,84.3,-71.5
調布市,494.5,163.3,394.5,-67.0
町田市,339.7,68.8,239.7,-79.8
小金井市,376.9,133.1,276.9,-64.7
小平市,316.7,74.4,216.7,-76.5
日野市,151.8,36.7,51.8,-75.9
東村山市,259.6,53.2,159.6,-79.5
国分寺市,373.8,120.7,273.8,-67.7
国立市,469.9,149.6,369.9,-68.2
福生市,377.0,88.6,277.0,-76.5
狛江市,414.5,112.4,314.5,-72.9
東大和市,275.8,77.2,175.8,-72.0
清瀬市,191.8,31.7,91.8,-83.5
東久留米市,388.3,99.5,288.3,-74.4
武蔵村山市,172.3,54.5,72.3,-68.4
多摩市,564.5,92.2,464.5,-83.7
稲城市,305.7,118.5,205.7,-61.3
羽村市,253.8,81.7,153.8,-67.8
あきる野市,111.0,42.1,11.0,-62.1
西東京市,307.7,87.2,207.7,-71.7
瑞穂町,265.3,83.1,165.3,-68.7
日の出町,,,,
檜原村,,,,
奥多摩町,,,,
多摩地域,362.6,103.5,262.6,-71.5
大島町,,,,
新島村,,,,
神津島村,,,,
三宅村,,,,
八丈町,,,,
小笠原村,,,,
島しょ,,,,
東京都,348.6,108.9,248.6,-68.8
