区分,東京都／件数,東京都／指数,東京都／全国比（％）,前年比同月比（％）,東京圏／件数,東京圏／指数,東京圏／全国比（％）,同月比（％）,東京法務局管内／件数,指数,東京法務局管内／全国比（％）,前年比同月比（％）,全国／件数,全国／指数,前年比同月比（％）,神奈川県／件数,神奈川県／指数,神奈川県／全国比（％）,前年比同月比（％）,埼玉県／件数,埼玉県／指数,埼玉県／全国比（％）,前年比同月比（％）,千葉県／件数,千葉県／指数,千葉県／全国比（％）,前年比同月比（％）
昭和55年,137572,100,5.3,,518319,100,20,,,,,,2597700,100,,107885,100,4.2,,139383,100,5.4,,133479,100,5.1,
昭和56年,133282,96.9,5.3,-3.1,485359,93.6,19.3,-6.4,,,,,2509110,96.6,-3.4,105349,97.6,4.2,-2.4,130886,93.9,5.2,-6.1,115842,86.8,4.6,-13.2
昭和57年,135168,98.3,5.6,1.4,472701,91.2,19.6,-2.6,,,,,2413532,92.9,-3.8,105421,97.7,4.4,0.1,123132,88.3,5.1,-5.9,108980,81.6,4.5,-5.9
昭和58年,136831,99.5,6.1,1.2,450577,86.9,19.9,-4.7,,,,,2260619,87,-6.3,97598,90.5,4.3,-7.4,117470,84.3,5.2,-4.6,98678,73.9,4.4,-9.5
昭和59年,141593,102.9,6.4,3.5,452750,87.3,20.4,0.5,,,,,2223805,85.6,-1.6,101308,93.9,4.6,3.8,112587,80.8,5.1,-4.2,97262,72.9,4.4,-1.4
昭和60年,141205,102.6,6.6,-0.3,440583,85,20.7,-2.7,,,,,2131798,82.1,-4.1,97785,90.6,4.6,-3.5,110456,79.2,5.2,-1.9,91137,68.3,4.3,-6.3
昭和61年,153183,111.3,7.1,8.5,483585,93.3,22.5,9.8,,,,,2151132,82.8,0.9,112115,103.9,5.2,14.7,116884,83.9,5.4,5.8,101403,76,4.7,11.3
昭和62年,140120,101.9,6.2,-8.5,519442,100.2,22.9,7.4,,,,,2271693,87.5,5.6,119524,110.8,5.3,6.6,137042,98.3,6,17.2,122756,92,5.4,21.1
昭和63年,92592,67.3,4.3,-33.9,397923,76.8,18.7,-23.4,,,,,2132359,82.1,-6.1,85492,79.2,4,-28.5,107701,77.3,5.1,-21.4,112138,84,5.3,-8.6
平成元年,101296,73.6,4.5,9.4,418055,80.7,18.5,5.1,,,,,2258440,86.9,5.9,84503,78.3,3.7,-1.2,111693,80.1,4.9,3.7,120563,90.3,5.3,7.5
