区市町村名　/　用途,住宅地,商業地,工業地,全用途平均
千代田区,2855,5211.1,―,4907.1
中央区,1041,6583.7,―,6010.3
港区,1507.8,4810.4,995,3878.8
新宿区,675,4599.5,―,3422.2
文京区,870.3,1383.2,―,1183.7
台東区,652,1356,―,1297.4
墨田区,393,614.1,―,555.9
江東区,474.3,744.3,340,574.3
品川区,742.8,1083.1,―,920.3
目黒区,785.6,1502.9,―,1099.4
大田区,446.4,709.5,358.5,544
世田谷区,581.6,945.8,―,677.1
渋谷区,1085,4441.3,―,3150.4
中野区,540.4,1126.4,―,819.4
杉並区,535.4,865.1,―,653.7
豊島区,587.2,2164.2,―,1519
北区,453.8,869,312,628.2
荒川区,480.7,696.5,―,604
板橋区,401.4,701.7,―,523.4
練馬区,361.1,664.5,―,435.4
足立区,304.1,514.3,245,388.7
葛飾区,302.9,517.8,216,359.1
江戸川区,330.2,596.8,―,410.2
区部,550.9,2418.7,395.6,1475.2
八王子市,123.2,373.4,160,171.5
立川市,244.4,1641,―,643.4
武蔵野市,483.3,1902,―,1145.3
三鷹市,384.9,1373.3,―,570.3
青梅市,90.3,174.3,79.3,113.7
府中市,284.8,525.6,―,349.6
昭島市,176.2,313.3,148,203.6
調布市,331.6,628.6,―,402.3
町田市,148.4,547.4,―,222.3
小金井市,331.7,943.5,―,442.9
小平市,234.2,318.7,―,247.5
日野市,196.8,319.3,―,216.2
東村山市,187.9,355,―,221.3
国分寺市,267.8,1175,―,432.7
国立市,327.2,379,―,334.6
福生市,162.8,223.7,―,185.6
狛江市,313,403,―,328
東大和市,166,188,―,169.7
清瀬市,192.2,442,―,233.8
東久留米市,191.1,371.5,―,218.8
武蔵村山市,117.1,140,―,121.3
多摩市,176.8,369.2,―,234.5
稲城市,217.8,286.7,―,230.7
羽村市,144,232.5,91,159.5
あきる野市,84.9,132.5,―,95.6
西東京市,272.3,496.5,―,322.1
市部,201.6,618.7,111.5,285.8
瑞穂町,98.6,127,61,97.5
日の出町,60.5,―,―,73.4
檜原村,18.3,24.4,―,42
奥多摩町,26.6,33.2,―,42.3
西多摩郡,65.9,54.5,61,69.4
大島町,6.9,21.8,―,12.8
新島村,6.2,10,―,7.4
神津島村,6.9,9.7,―,7.8
三宅村,7.3,12.5,―,9
八丈町,9.1,19.1,―,14.1
小笠原村,19.5,62,―,246.7
島しょ,11.1,22,―,95
東　京　都,354.6,1961.4,270.3,945.7
