順位,標準地番号,都道府県,標準地の所在地,平成29年,平成30年,変動率
1,倶知安－３,北海道　　,字山田８３番２９　　　　　　　　　　　　　　　　　　　　　　,50000,75000,50
2,倶知安－１,北海道　　,北７条西４丁目１番３３　　　　　　　　　　　　　　　　　　　,17000,22500,32.4
3,那覇－１９,沖縄県　　,おもろまち３丁目６番１１　　　　　　　　　　　　　　　　　　,270000,351000,30
4,倶知安－２,北海道　　,南３条東１丁目１６番９外　　　　　　　　　　　　　　　　　　,28000,36000,28.6
5,名古屋中－５,愛知県　　,栄５丁目１１３番外　　　　　　　　　　　　　　　　　　　　　,571000,720000,26.1
6,那覇－３,沖縄県　　,天久１丁目７番１４外　　　　　　　　　　　　　　　　　　　　,265000,330000,24.5
7,名古屋中－３,愛知県　　,上前津２丁目１２０８番　　　　　　　　　　　　　　　　　　　,420000,522000,24.3
8,名古屋東－８,愛知県　　,泉１丁目５０２番　　　　　　　　　　　　　　　　　　　　　　,698000,860000,23.2
9,名古屋中－４,愛知県　　,丸の内３丁目８０１番　　　　　　　　　　　　　　　　　　　　,650000,800000,23.1
10,名古屋中－１,愛知県　　,正木１丁目９０２番１　　　　　　　　　　　　　　　　　　　　,244000,300000,23
