区名,昭和57年中(千m2）,昭和58年中(千m2）,昭和59年中(千m2）,昭和60年中(千m2）,昭和61年中(千m2）,昭和62年中(千m2）,昭和63年中(千m2）,平成元年中(千m2）,平成２年中(千m2）,平成３年中(千m2）,平成４年中(千m2）,平成５年中(千m2）,平成６年中(千m2）,平成７年中(千m2）,平成８年中(千m2）,平成９年中(千m2）,平成10年中(千m2),平成11年中(千m2),平成12年中(千m2),平成13年中(千m2),平成14年中(千m2),平成15年中(千m2),平成16年中(千m2),平成17年中(千m2),平成18年中(千m2),平成19年中(千m2),平成20年中(千m2),平成21年中(千m2),平成22年中(千m2),平成23年中(千m2),平成24年中(千m2),平成25年中(千m2),平成26年中(千m2),平成27年中(千m2),平成28年中(千m2),平成29年中(千m2)
千代田区,189,331,293,204,314,408,620,517,375,439,258,512,394,184,130,67,-1,66,400,-3,143,402,156,104,228,156,97,187,-28,172,-249,114,632,252,50,281
中央区,132,161,161,61,264,270,290,361,176,640,329,341,268,461,513,73,72,-32,44,-7,581,50,-38,99,-171,2,14,-11,-41,38,73,-145,196,-122,20,-11
港区,351,226,203,364,547,733,506,483,735,409,405,837,599,562,239,386,392,116,123,141,410,1515,809,2,483,490,329,24,35,3,30,-11,-69,292,8,232
新宿区,84,34,219,82,257,180,176,230,224,224,482,275,226,446,662,45,-18,109,-26,8,-4,67,140,-131,-34,40,-27,-12,29,-14,250,144,-5,-25,6,-28
文京区,21,64,49,2,74,74,93,102,70,126,84,155,144,84,58,40,243,8,103,46,-2,3,-5,-43,-1,21,1,-34,12,33,-16,10,-8,-5,-14,-12
台東区,50,19,19,13,137,143,112,64,116,101,201,179,200,34,28,28,54,-5,-3,14,21,-21,3,-35,-3,62,-25,17,44,-1,-22,10,-3,-11,46,-2
墨田区,8,13,10,16,58,18,34,36,29,45,125,126,129,22,6,190,11,0,67,8,-6,-6,64,-21,7,-2,-7,19,-8,-3,-9,-11,-1,-2,-8,-8
江東区,14,28,12,34,58,101,91,213,223,159,239,506,411,138,416,219,-7,26,8,125,22,139,56,11,269,188,117,48,72,368,134,54,-3,101,-15,-32
品川区,38,24,60,30,87,54,163,67,188,306,395,471,380,243,213,97,57,313,1,28,99,321,170,1,13,77,170,71,28,88,213,-44,-28,112,-54,-32
目黒区,6,16,6,0,84,42,17,14,41,78,46,170,72,22,181,32,5,5,-4,29,22,-23,-10,-24,9,3,-20,13,-25,8,6,-13,-16,-6,-11,-5
大田区,42,36,45,26,135,72,76,35,68,118,217,161,409,55,-13,41,21,84,10,2,-20,25,207,-42,6,58,34,41,-14,121,-11,-34,-34,70,-8,-3
世田谷区,6,12,26,26,85,45,29,35,39,41,70,115,107,127,54,107,24,-13,0,-12,27,-25,-10,-37,-8,66,-11,9,-3,-2,-20,-58,1,-8,151,-14
渋谷区,53,58,76,67,125,165,197,209,138,129,218,341,393,157,227,268,196,78,266,36,56,102,67,-34,-26,75,13,106,-4,3,128,105,-17,-54,33,114
中野区,6,3,3,6,38,8,14,33,5,21,37,86,80,48,13,164,23,42,-4,-7,15,-3,14,-12,-7,21,-6,-7,-5,0,-6,188,-5,-6,-1,0
杉並区,10,10,18,10,48,21,46,19,20,45,27,62,96,59,41,11,5,7,-5,-9,9,3,-2,-18,-7,17,7,-5,-7,-4,-16,-2,-7,2,-13,-9
豊島区,25,26,37,27,70,66,131,142,481,114,164,167,152,51,36,35,10,-6,7,11,25,2,-12,-15,-5,23,2,-5,-2,15,-10,-7,-14,-1,-8,-6
北区,7,1,-3,5,46,6,64,15,32,30,21,24,94,81,13,4,8,11,5,-3,-2,8,13,-12,7,15,29,-7,12,-7,0,23,-9,0,10,1
荒川区,0,2,1,0,10,25,26,19,28,15,29,35,71,46,7,5,2,0,-2,3,6,4,-6,-13,21,-3,8,1,-1,-1,3,-2,2,1,-2,1
板橋区,4,14,23,14,41,24,14,28,26,49,78,69,67,22,7,7,49,6,-5,7,-7,15,-8,-12,-16,13,-6,10,-19,4,-5,24,6,4,3,-7
練馬区,13,6,4,11,51,14,24,14,26,24,35,40,64,75,5,25,5,-7,-1,14,-3,-9,-3,-27,-6,16,-11,-1,3,0,-3,1,2,-1,-3,-5
足立区,10,9,12,14,45,17,32,28,20,35,32,26,68,13,15,24,5,7,7,9,-7,-5,-3,-21,-6,29,-6,-2,6,-11,0,-2,10,9,15,6
葛飾区,6,6,17,1,30,20,19,10,28,18,18,14,43,7,6,11,6,-8,1,1,-6,-2,-11,-12,1,14,-3,7,-2,0,-4,-6,0,-6,19,3
江戸川区,8,26,9,23,24,80,46,33,20,61,37,145,148,15,14,19,2,-3,13,6,-3,-3,0,-18,3,25,1,3,-6,-7,12,-24,1,6,9,4
計,1083,1125,1300,1036,2628,2586,2820,2707,3108,3226,3548,4858,4614,2949,2873,1901,1162,803,1004,445,1375,2559,1590,-308,758,1407,699,472,75,804,480,314,630,601,233,466
都心３区,672,718,657,629,1125,1411,1416,1361,1286,1488,992,1690,1261,1207,883,524,464,149,567,131,1133,1967,927,206,541,648,440,200,-34,213,-146,-42,759,422,77,502
都心５区,809,810,952,778,1507,1756,1789,1800,1648,1841,1692,2306,1880,1809,1773,837,642,337,808,174,1185,2136,1134,41,481,763,425,294,-9,202,233,207,738,343,117,588
他１８区,274,315,348,258,1121,830,1031,907,1460,1385,1856,2552,2734,1140,1100,1064,520,467,196,270,190,424,456,-349,277,644,274,178,85,601,247,107,-107,258,116,-122
