順位,標準地番号,都道府県,標準地の所在地,平成31年,令和2年,変動率
1,郡山－９－１,福島県,郡山市富久山町福原字竹之内１２８番３外,"14,000","13,500",-3.6
2,焼津－９－２,静岡県,焼津市利右衛門字地蔵森２７２６番６５外,"17,200","16,700",-2.9
3,苫小牧－９－６,北海道,苫小牧市字勇払２６３番２,"4,600","4,500",-2.2
4,秋田－９－１,秋田県,秋田市土崎港相染町字浜ナシ山６番２９,"7,450","7,300",-2
5,北斗－９－１,北海道,北斗市追分３丁目３６番７６,"10,100","9,900",-2
6,佐野－９－２,栃木県,佐野市大橋町３２０４番４,"20,300","19,900",-2
7,松阪－９－１,三重県,松阪市大口町字新地１７２８番２１,"15,500","15,200",-1.9
8,荒尾－９－２,熊本県,荒尾市金山字下粢田１１４６番１外,"15,700","15,400",-1.9
9,下松－９－２,山口県,下松市葉山１丁目８１９番３１,"26,700","26,200",-1.9
10,室蘭－９－３,北海道,室蘭市祝津町１丁目１２７番１４１,"10,900","10,700",-1.8
