順位,標準地番号,都道府県,標準地の所在地,平成31年,令和2年,変動率
1,夕張－５－１,北海道,夕張市本町２丁目２１７番,"4,900 ","4,450 ",-9.2 
2,美唄－５－１,北海道,美唄市大通西１条南１丁目１番１,"17,400 ","16,200 ",-6.9 
3,岩見沢－５－４,北海道,岩見沢市栗沢町本町５５番１,"8,800 ","8,200 ",-6.8 
4,奈井江－５－１,北海道,空知郡奈井江町字奈井江町４２番１,"8,800 ","8,200 ",-6.8 
5,上郡－５－１,兵庫県,赤穂郡上郡町竹万字京免２１５６番２,"37,400 ","34,900 ",-6.7 
6,芦別－５－１,北海道,芦別市北１条東１丁目６番５外,"7,700 ","7,200 ",-6.5 
7,当別－５－１,北海道,石狩郡当別町弥生５２番１０内,"15,400 ","14,400 ",-6.5 
8,三笠－５－１,北海道,三笠市幸町６番１１,"7,800 ","7,300 ",-6.4 
9,古平－５－１,北海道,古平郡古平町大字浜町７１番１内,"7,800 ","7,300 ",-6.4 
10,三浦－５－２,神奈川県,三浦市三崎４丁目３８番１３,"81,000 ","76,000 ",-6.2 
