区分,合計面積（千m2）,住宅・アパート／面積（千m2）,住宅・アパート／構成比（％）,事務所・店舗等／面積（千m2）,事務所・店舗等／構成比（％）,事務所・店舗等／事務所・銀行／面積（千m2）,事務所・店舗等／事務所・銀行／構成比（％）,工場・倉庫／面積（千m2）,工場・倉庫／構成比（％）,その他／面積（千m2）,その他／構成比（％）
区部＿千代田区,23526 ,4009 ,17.0,17812 ,75.7,16843 ,71.6,226 ,1.0,1478 ,6.3
区部＿中央区,22244 ,7066 ,31.8,13842 ,62.2,12289 ,55.2,483 ,2.2,854 ,3.8
区部＿港区,37219 ,15171 ,40.8,19377 ,52.1,17999 ,48.4,788 ,2.1,1883 ,5.1
区部＿新宿区,25557 ,14495 ,56.7,9496 ,37.2,7458 ,29.2,432 ,1.7,1134 ,4.4
区部＿文京区,12572 ,9323 ,74.2,2649 ,21.1,2261 ,18.0,267 ,2.1,332 ,2.6
区部＿台東区,13620 ,9094 ,66.8,3336 ,24.5,2623 ,19.3,397 ,2.9,794 ,5.8
区部＿墨田区,13666 ,10356 ,75.8,2091 ,15.3,1343 ,9.8,961 ,7.0,258 ,1.9
区部＿江東区,30185 ,17570 ,58.2,6494 ,21.5,5213 ,17.3,5435 ,18.0,686 ,2.3
区部＿品川区,22840 ,14402 ,63.1,6055 ,26.5,5381 ,23.6,1782 ,7.8,601 ,2.6
区部＿目黒区,13297 ,11259 ,84.7,1681 ,12.6,1334 ,10.0,161 ,1.2,197 ,1.5
区部＿大田区,35395 ,25489 ,72.0,4115 ,11.6,3177 ,9.0,4640 ,13.1,1151 ,3.3
区部＿世田谷区,37813 ,34291 ,90.7,2625 ,6.9,1530 ,4.0,508 ,1.3,389 ,1.0
区部＿渋谷区,20083 ,11816 ,58.8,7522 ,37.5,5901 ,29.4,188 ,0.9,558 ,2.8
区部＿中野区,13401 ,11811 ,88.1,1343 ,10.0,1045 ,7.8,106 ,0.8,140 ,1.0
区部＿杉並区,22654 ,20629 ,91.1,1437 ,6.3,895 ,4.0,306 ,1.4,282 ,1.2
区部＿豊島区,16003 ,11263 ,70.4,3942 ,24.6,2553 ,16.0,208 ,1.3,591 ,3.7
区部＿北区,14017 ,11630 ,83.0,1269 ,9.1,828 ,5.9,811 ,5.8,307 ,2.2
区部＿荒川区,9096 ,7653 ,84.1,682 ,7.5,516 ,5.7,504 ,5.5,257 ,2.8
区部＿板橋区,23000 ,19097 ,83.0,1645 ,7.2,957 ,4.2,1821 ,7.9,437 ,1.9
区部＿練馬区,27166 ,24718 ,91.0,1547 ,5.7,729 ,2.7,532 ,2.0,370 ,1.4
区部＿足立区,27043 ,22103 ,81.7,1985 ,7.3,790 ,2.9,2238 ,8.3,718 ,2.7
区部＿葛飾区,17626 ,15269 ,86.6,1220 ,6.9,530 ,3.0,860 ,4.9,277 ,1.6
区部＿江戸川区,26111 ,22086 ,84.6,1859 ,7.1,1000 ,3.8,1743 ,6.7,422 ,1.6
区部＿区部計,504134 ,350599 ,69.5,114024 ,22.6,93194 ,18.5,25394 ,5.0,14117 ,2.8
市部＿八王子市,27196 ,20938 ,77.0,3011 ,11.1,1527 ,5.6,2579 ,9.5,667 ,2.5
市部＿立川市,8809 ,5855 ,66.5,1862 ,21.1,979 ,11.1,779 ,8.8,314 ,3.6
市部＿武蔵野市,7122 ,5475 ,76.9,1386 ,19.5,673 ,9.5,136 ,1.9,125 ,1.8
市部＿三鷹市,7385 ,6185 ,83.8,682 ,9.2,404 ,5.5,361 ,4.9,156 ,2.1
