用途,昭和58年,昭和59年,昭和60年,昭和61年,昭和62年,昭和63年,昭和64年,平成2年,平成3年,平成4年,平成5年,平成6年,平成7年,平成8年,平成9年,平成10年,平成11年,平成12年,平成13年,平成14年,平成15年,平成16年,平成17年,平成18年,平成19年,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年,令和3年,令和4年
区部／住宅・アパート(千m2),195210,199074,202569,204919,209978,213992,218359,223238,228551,233688,238338,243700,248223,253107,258489,265491,270042,274201,279453,284550,289637,295555,301869,305197,310492,315907,320516,325166,327995,331930,335380,338830,342819,346862,350599,353898,356997,359930,362960,365857
区部／住宅・アパート／割合(%),69.5,69.5,69.5,69.5,69.2,68.9,68.3,68.1,67.7,67.4,67,66.5,65.8,65.7,65.6,65.8,65.9,66.1,66.3,66.7,66.9,67,67.2,67.6,67.8,67.9,68.1,68.3,68.5,68.6,68.8,69,69.1,69.3,69.5,69.6,69.6,69.7,69.7,69.7
区部／事務所・店舗等(千m2),48927,50288,51427,52644,55460,58243,61240,64142,67620,71272,75171,80355,85420,88610,92030,94380,95708,96815,98403,98927,100366,103133,105032,104877,106217,107725,108771,109350,109642,110722,111893,112449,113171,113885,114024,114638,115432,116382,116661,116613
区部／事務所・店舗等／割合(%),17.4,17.6,17.7,17.9,18.3,18.8,19.2,19.6,20,20.5,21.1,21.9,22.7,23,23.4,23.4,23.4,23.3,23.3,23.2,23.2,23.4,23.4,23.2,23.2,23.2,23.1,23,22.9,22.9,23,22.9,22.8,22.8,22.6,22.5,22.5,22.5,22.4,22.4
区部／工場・倉庫(千m2),29810,29909,28771,28739,29195,29306,29993,30388,30163,30474,30585,30828,31447,31417,31374,31376,31196,30932,30717,30193,29735,29233,28741,27773,27434,27365,27054,27076,26886,26541,26259,25900,25797,25480,25394,25607,25466,25433,25600,25210
区部／工場・倉庫／割合(%),10.6,10.4,9.9,9.7,9.6,9.4,9.4,9.3,8.9,8.8,8.6,8.4,8.3,8.2,8,7.8,7.6,7.5,7.3,7.1,6.9,6.6,6.4,6.2,6,5.9,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,5,5,4.9,4.9,4.9
区部／その他(千m2),7000,7068,8492,8504,8716,8947,9946,10213,11118,11400,11474,11605,12031,11975,12186,12341,12620,12828,12961,13246,13267,13390,13438,13657,13928,14053,14206,14299,14281,14443,13938,13854,13985,13952,14117,14433,14752,14911,15417,16289
区部／その他／割合(%),2.5,2.5,2.9,2.9,2.9,2.9,3.1,3.1,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3,3,3,3,3,3,3,3,3,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3,3
区部／計(千m2),280947,286338,291258,294806,303349,310488,319538,327981,337452,346834,355568,366487,377121,385109,394080,403587,409565,414776,421535,426916,433006,441311,449080,451504,458071,465050,470547,475890,478803,483636,487470,491032,495772,500179,504134,508575,512647,516656,520638,523969
区部／計／割合(%),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
多摩地域／住宅・アパート(千m2),67947,70113,72266,74548,76823,79124,80312,82946,86855,89416,91398,93338,97110,99833,102368,104998,107336,109661,112008,114845,116820,119947,123110,125022,127246,129506,131459,133152,134672,136241,137794,139541,141383,142911,144724,146006,147549,148944,150256,151668
多摩地域／住宅・アパート／割合(%),75.8,75.8,75.8,75.3,75.2,75.2,73.8,73.8,74.7,74.5,73.6,73.4,74,74.3,74.4,74.6,74.8,75.3,75.1,75.8,75.9,76.2,76.6,76.3,76.5,76.4,76.6,76.6,76.7,77,77.3,77.4,77.7,77.8,77.9,78.1,78.1,78.3,78.3,78.5
多摩地域／事務所・店舗等(千m2),7047,7655,8072,8860,9391,9968,10446,11279,12094,12812,14035,14451,15343,15855,16437,16737,16951,17350,17615,17537,17917,18289,18525,18817,19039,19665,19809,20274,20454,20474,20509,20875,20846,20941,20964,21077,21286,21291,21354,21353
多摩地域／事務所・店舗等／割合(%),7.9,8.3,8.5,9,9.2,9.5,9.6,10,10.4,10.7,11.3,11.4,11.7,11.8,11.9,11.9,11.8,12,11.8,11.6,11.6,11.6,11.5,11.5,11.4,11.6,11.5,11.7,11.7,11.6,11.5,11.6,11.5,11.4,11.3,11.3,11.3,11.2,11.1,11
多摩地域／工場・倉庫(千m2),9657,10071,10373,10771,11068,11307,11674,11984,12408,12779,13122,13376,13480,13525,13733,13786,13875,14025,14066,13757,13657,13567,13540,13497,13569,13597,13657,13770,13767,13636,13577,13435,13585,13532,13897,13748,13735,13886,14077,13820
多摩地域／工場・倉庫／割合(%),10.8,10.9,10.9,10.9,10.8,10.7,10.7,10.7,10.7,10.6,10.6,10.5,10.3,10.1,10,9.8,9.7,9.2,9.4,9.1,8.9,8.6,8.4,8.2,8.2,8,8,7.9,7.8,7.7,7.6,7.5,7.5,7.4,7.5,7.3,7.3,7.3,7.3,7.1
多摩地域／その他(千m2),5016,4620,4635,4785,4823,4862,9361,6169,4885,5039,5661,6010,5254,5240,5096,5231,5327,5318,5384,5452,5518,5516,5559,6434,6514,6638,6604,6604,6597,6584,6469,6441,6240,6266,6202,6229,6268,6123,6124,6696
多摩地域／その他／割合(%),5.6,5,4.9,4.8,4.7,4.6,8.6,5.5,4.2,4.2,4.6,4.7,4,3.9,3.7,3.7,3.7,3.5,3.6,3.6,3.6,3.5,3.5,3.9,3.9,3.9,3.9,3.8,3.8,3.7,3.6,3.6,3.4,3.4,3.3,3.3,3.3,3.2,3.2,3.5
多摩地域／計(千m2),89667,92459,95346,98964,102105,105261,108792,112378,116242,120045,124216,127174,131188,134452,137634,140753,143489,146354,149073,151591,153911,157319,160734,163771,166369,169406,171530,173800,175490,176934,178350,180292,182055,183650,185788,187061,188838,190243,191811,193317
多摩地域／計／割合(%),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
区部多摩合計／住宅・アパート(千m2),263157,269187,274835,279467,286801,293116,298671,306184,315405,323104,329736,337038,345333,352939,360857,370489,377378,383861,391461,399395,406457,415502,424978,430220,437739,445413,451975,458317,462667,468171,473174,478371,484203,489773,495323,499904,504546,508874,513216,518855
区部多摩合計／住宅・アパート／割合(%),71,71.1,71.1,71,70.7,70.5,69.7,69.5,69.5,69.2,68.7,68.3,67.9,67.9,67.9,68.1,68.2,68.4,68.6,69,69.3,69.4,69.7,69.9,70.1,70.2,70.4,70.5,70.7,70.9,71,71.3,71.4,71.6,71.8,71.9,71.9,72,72,72.1
区部多摩合計／事務所・店舗等(千m2),55974,57943,59499,61503,64850,68211,71685,75421,79715,84084,89207,94806,100763,104465,108467,111117,112659,114165,116018,116464,118283,121422,123557,123694,125256,127390,128580,129624,130096,131196,132402,133324,134016,134826,134988,135715,136718,137673,138015,138125
区部多摩合計／事務所・店舗等／割合(%),15.1,15.3,15.4,15.6,16,16.4,16.7,17.1,17.6,18,18.6,19.2,19.8,20.1,20.4,20.4,20.4,20.3,20.3,20.1,20.2,20.3,20.3,20.1,20.1,20.1,20,20,19.9,19.9,19.9,19.9,19.8,19.7,19.6,19.5,19.5,19.5,19.4,19.2
区部多摩合計／工場・倉庫(千m2),39467,39980,39144,39510,40264,40612,41667,42372,42570,43252,43707,44204,44927,44942,45108,45162,45071,44957,44784,43950,43392,42800,42281,41270,41002,40961,40711,40846,40652,40177,39836,39335,39382,39012,39292,39356,39201,39319,39677,39200
区部多摩合計／工場・倉庫／割合(%),10.6,10.6,10.1,10,9.9,9.8,9.7,9.6,9.4,9.3,9.1,9,8.8,8.6,8.5,8.3,8.1,8,7.8,7.6,7.4,7.1,6.9,6.7,6.6,6.5,6.3,6.3,6.2,6.1,6,5.9,5.8,5.7,5.7,5.7,5.6,5.6,5.6,5.5
区部多摩合計／その他(千m2),12016,11687,13127,13289,13539,13810,16307,16382,16003,16438,17035,17615,17285,17216,17283,17572,17946,18146,18345,18698,18785,18907,18997,20091,20442,20691,20811,20903,20878,21027,20407,20295,20225,20217,20319,20662,21021,21034,21541,23209
区部多摩合計／その他／割合(%),3.2,3.1,3.4,3.4,3.3,3.3,3.8,3.7,3.5,3.5,3.6,3.6,3.4,3.3,3.3,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.1,3.3,3.3,3.3,3.2,3.2,3.2,3.1,3.1,3,3,3,2.9,3,3,3,3,3.2
