区市町村名,行政面積／平成29年／(A)(km2),行政面積／平成28年／(C)(km2),民有地面積／平成29年／(B)(km2),民有地面積／平成29年／(B/A)(km2),民有地面積／平成28年／(D)(km2),民有地面積／平成28年／(C/D)(km2),民有地増減(B-D)(%)
区部／千代田区,11.66,11.66,4.01,34.41,4,34.34,0.01
区部／中央区,10.21,10.21,3.97,38.88,4,39.16,-0.03
区部／港区,20.37,20.37,9.97,48.94,9.9,48.62,0.07
区部／新宿区,18.22,18.22,10.05,55.14,10.05,55.16,0
区部／文京区,11.29,11.29,5.95,52.73,5.96,52.76,0
区部／台東区,10.11,10.11,4.8,47.52,4.8,47.52,0
区部／墨田区,13.77,13.77,7.1,51.53,7.1,51.54,0
区部／江東区,40.16,40.16,15.97,39.76,16.11,40.1,-0.14
区部／品川区,22.84,22.84,13.24,57.96,13.05,57.15,0.18
区部／目黒区,14.67,14.67,9.28,63.23,9.28,63.23,0
区部／大田区,60.83,60.75,25.78,42.39,25.79,42.46,-0.01
区部／世田谷区,58.05,58.05,36.87,63.52,36.87,63.52,0
区部／渋谷区,15.11,15.11,8.47,56.06,8.47,56.04,0
区部／中野区,15.59,15.59,10.37,66.5,10.37,66.49,0
区部／杉並区,34.06,34.06,22.4,65.77,22.43,65.84,-0.03
区部／豊島区,13.01,13.01,8.2,63.03,8.21,63.14,-0.01
区部／北区,20.61,20.61,10.48,50.85,10.48,50.87,0
区部／荒川区,10.16,10.16,5.9,58.04,5.91,58.18,-0.01
区部／板橋区,32.22,32.22,18.51,57.44,18.49,57.4,0.01
区部／練馬区,48.08,48.08,31.13,64.74,31.16,64.81,-0.04
区部／足立区,53.25,53.25,28.72,53.93,28.8,54.08,-0.08
区部／葛飾区,34.8,34.8,17.42,50.05,17.41,50.03,0
区部／江戸川区,49.9,49.9,24.13,48.35,24.13,48.36,0
区部／荒川河口部,1.12,1.12,-,-,-,-,-
区部／中央防波堤埋立地,7.48,6.78,-,-,-,-,-
区部／区部計,627.57,626.79,332.7,53.01,332.78,53.09,-0.09
市部／八王子市,186.38,186.38,90.41,48.51,90.52,48.57,-0.12
市部／立川市,24.36,24.36,13.91,57.11,13.92,57.13,-0.01
市部／武蔵野市,10.98,10.98,6.78,61.71,6.78,61.73,0
市部／三鷹市,16.42,16.42,10.31,62.77,10.32,62.83,-0.01
市部／青梅市,103.31,103.31,60.35,58.42,60.37,58.44,-0.02
市部／府中市,29.43,29.43,15.14,51.43,15.14,51.44,-0.19
市部／昭島市,17.34,17.34,9.11,52.52,9.1,52.48,0.17
市部／調布市,21.58,21.58,12.03,55.74,12.04,55.78,-5.66
市部／町田市,71.55,71.8,41.93,58.6,41.96,58.45,5.61
市部／小金井市,11.3,11.3,6.66,58.97,6.66,58.98,0.03
市部／小平市,20.51,20.51,13.15,64.14,13.17,64.19,-0.56
市部／日野市,27.55,27.55,14.46,52.49,14.49,52.58,0.42
市部／東村山市,17.14,17.14,9.94,58,9.93,57.93,0.09
市部／国分寺市,11.46,11.46,8.08,70.5,8.07,70.43,0.04
市部／国立市,8.15,8.15,4.79,58.74,4.79,58.79,-0.01
市部／福生市,10.16,10.16,3.9,38.34,3.89,38.31,0.01
市部／狛江市,6.39,6.39,3.98,62.21,3.94,61.61,-0.14
市部／東大和市,13.42,13.42,6.06,45.14,6.06,45.13,0.1
市部／清瀬市,10.23,10.23,5.91,57.74,5.91,57.78,0.03
市部／東久留米市,12.88,12.88,8.48,65.81,8.47,65.78,-0.43
市部／武蔵村山市,15.32,15.32,8.93,58.31,8.97,58.58,0.14
市部／多摩市,21.01,21.01,10.13,48.21,10.13,48.22,-0.85
市部／稲城市,17.97,17.97,9.4,52.29,9.37,52.15,1.09
市部／羽村市,9.9,9.9,6.08,61.41,6.09,61.47,-18.5
市部／あきる野市,73.47,73.47,37.89,51.58,37.9,51.59,18.57
市部／西東京市,15.75,15.75,10.45,66.33,10.47,66.45,-0.01
市部／市部計,783.96,784.21,428.23,54.62,428.45,54.64,-0.23
区部･市部計,1411.53,1411,760.92,53.91,761.24,53.95,-0.31
西多摩郡,375.86,375.86,134.94,35.9,135.72,36.11,-0.78
島しょ,406.58,404.15,136.42,33.55,136.77,33.84,-0.35
東京都総計,2193.97,2191.01,1032.29,47.05,1033.73,47.18,-1.44
