区市町村名　/　昭和・平成　年,58年,59年,60年,61年,62年,63年,64年,2年,3年,4年,5年,6年,7年,8年,9年,10年,11年,12年,13年,14年,15年,16年,17年,19年,20年,21年,22年,23年,24年,25年,26年,27年,28年,29年,30年,31年
千代田区,100,124.7,161.7,252.6,361.3,414.7,412.2,420.5,420.5,384.3,292.9,204.4,151.7,110.9,88.9,86.3,80.2,75.6,70.7,65.8,63.2,61.9,62.1,76.7,89.1,84.5,71.1,68.5,66.5,66.2,69,72.9,78.3,83.9,89.4,96.3
中央区,100,119.7,158,246.3,360.1,418.5,419.3,430.6,431.5,401.7,309.3,212.5,155.3,112.9,91.6,86.5,79.9,72.6,66.4,60.6,58.3,57.4,57.9,75.3,89.8,85.5,70.7,68.1,66.1,65.9,69,74,81,89,96.5,105
港区,100,120.7,156.2,231.6,367.1,391,383.9,394.7,392.3,361.3,261.6,173.7,120.7,89.8,76.2,71.8,65.8,61,58.4,57.1,55.9,55.2,55.8,76.5,93.4,81.1,69.6,66.1,63.8,63.2,66,69.7,75,80.1,85.4,92.9
新宿区,100,113.2,140.8,192.6,355.2,402.8,402,415.3,419,385.9,296,204.2,153.8,116,100.1,94.9,88.6,84.1,81.7,78.4,76.2,74.3,73.5,83.2,102.1,93.5,83.8,81.2,79.5,78.7,81.5,84.7,89.2,93.7,99.5,107.2
文京区,100,108.3,117.4,152.5,352,379.4,369.2,372.5,372.1,332.7,266.8,214.2,179.8,134.8,106.5,93.3,83.7,76.6,70.7,66.5,64.2,63,62.5,75,92.6,84,75.8,72.9,71.5,71.4,73.5,76.4,80.5,85.2,90.5,97.8
台東区,100,106.8,120.7,146.6,268.9,311.7,304.2,305.1,304.8,275.9,230.1,188.9,158.5,118.7,95.7,83.1,74.3,68.3,63.5,59.3,55.7,52.9,51.4,58.8,70.3,63.3,57.4,55.3,53.7,53.7,54.7,55.9,58.1,61.4,65.9,73.1
墨田区,100,102.8,107.3,116.8,212.9,367,376.5,388.2,391.7,347.8,271.6,226.3,177.6,138.2,115,105.9,96.2,88.1,81,75.5,73,72.2,71.7,82.5,95.6,89.2,83,81.9,81.1,81.4,83.3,84.9,87.2,90,94.6,102.6
江東区,100,105.3,109.7,119.7,216.2,337,343.8,359.6,365,326.7,253.5,213.4,171,131.1,109.6,100.9,91.2,82.1,74.8,69.2,67.5,67,66.9,77.6,88.8,83.7,78,76.4,74.8,74.6,76.6,78.4,80.5,83,88,96.5
品川区,100,109.6,124.4,157.5,311.3,342.8,337.3,343,343,311.5,241.4,187.6,148,122.2,103,93.3,87.5,81.8,77.8,75.1,73.4,72.2,71.8,91.1,105.6,93.1,84.8,83,81.8,81.7,83.4,87,91.2,95.4,101.8,109.3
目黒区,100,111.5,127.9,172.7,363.4,398.7,388.3,386.8,383.7,332.6,260.5,194,146.1,117.6,100.2,91.4,85.3,80,75.9,73.1,71.5,70.3,70.1,88.1,103.5,93.1,85.3,83,81.7,81.8,83.9,86.2,91.7,96,100.3,106.7
