区名,買主／個人／件数(件),買主／個人／面積(m2),買主／法人／件数(件),買主／法人／面積(m2),買主／国等／件数(件),買主／国等／面積(m2),買主／合計／件数(件),買主／合計／面積(m2)
千代田区,57,2595,494,53254,14,2013,565,57862
中央区,181,5556,869,65992,4,133,1054,71681
港区,360,13547,884,151651,59,6090,1303,171288
新宿区,1076,41732,1529,161503,52,2251,2657,205486
文京区,663,31089,708,78257,29,1313,1400,110659
台東区,397,17173,1261,101323,12,685,1670,119181
墨田区,861,36580,1230,124173,88,5038,2179,165791
江東区,971,36580,1227,174802,6,383,2204,211765
品川区,1362,51369,1351,152314,112,23999,2825,227682
目黒区,1345,67764,1027,138403,28,3141,2400,209308
大田区,3476,161698,2646,342253,41,9952,6163,513903
世田谷区,4692,280593,3265,474215,267,37149,8224,791957
渋谷区,780,34932,1097,133202,16,1399,1893,169533
中野区,1633,74108,1353,150659,108,22161,3094,246928
杉並区,3446,174483,2166,269625,71,10293,5683,454401
豊島区,1156,50769,1092,100092,83,5126,2331,155987
北区,1365,55153,1324,134215,114,4451,2803,193819
荒川区,1030,39100,1104,91124,134,22962,2268,153186
板橋区,2213,103165,1945,335383,28,2911,4186,441459
練馬区,4572,244533,3148,380694,154,19532,7874,644759
足立区,3832,184844,3629,371232,99,10908,7560,566984
葛飾区,2515,120772,2268,192715,132,22539,4915,336026
江戸川区,2924,147466,2608,270669,170,13610,5702,431745
合計,40907,1975601,38225,4447750,1821,228039,80953,6651390
