区市町村名,住宅地,商業地,工業地,全用途平均
千代田区,"2,762.9","6,586.9",,"6,148.1"
中央区,"1,289.2","9,373.2",,"8,090.0"
港区,"2,029.0","5,111.5",,"3,997.3"
新宿区,799.6,"4,846.7",,"3,342.0"
文京区,993.4,"1,496.2",,"1,259.6"
台東区,912.7,"1,564.5",,"1,492.1"
墨田区,436.7,819.9,,644.3
江東区,478.6,893.9,469.3,624.9
品川区,844.7,"1,681.5",418.0,"1,228.1"
目黒区,954.6,"1,813.6",,"1,263.8"
大田区,526.4,895.7,396.4,655.4
世田谷区,633.8,"1,018.0",,719.8
渋谷区,"1,306.0","7,087.9",,"4,539.9"
中野区,595.6,"1,210.9",,874.2
杉並区,538.5,973.1,,649.7
豊島区,629.3,"2,178.0",,"1,530.4"
北区,527.5,966.7,,711.1
荒川区,505.3,869.8,,656.1
板橋区,429.6,705.9,282.3,498.3
練馬区,391.0,749.5,,446.4
足立区,314.1,593.8,235.3,392.6
葛飾区,321.3,511.9,,375.7
江戸川区,361.4,636.8,316.0,407.8
区部,631.3,"3,103.6",349.0,"1,676.7"
八王子市,116.3,451.8,111.0,154.5
立川市,249.7,"1,313.5",160.0,460.3
武蔵野市,565.4,"1,919.1",,"1,045.7"
三鷹市,413.4,829.8,,529.6
青梅市,92.2,188.4,,103.7
府中市,292.8,552.8,187.0,337.4
昭島市,185.3,314.7,152.0,200.7
調布市,338.2,762.7,,401.4
町田市,155.9,724.9,,245.7
小金井市,337.6,695.6,,412.2
小平市,228.6,319.5,,245.5
日野市,188.5,420.5,149.3,216.2
東村山市,185.6,301.2,150.0,217.0
国分寺市,287.4,590.3,,379.6
国立市,339.5,629.0,191.0,387.5
福生市,162.8,288.0,,201.9
狛江市,308.1,475.5,,332.0
東大和市,167.5,196.0,149.0,170.1
清瀬市,184.1,348.0,140.0,199.8
東久留米市,213.6,282.0,194.0,223.0
武蔵村山市,120.0,146.0,108.0,122.1
多摩市,183.1,396.0,,211.9
稲城市,231.9,258.7,,234.5
羽村市,137.7,177.0,85.5,136.5
あきる野市,95.9,166.5,73.5,100.5
西東京市,287.8,433.8,,317.7
瑞穂町,91.1,121.5,72.0,88.1
日の出町,85.7,91.8,90.0,76.6
檜原村,,,,
奥多摩町,,,,
多摩地域,213.7,616.1,134.6,278.8
大島町,9.5,42.3,,20.4
新島村,6.4,8.9,,7.2
神津島村,7.1,9.5,,7.9
三宅村,8.9,10.9,,9.6
八丈町,9.0,30.7,,16.2
小笠原村,40.8,75.0,,52.2
島しょ,13.6,29.5,,18.9
東京都,432.0,"2,590.3",250.0,"1,133.0"
