区名,増加量(万m2),増加率(%)
千代田区,1146.5,175.1
中央区,657,111.7
港区,1475.7,401.7
新宿区,603.6,427.2
文京区,171.9,343.1
台東区,187.7,254.7
墨田区,102.2,330.7
江東区,470.6,1003.5
品川区,491.8,767.2
目黒区,96,285.6
大田区,233.3,272.2
世田谷区,116.6,345
渋谷区,492,433.1
中野区,86.9,491
杉並区,61.9,240.7
豊島区,211.7,500.4
北区,60.1,267.1
荒川区,38.3,292.4
板橋区,67.8,248.4
練馬区,50.5,228.7
足立区,59.4,262.6
葛飾区,30.9,140
江戸川区,78,416.9
区部計,6990.3,277.6
