区分,50m2未満,50m2以上100m2未満,100m2以上150m2未満,150m2以上200m2未満,200m2以上300m2未満,300m2以上500m2未満,500m2以上1000m2未満,1000m2以上2000m2未満,2000m2以上5000m2未満,5000m2以上10000m2未満,10000m2以上,合計
千代田区／件数(件),190,174,48,29,29,13,7,3,1,0,0,494
千代田区／面積(m2),4919,12378,5762,4991,6790,5099,5103,4719,3493,0,0,53254
中央区／件数(件),433,241,104,36,28,20,5,2,0,0,0,869
中央区／面積(m2),9393,17160,12490,6100,6771,7829,3576,2673,0,0,0,65992
港区／件数(件),296,233,109,94,65,50,22,10,3,0,2,884
港区／面積(m2),6479,16795,12950,16003,15380,18014,14648,14726,9044,0,27612,151651
新宿区／件数(件),582,393,250,105,111,59,23,5,1,0,0,1529
新宿区／面積(m2),10147,28847,30501,18026,26235,21894,15836,6186,3831,0,0,161503
文京区／件数(件),281,188,99,61,33,31,11,2,2,0,0,708
文京区／面積(m2),6095,13292,12351,10418,7966,11371,6831,3126,6807,0,0,78257
台東区／件数(件),545,387,172,67,52,33,5,0,0,0,0,1261
台東区／面積(m2),13865,27631,20588,11508,12438,11884,3409,0,0,0,0,101323
墨田区／件数(件),484,335,174,102,72,47,10,5,1,0,0,1230
墨田区／面積(m2),11183,24114,21246,17469,17626,16675,6408,6220,3232,0,0,124173
江東区／件数(件),518,335,156,73,58,45,23,10,4,4,1,1227
江東区／面積(m2),12446,23480,18734,12463,14061,16984,15522,13857,10697,24889,11669,174802
品川区／件数(件),521,380,177,114,86,42,18,9,4,0,0,1351
品川区／面積(m2),9477,26981,21404,19420,21196,16198,12516,12021,13101,0,0,152314
目黒区／件数(件),330,236,156,111,95,70,24,2,3,0,0,1027
目黒区／面積(m2),6712,18005,19328,19267,22756,26044,15200,2965,8126,0,0,138403
大田区／件数(件),885,663,417,248,212,124,84,9,4,0,0,2646
大田区／面積(m2),16171,48314,51299,43102,52183,47877,57814,12766,12727,0,0,342253
世田谷区／件数(件),1225,615,480,319,286,201,95,37,5,1,1,3265
世田谷区／面積(m2),20032,45386,57977,55376,69846,76616,63319,47971,13056,7477,17159,474215
渋谷区／件数(件),406,283,145,82,90,59,27,3,1,1,0,1097
渋谷区／面積(m2),8020,20645,17759,14233,21955,22442,17179,3296,2260,5413,0,133202
中野区／件数(件),472,375,208,114,112,49,17,5,0,1,0,1353
中野区／面積(m2),8766,27121,25288,19527,26648,17905,10878,7089,0,7437,0,150659
杉並区／件数(件),848,458,282,185,215,123,41,10,3,1,0,2166
杉並区／面積(m2),13739,34049,34520,32121,51539,45366,27563,12903,8025,9800,0,269625
豊島区／件数(件),442,298,169,76,61,31,14,1,0,0,0,1092
豊島区／面積(m2),8952,21600,20289,12900,14644,11891,8714,1102,0,0,0,100092
北区／件数(件),508,420,158,95,65,47,23,8,0,0,0,1324
北区／面積(m2),9185,29911,19133,16423,15543,17518,14201,12301,0,0,0,134215
荒川区／件数(件),525,318,102,56,59,28,15,1,0,0,0,1104
荒川区／面積(m2),11139,22124,12476,9583,14627,10440,9540,1195,0,0,0,91124
板橋区／件数(件),717,530,272,129,125,105,46,16,3,1,1,1945
板橋区／面積(m2),11168,38837,33017,22132,30027,41055,30772,19768,9062,8289,91256,335383
練馬区／件数(件),1418,614,428,242,203,126,75,30,11,1,0,3148
練馬区／面積(m2),15536,46446,51550,41155,47920,48708,52149,40990,29839,6401,0,380694
足立区／件数(件),1715,820,417,210,195,142,112,18,0,0,0,3629
足立区／面積(m2),24306,59424,50062,36102,47166,52445,78623,23104,0,0,0,371232
葛飾区／件数(件),1183,541,211,116,84,80,44,9,0,0,0,2268
葛飾区／面積(m2),18796,38894,25322,20072,20060,30140,28291,11140,0,0,0,192715
江戸川区／件数(件),1269,610,264,129,122,106,103,4,0,1,0,2608
江戸川区／面積(m2),22075,43630,31369,22224,30318,40389,68438,4986,0,7240,0,270669
合計／件数(件),15793,9447,4998,2793,2458,1631,844,199,46,11,5,38225
合計／面積(m2),278601,685064,605415,480615,593695,614784,566530,265104,133300,76946,147696,4447750
