順位,標準地番号,都道府県,標準地の所在地,令和４年,令和５年,変動率
1,長崎－9－1,長崎県,香焼町字馬手ヶ浦１１番外,16400,16000,-2.4
2,呉－9－3,広島県,仁方皆実町３９１２番６０,40100,39200,-2.2
3,室蘭－9－3,北海道,祝津町１丁目１２７番１４１,10300,10100,-1.9
4,南三陸－9－1,宮城県,志津川字沼田１５０番７９,16100,15800,-1.9
5,小松島－9－1,徳島県,小松島町字新港４６番３外,24000,23600,-1.7
6,島原－9－1,長崎県,大手原町甲２１３０番６１,12300,12100,-1.6
7,松山－9－6,愛媛県,三津２丁目４５１番３外,37800,37200,-1.6
8,旭川－9－5,北海道,東鷹栖東２条２丁目１３７番３６１外,6600,6500,-1.5
9,上越－9－1,新潟県,藤巻８９０番外,22600,22300,-1.3
10,和歌山－9－1,和歌山県,築港２丁目３番４,23400,23100,-1.3
