区市名,所有者数／個人(人),所有者数／法人(人),所有者数／計(人),面積／個人(千ｍ2),面積／法人(千ｍ2),面積／計(千ｍ2),所有者数構成比／個人(%),所有者数構成比／法人(%),面積構成比／個人(%),面積構成比／法人(%)
区部／千代田区,4940,3411,8351,581,2952,3533,59.2,40.8,16.4,83.6
区部／中央区,7806,4472,12278,707,2409,3116,63.6,36.4,22.7,77.3
区部／港区,13117,5422,18539,1876,6141,8017,70.8,29.2,23.4,76.6
区部／新宿区,32954,5705,38659,4757,3775,8531,85.2,14.8,55.8,44.2
区部／文京区,25957,2938,28895,3269,1758,5027,89.8,10.2,65,35
区部／台東区,22502,4711,27213,2393,1917,4309,82.7,17.3,55.5,44.5
区部／墨田区,29787,3501,33288,3877,2328,6206,89.5,10.5,62.5,37.5
区部／江東区,30100,4346,34446,3857,9251,13108,87.4,12.6,29.4,70.6
区部／品川区,41780,3830,45610,5756,6140,11897,91.6,8.4,48.4,51.6
区部／目黒区,36653,3018,39671,6130,2102,8232,92.4,7.6,74.5,25.5
区部／大田区,90946,6864,97810,15700,7584,23284,93,7,67.4,32.6
区部／世田谷区,132798,6757,139555,26340,6639,32979,95.2,4.8,79.9,20.1
区部／渋谷区,24052,4749,28801,3846,3240,7087,83.5,16.5,54.3,45.7
区部／中野区,47937,3369,51306,7513,1885,9398,93.4,6.6,79.9,20.1
区部／杉並区,94555,4498,99053,17632,3112,20744,95.5,4.5,85,15
区部／豊島区,35585,3684,39269,5232,2123,7354,90.6,9.4,71.1,28.9
区部／北区,40460,2795,43255,5947,3626,9573,93.5,6.5,62.1,37.9
区部／荒川区,24521,2091,26612,3446,1780,5226,92.1,7.9,65.9,34.1
区部／板橋区,64691,4162,68853,11682,4549,16231,94,6,72,28
区部／練馬区,123032,4273,127305,25455,3570,29025,96.6,3.4,87.7,12.3
区部／足立区,103844,5274,109118,20767,5981,26748,95.2,4.8,77.6,22.4
区部／葛飾区,73044,3719,76763,12965,3272,16237,95.2,4.8,79.9,20.1
区部／江戸川区,97249,4757,102006,17478,4944,22422,95.3,4.7,78,22
区部／区部計,1198310,98346,1296656,207208,91077,298285,92.4,7.6,69.5,30.5
市部／八王子市,122085,4150,126235,63053,27556,90610,96.7,3.3,69.6,30.4
市部／立川市,30920,1322,32242,10417,3483,13900,95.9,4.1,74.9,25.1
市部／武蔵野市,22070,1065,23135,5412,1367,6779,95.4,4.6,79.8,20.2
市部／三鷹市,32341,1078,33419,8740,1568,10308,96.8,3.2,84.8,15.2
市部／青梅市,35959,1268,37227,41352,19008,60361,96.6,3.4,68.5,31.5
市部／府中市,44715,1481,46196,11104,4023,15127,96.8,3.2,73.4,26.6
市部／昭島市,21145,869,22014,5864,3295,9160,96.1,3.9,64,36
市部／調布市,37577,1364,38941,9890,2095,11985,96.5,3.5,82.5,17.5
市部／町田市,100898,2963,103861,34365,7540,41905,97.1,2.9,82,18
市部／小金井市,23747,756,24503,5766,903,6669,96.9,3.1,86.5,13.5
市部／小平市,48373,1698,50071,10488,2639,13128,96.6,3.4,79.9,20.1
市部／日野市,47541,1693,49234,11127,3285,14412,96.6,3.4,77.2,22.8
市部／東村山市,33016,871,33887,8560,1372,9932,97.4,2.6,86.2,13.8
市部／国分寺市,26904,985,27889,6716,1346,8061,96.5,3.5,83.3,16.7
市部／国立市,13336,629,13965,3940,837,4778,95.5,4.5,82.5,17.5
市部／福生市,10748,408,11156,3254,644,3898,96.3,3.7,83.5,16.5
市部／狛江市,17970,651,18621,3564,422,3987,96.5,3.5,89.4,10.6
市部／東大和市,18198,508,18706,5233,818,6051,97.3,2.7,86.5,13.5
市部／清瀬市,14291,317,14608,5109,732,5841,97.8,2.2,87.5,12.5
市部／東久留米市,36890,1053,37943,7173,1279,8452,97.2,2.8,84.9,15.1
市部／武蔵村山市,19439,590,20029,7237,1648,8885,97.1,2.9,81.5,18.5
市部／多摩市,40351,875,41226,6697,3411,10108,97.9,2.1,66.3,33.7
市部／稲城市,14112,518,14630,5951,3441,9392,96.5,3.5,63.4,36.6
市部／羽村市,12778,403,13181,4135,1941,6076,96.9,3.1,68.1,31.9
市部／あきる野市,27519,719,28238,31004,6749,37753,97.5,2.5,82.1,17.9
市部／西東京市,55754,3723,59477,9083,1350,10432,93.7,6.3,87.1,12.9
市部／市部計,908677,31957,940634,325236,102753,427989,96.6,3.4,76,24
区部・市部計,2106987,130303,2237290,532444,193830,726274,94.2,5.8,73.3,26.7
