区名,100m2未満（千m2）,200m2未満（千m2）,300m2未満（千m2）,500m2未満（千m2）,1000m2未満（千m2）,2000m2未満（千m2）,5000m2未満（千m2）,10000m2未満（千m2）,10000m2以上（千m2）,計（千m2）,増減率（%）
千代田区,-114,-114,-85,-110,-145,-112,-54,-23,0,-757,-56.4
中央区,-160,-132,-81,-101,-118,-80,-50,-16,22,-716,-50.2
港区,-104,-221,-197,-362,-491,-380,-259,-102,-65,-2182,-53.7
新宿区,140,-126,-193,-392,-595,-447,-388,-149,-191,-2341,-33.0
文京区,187,10,-124,-277,-370,-299,-137,-82,-20,-1112,-25.3
台東区,112,-42,-105,-177,-222,-164,-140,-65,-15,-818,-25.5
墨田区,378,126,-33,-148,-305,-313,-416,-308,-152,-1170,-23.2
江東区,422,150,5,-81,-248,-327,-572,-285,-555,-1493,-27.9
品川区,569,146,-37,-283,-405,-474,-584,-307,-323,-1698,-22.8
目黒区,552,536,62,-290,-415,-313,-589,-348,-505,-1308,-17.6
大田区,1637,1258,284,-244,-741,-760,-1419,-1378,-1845,-3207,-17.0
世田谷区,1895,2804,448,-541,-1092,-865,-1488,-1690,-1830,-2359,-8.5
渋谷区,144,-27,-134,-334,-560,-401,-355,-267,-194,-2128,-35.6
中野区,615,487,-1,-173,-292,-295,-308,-624,-569,-1161,-13.4
杉並区,1222,1991,298,-512,-703,-456,-878,-873,-1674,-1585,-8.4
豊島区,445,213,-27,-206,-324,-367,-528,-440,-260,-1494,-22.2
北区,578,319,40,-106,-194,-267,-561,-504,-478,-1173,-16.5
荒川区,414,159,17,-54,-207,-194,-440,-246,-347,-898,-20.6
板橋区,915,646,96,-24,-221,-240,-944,-1045,-1214,-2031,-15.0
練馬区,1037,2728,66,-284,-201,-298,-616,-892,-1171,369,1.6
足立区,1787,1637,335,296,201,-204,-695,-1381,-1558,417,2.1
葛飾区,1392,728,155,59,-144,-253,-798,-1153,-1291,-1305,-9.4
江戸川区,1781,948,226,114,-128,-423,-1108,-972,-1277,-838,-4.7
区部計,15843,14223,1015,-4229,-7921,-7933,-13327,-13148,-15512,-30989,-13.3
