区分,一戸建／空き家数（戸数）,一戸建／戸建住宅総数（戸数）,一戸建／空き家率（％）,長屋建／空き家数（戸数）,長屋建／長屋建住宅総数（戸数）,長屋建／空き家率（％）,共同住宅／空き家数（戸数）,共同住宅／共同住宅住宅総数（戸数）,共同住宅／空き家率（％）,,,,,,
東京都全体,114300,1797300,6.4,14600,118100,12.4,684600,4529700,15.1,,,,,,
区部,75000,1060700,7.1,8500,75800,11.2,500700,3441000,14.6,,,,,,
多摩部・島しょ部,39300,736600,5.3,6100,42300,14.4,183900,1088700,16.9,,,,,,
