摘要,全地目／所有者数(人),全地目／構成比(%),全地目／面積(千m2),全地目／構成比(%),宅地／所有者数(人),宅地／構成比(%),宅地／面積(千m2),宅地／構成比(%)
区部／2000m2未満,94572,94.2,30301,33.1,94333,94.3,30218,37.8
区部／2000m2以上,5822,5.8,61305,66.9,5689,5.7,49815,62.2
区部／計,100394,100,91606,100,100022,100,80033,100
市部／2000m2未満,28903,88.5,13526,13.1,24966,90,11179,24.1
市部／2000m2以上,3748,11.5,89657,86.9,2762,10,35186,75.9
市部／計,32651,100,103183,100,27728,100,46365,100
区市計／2000m2未満,123475,92.8,43827,22.5,119299,93.4,41397,32.8
区市計／2000m2以上,9570,7.2,150962,77.5,8451,6.6,85001,67.2
区市計／計,133045,100,194789,100,127750,100,126398,100
