区市町村名,合計／平成30年（千m2）,合計／平成29年（千m2）,合計／平成30年-29年（千m2）,住宅地区／平成30年（千m2）,住宅地区／平成29年（千m2）,住宅地区／平成30年-29年（千m2）,商業地区／平成30年（千m2）,商業地区／平成29年（千m2）,商業地区／平成30年-29年（千m2）,工業地区／平成30年（千m2）,工業地区／平成29年（千m2）,工業地区／平成30年-29年（千m2）,その他／平成30年（千m2）,その他／平成29年（千m2）,その他／平成30年-29年（千m2）
区部／千代田区,3661,3648,13,488,477,11,3172,3171,1,0,0,0,0,0,0
区部／中央区,3929,3963,-34,1334,1338,-4,2474,2505,-31,121,120,1,0,0,0
区部／港区,9301,9264,37,6104,6098,6,2985,2952,33,213,214,-1,0,0,0
区部／新宿区,9886,9742,144,8597,8411,186,1197,1180,17,91,151,-60,0,0,0
区部／文京区,5882,5883,-1,5098,4877,221,734,813,-79,50,194,-144,0,0,0
区部／台東区,4535,4537,-2,2036,2037,-1,2500,2500,0,0,0,0,0,0,0
区部／墨田区,6851,6855,-4,5215,5208,7,459,458,1,1177,1188,-11,0,0,0
区部／江東区,14956,14876,80,10073,10009,64,685,678,7,4198,4189,9,0,0,0
区部／品川区,11537,11528,9,9392,9279,113,799,802,-3,1346,1447,-101,0,0,0
区部／目黒区,9108,9111,-3,8777,8780,-3,331,330,1,0,1,-1,0,0,0
区部／大田区,25036,25027,9,22418,22306,112,315,321,-6,2303,2399,-96,0,0,0
区部／世田谷区,34820,34823,-3,34603,34637,-34,217,186,31,0,0,0,0,0,0
区部／渋谷区,8118,8107,11,6859,6860,-1,1259,1246,13,0,0,0,0,0,0
区部／中野区,10074,10065,9,9897,9916,-19,177,148,29,0,0,0,0,0,0
区部／杉並区,21618,21608,10,21436,21426,10,183,183,0,0,0,0,0,0,0
区部／豊島区,7808,7824,-16,6860,6879,-19,947,944,3,0,0,0,0,0,0
区部／北区,9570,9574,-4,8773,8700,73,203,213,-10,594,661,-67,0,0,0
区部／荒川区,5398,5403,-5,4521,4529,-8,161,150,11,717,723,-6,0,0,0
区部／板橋区,18079,18047,32,16600,16569,31,158,158,0,1320,1320,0,0,0,0
区部／練馬区,28444,28417,27,28373,28351,22,71,66,5,0,0,0,0,0,0
区部／足立区,27313,27487,-174,25044,25017,27,354,359,-5,1916,2112,-196,0,0,0
区部／葛飾区,16584,16580,4,15624,15579,45,410,449,-39,550,551,-1,0,0,0
区部／江戸川区,23337,23339,-2,21937,21814,123,334,346,-12,1066,1179,-113,0,0,0
区部計,315844,315705,139,280057,279098,959,20124,20159,-35,15662,16448,-786,0,0,0
市部／八王子市,38114,37923,191,31722,31452,270,593,600,-7,1452,1504,-52,4347,4367,-20
市部／立川市,10802,10793,9,8994,8946,48,710,502,208,1097,1345,-248,0,0,0
市部／武蔵野市,6313,6301,12,5523,5489,34,613,622,-9,177,190,-13,0,0,0
市部／三鷹市,8645,8614,31,8034,7991,43,308,308,0,296,310,-14,7,5,2
市部／青梅市,12597,12555,42,10130,10090,40,183,154,29,1206,1232,-26,1078,1078,0
市部／府中市,12951,12927,24,10584,10564,20,299,298,1,2068,2066,2,0,0,0
市部／昭島市,7577,7573,4,5851,5830,21,501,465,36,1225,1277,-52,0,1,-1
市部／調布市,10218,10182,36,9676,9641,35,297,282,15,245,259,-14,1,0,1
市部／町田市,28272,28124,148,26305,26080,225,683,694,-11,578,651,-73,706,698,8
市部／小金井市,5731,5711,20,5552,5532,20,172,173,-1,6,6,0,0,0,0
市部／小平市,10257,10237,20,9302,9287,15,256,254,2,698,696,2,0,0,0
市部／日野市,11241,11167,74,9318,9251,67,115,109,6,1808,1807,1,0,0,0
市部／東村山市,7689,7666,23,7042,7020,22,191,192,-1,456,454,2,0,0,0
市部／国分寺市,6381,6348,33,6016,5987,29,124,120,4,241,241,0,0,0,0
市部／国立市,4136,4125,11,3764,3756,8,175,171,4,197,197,0,1,1,0
市部／福生市,3619,3614,5,3320,3314,6,185,185,0,115,115,0,0,0,0
市部／狛江市,3419,3410,9,3149,3134,15,162,161,1,108,114,-6,0,0,0
市部／東大和市,5162,5145,17,4799,4787,12,149,147,2,214,211,3,0,0,0
市部／清瀬市,3618,3576,42,3406,3366,40,123,122,1,88,89,-1,0,0,0
市部／東久留米市,6687,6653,34,6158,6104,54,263,259,4,210,235,-25,55,55,0
市部／武蔵村山市,5418,5416,2,4305,4299,6,333,333,0,780,783,-3,0,0,0
市部／多摩市,8117,8106,11,6947,6927,20,1170,1179,-9,0,0,0,0,0,0
市部／稲城市,4880,4814,66,4579,4542,37,180,119,61,105,136,-31,17,17,0
市部／羽村市,5440,5432,8,3542,3537,5,189,189,0,1701,1699,2,8,8,0
市部／あきる野市,8309,8267,42,6923,7002,-79,109,108,1,394,272,122,883,885,-2
市部／西東京市,8838,8804,34,8414,8380,34,260,259,1,164,165,-1,0,0,0
市部計,244430,243484,946,213353,212308,1045,8343,8004,339,15631,16056,-425,7103,7115,-12
西多摩郡／瑞穂町,4944,4906,38,2385,2377,8,130,126,4,1860,1837,23,569,567,2
西多摩郡／日の出町,2461,2432,29,1343,1339,4,110,110,0,189,182,7,818,800,18
西多摩郡／檜原村,428,427,1,0,0,0,0,0,0,0,0,0,428,427,1
西多摩郡／奥多摩町,861,860,1,131,132,-1,0,0,0,0,0,0,730,728,2
西多摩郡計,8693,8625,68,3859,3847,12,240,236,4,2049,2019,30,2545,2522,23
多摩地域計,253123,252109,1014,217212,216155,1057,8583,8240,343,17680,18075,-395,9648,9637,11
区部･多摩計,568967,567814,1153,497269,495253,2016,28707,28399,308,33342,34523,-1181,9648,9637,11
