区分,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年,令和2年,令和3年,令和4年
50m2未満／件数(件),43375,40188,42194,40728,42542,42309,44096,41384,41998,41411
50m2未満／面積(m2),737632,685788,721565,715745,742717,743598,769645,731060,737557,716306
50m2以上100m2未満／件数(件),21133,20251,21162,20712,21414,20987,21968,20239,20544,20274
50m2以上100m2未満／面積(m2),1507841,1450529,1516037,1488529,1539127,1503313,1570158,1445207,1470497,1452997
100m2以上150m2未満／件数(件),8658,8608,9428,9431,9660,9055,9243,8232,8629,8670
100m2以上150m2未満／面積(m2),1026157,1024336,1121149,1126002,1154433,1082703,1100533,979870,1028418,1036836
150m2以上200m2未満／件数(件),3593,3579,3952,4179,4255,4203,4019,3496,3660,4000
150m2以上200m2未満／面積(m2),620079,615635,679882,719034,733190,722878,691474,600684,628310,685077
200m2以上300m2未満／件数(件),3056,3016,3259,3404,3481,3361,3273,2909,3033,3222
200m2以上300m2未満／面積(m2),735791,728472,788098,818572,836706,808624,790357,701178,730466,778102
300m2以上500m2未満／件数(件),2085,2083,2286,2149,2300,2200,2118,1854,1871,1963
300m2以上500m2未満／面積(m2),787097,790512,860246,808369,860646,824617,795343,695972,703172,739495
500m2以上1000m2未満／件数(件),1070,1136,1010,1111,1060,1058,935,885,913,935
500m2以上1000m2未満／面積(m2),728808,770371,688868,758449,715784,715594,633047,602877,613765,638602
1000m2以上2000m2未満／件数(件),340,280,282,284,231,237,229,204,227,261
1000m2以上2000m2未満／面積(m2),454324,372112,376674,380933,307510,324887,303257,275051,303999,349879
2000m2以上5000m2未満／件数(件),111,111,101,87,75,64,76,54,57,69
2000m2以上5000m2未満／面積(m2),320813,329631,299358,253653,207352,190286,211179,155109,161680,206702
5000m2以上10000m2未満／件数(件),30,25,22,17,14,17,12,7,14,13
5000m2以上10000m2未満／面積(m2),209160,175562,159236,123256,91595,118325,83625,51070,93973,82131
10000m2以上／件数(件),14,12,12,9,5,9,5,7,7,12
10000m2以上／面積(m2),202890,197820,211468,184600,67899,165184,88149,98695,179553,198869
合計／件数(件),83465,79289,83708,82111,85037,83500,85974,79271,80953,80830
合計／面積(m2),7330592,7140768,7422581,7377142,7256959,7200009,7036767,6336773,6651390,6884996
