区分,区部,多摩地域,島しょ部,その他,合計
昭和58年計画延長（km）,1673,1298,6,,2977
昭和58年完成延長（km）,842,436,4,,1282
昭和58年完成率（％）,50.3 ,33.6 ,66.7,,43.1 
平成5年計画延長（km）,1728,1382,10,,3120
平成5年完成延長（km）,926,555,6,,1487
平成5年完成率（％）,53.6 ,40.2 ,60.0,,47.7 
平成14年計画延長（km）,1771,1425,10,,3206
平成14年完成延長（km）,1019,718,7,,1744
平成14年完成率（％）,57.5 ,50.4 ,74.1,,54.4 
平成15年計画延長（km）,1773,1425,10,,3207
平成15年完成延長（km）,1024,724,8,,1756
平成15年完成率（％）,57.8,50.8 ,79.7,,54.8
平成16年計画延長（km）,1774,1425,10,,3208
平成16年完成延長（km）,1028,729,9,,1766
平成16年完成率（％）,58,51.2,86.4,,55
平成17年計画延長（km）,1775,1425,10,,3210
平成17年完成延長（km）,1039,737,9,,1785
平成17年完成率（％）,58.5,51.7,86.4,,55.6
平成18年計画延長（km）,1777,1428,10,,3215
平成18年完成延長（km）,1047,745,9,,1801
平成18年完成率（％）,58.9,52.2,86.4,,56
平成19年計画延長（km）,1764,1428,10,,3202
平成19年完成延長（km）,1049,753,9,,1811
平成19年完成率（％）,59.5,52.7,86.4,,56.6
平成20年計画延長（km）,1759,1429,10,3,3202
平成20年完成延長（km）,1053,759,8,0,1822
平成20年完成率（％）,59.9,53.1,86.4,5.7,56.9
平成21年計画延長（km）,1759,1426,10,3,3198
平成21年完成延長（km）,1058,807,8,0,1875
平成21年完成率（％）,60.1,56.6,86.4,3.2,58.6
平成22年計画延長（km）,1759,1426,10,3,3198
平成22年完成延長（km）,1094,827,8,0,1931
平成22年完成率（％）,62.2,58,86.4,7.8,60.3
平成23年計画延長（km）,1760,1427,10,3,3200
平成23年完成延長（km）,1099,830,8,0,1939
平成23年完成率（％）,62.4,58.2,86.4,7.8,60.5
平成24年計画延長（km）,1764,1428,10,3,3206
平成24年完成延長（km）,1127,842,10,0,1980
平成24年完成率（％）,63.8,58.9,100.0,25.7,61.7
平成25年計画延長（km）,1766,1430,10,,3207
平成25年完成延長（km）,1135,852,10,,1997
平成25年完成率（％）,64.2,59.5,100.0,,62.2
平成26年計画延長（km）,1767,1431,10,,3208
平成26年完成延長（km）,1143,855,10,,2009
平成26年完成率（％）,64.7,59.7,100.0,,62.6
平成27年計画延長（km）,1768,1431,10,,3209
平成27年完成延長（km）,1147,864,10,,2021
平成27年完成率（％）,64.8,60.3,100.0,,62.9
平成28年計画延長（km）,1769,1431,10,,3210
平成28年完成延長（km）,1157,873,10,,2040
平成28年完成率（％）,65.4,61,100.0,,63.5
