区名,平成20年／件数(件）,平成20年／面積（m2）,平成21年／件数(件）,平成21年／面積（m2）,平成22年／件数(件）,平成22年／面積（m2）,平成23年／件数(件）,平成23年／面積（m2）,平成24年／件数(件）,平成24年／面積（m2）,平成25年／件数(件）,平成25年／面積（m2）,平成26年／件数(件）,平成26年／面積（m2）,平成27年／件数(件）,平成27年／面積（m2）,平成28年／件数(件）,平成28年／面積（m2）,平成29年／件数(件）,平成29年／面積（m2）
千代田区,846,141507,553,84931,681,115928,613,134453,851,91199,830,92200,876,101531,851,99767,914,116595,1037,94465
中央区,1050,167660,1032,107312,894,108993,836,98530,949,103337,1227,128347,1181,113000,1642,141174,1420,118764,1389,108830
港区,2132,613100,1424,568618,1609,448847,1588,425556,1735,210634,2049,336115,2239,309300,2295,314819,2209,392246,1987,287354
新宿区,2255,357450,2166,316301,2576,764262,2649,485788,2841,224362,2884,262687,3244,317764,2808,269072,3152,292253,3080,306822
文京区,1260,128838,1287,221318,1423,139528,1440,261553,1769,131408,2173,151136,1935,143775,2033,146802,1910,144977,2105,160658
台東区,1341,124222,1146,120265,1333,128003,1370,188663,1497,103839,1639,121848,1600,115337,1753,131813,1801,135541,1959,143720
墨田区,1371,125089,1200,104881,1589,167722,1792,145696,2009,157349,2271,180450,2398,188667,2535,199977,2255,164081,2574,189290
江東区,1803,461343,1647,275540,1862,314844,1817,586248,2169,311833,2306,409672,2178,289911,2486,358751,2330,434698,2480,310089
品川区,2715,496956,2722,687212,2566,374958,2585,410937,3074,241621,3151,292827,3302,310604,2952,236045,3176,252143,3473,285301
目黒区,2223,276675,2191,671430,2193,312168,2245,264471,2729,211456,2839,242215,2440,268188,2740,236555,2717,237763,2656,232083
大田区,4518,672026,4663,570244,4928,602740,5121,615323,5466,491343,6050,566815,6165,593096,6844,716974,6881,656023,7291,635779
世田谷区,6785,1188925,7308,979108,7255,1816859,7899,1032811,8670,812316,10500,937549,9847,973788,10079,916462,9779,872246,9856,921170
渋谷区,1724,234778,1662,222763,1859,212701,1831,260682,2386,220230,2915,246931,2679,247549,2440,259397,2543,259136,2929,294620
中野区,2389,336769,2270,214110,2273,227638,2921,308131,3138,236277,3299,262718,3365,272843,3842,337292,3274,237079,3625,302833
杉並区,4411,521271,4545,487869,5049,580544,5435,652325,6248,551843,7238,673463,6365,557558,7392,680861,6613,553605,6513,554060
豊島区,2190,218614,2179,200086,2283,249780,2076,238157,2515,188838,2796,207100,2779,191369,2784,205791,2993,213789,3108,227369
北区,1863,179645,1918,187050,2049,225654,2183,217036,2462,227444,2512,206281,2617,319664,3195,249882,3179,228256,2900,249606
荒川区,1376,525748,1520,344948,1355,146203,1547,125361,1862,118847,2103,128528,1737,135891,1855,130577,2017,152709,2022,141783
板橋区,3371,392457,3060,401362,3546,493095,3848,425669,4431,401777,4577,430947,4578,402267,4799,415561,4604,406028,4439,403592
練馬区,5612,654683,5711,624318,6045,686561,7053,817218,7386,671793,8645,734746,8359,733983,8686,729383,8998,813923,8335,728923
足立区,5813,537087,5610,467350,6080,550782,7117,689400,8408,656554,9263,727986,8922,716422,8585,756061,7609,668910,8900,697243
葛飾区,3501,445649,3630,524590,4031,356210,4517,424160,4809,390641,5658,410017,4969,356968,5532,390008,4999,397938,5837,412123
江戸川区,4759,454712,5024,463218,5292,500773,4873,524883,5949,467968,6959,521646,6182,500351,6477,537036,6045,506943,6605,579614
区部計,65308,9255204,64468,8844823,68771,9524792,73356,9333052.64,83353,7222909.93,93884,8272224,89957,8159826,94605,8460060,91418,8255646,95100,8267327
