区分,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年
50m2未満／件数（件）,1154,838,901,1184,1117,1063,1386,1453,1518,1619
50m2未満／面積（m2）,19440,14343,15014,18129,17987,17433,23212,25129,26642,27812
50m2以上100m2未満／件数（件）,348,229,273,321,301,319,383,504,468,414
50m2以上100m2未満／面積（m2）,24394,16101,19887,23147,21503,22490,27115,36388,33776,29161
100m2以上150m2未満／件数（件）,139,98,120,156,171,177,161,197,205,202
100m2以上150m2未満／面積（m2）,16667,11749,14348,19143,20730,21147,19217,23502,24669,24213
150m2以上200m2未満／件数（件）,69,54,52,75,71,76,90,85,88,68
150m2以上200m2未満／面積（m2）,11728,9547,9033,13205,12283,13304,15572,14444,15283,11771
200m2以上300m2未満／件数（件）,91,54,46,78,70,71,69,76,117,54
200m2以上300m2未満／面積（m2）,22196,13175,11278,18929,16551,17268,16663,18247,28105,12905
300m2以上500m2未満／件数（件）,54,38,39,84,44,65,95,53,54,49
300m2以上500m2未満／面積（m2）,20990,14239,14750,32448,16118,24760,36410,20185,19949,18425
500m2以上1000m2未満／件数（件）,48,27,21,62,40,64,61,69,35,50
500m2以上1000m2未満／面積（m2）,35763,19558,15282,44519,28580,44445,44129,50480,25441,35903
1000m2以上2000m2未満／件数（件）,27,16,16,34,22,29,36,32,17,18
1000m2以上2000m2未満／面積（m2）,35865,22807,20975,46749,29429,36597,48991,44325,22992,26045
2000m2以上5000m2未満／件数（件）,12,6,10,12,12,10,24,11,12,5
2000m2以上5000m2未満／面積（m2）,36327,21272,31494,34323,37350,30398,70118,34072,36093,15750
5000m2以上10000m2未満／件数（件）,4,3,8,6,5,6,7,2,2,4
5000m2以上10000m2未満／面積（m2）,24795,22047,55036,41597,32050,44632,50584,11084,17071,35069
10000m2以上／件数（件）,7,3,3,5,3,1,2,1,1,3
10000m2以上／面積（m2）,119989,73455,133978,81625,52765,11910,34685,11910,12499,61242
合計／件数（件）,1953,1366,1489,2017,1856,1881,2314,2483,2517,2486
合計／面積（m2）,368154,238293,341074,373814,285346,284384,386696,289766,262520,298296
