区分,実数／個人（千m2）,実数／法人（千m2）,実数／国等（千m2）,実数／合計（千m2）,平成２年との比（実数/平成２年値×100)／個人,平成２年との比（実数/平成２年値×100)／法人,平成２年との比（実数/平成２年値×100)／国等,平成２年との比（実数/平成２年値×100)／合計
平成2年,2225 ,4177 ,278 ,6680 ,100 ,100 ,100 ,100 
平成3年,2254 ,3727 ,485 ,6466 ,101 ,89 ,174 ,97 
平成4年,1959 ,3027 ,585 ,5571 ,88 ,72 ,210 ,83 
平成5年,2158 ,3585 ,558 ,6301 ,97 ,86 ,201 ,94 
平成6年,2140 ,3155 ,408 ,5703 ,96 ,76 ,147 ,85 
平成7年,2354 ,3281 ,385 ,6019 ,106 ,79 ,138 ,90 
平成8年,2623 ,3705 ,405 ,6733 ,118 ,89 ,146 ,101 
平成9年,3257 ,4665 ,384 ,8306 ,146 ,112 ,138 ,124 
平成10年,2767 ,4170 ,267 ,7205 ,124 ,100 ,96 ,108 
平成11年,3446 ,5710 ,364 ,9520 ,155 ,137 ,131 ,143 
平成12年,3605 ,5180 ,290 ,9074 ,162 ,124 ,104 ,136 
平成13年,3514 ,5632 ,232 ,9379 ,158 ,135 ,83 ,140 
平成14年,3541 ,5973 ,189 ,9703 ,159 ,143 ,68 ,145 
平成15年,4036 ,7165 ,281 ,11481 ,181 ,172 ,101 ,172 
平成16年,3383 ,5515 ,322 ,9220 ,152 ,132 ,116 ,138 
平成17年,3654 ,6650 ,175 ,10479 ,164 ,159 ,63 ,157 
平成18年,3268 ,6619 ,344 ,10231 ,147 ,158 ,124 ,153 
平成19年,3042 ,6687 ,1075 ,10804 ,137 ,160 ,387 ,162 
平成20年,3161 ,5195 ,383 ,8740 ,142 ,124 ,138 ,131 
平成21年,4131 ,3952 ,368 ,8451 ,186 ,95 ,132 ,127 
平成22年,3319 ,5545 ,238 ,9103 ,149 ,133 ,86 ,136 
平成23年,3407 ,4402 ,341 ,8150 ,153 ,105 ,123 ,122 
平成24年,2177 ,3803 ,374 ,6354 ,98 ,91 ,134 ,95 
平成25年,2529 ,4516 ,285 ,7330 ,114 ,108 ,103 ,110 
平成26年,2352 ,4504 ,284 ,7140 ,106 ,108 ,102 ,107 
平成27年,2394 ,4642 ,387 ,7423 ,108 ,111 ,139 ,111 
平成28年,2262 ,4825 ,290 ,7377 ,102 ,116 ,104 ,110 
平成29年,2221 ,4774 ,263 ,7257 ,99 ,128 ,54 ,112 
